car(3, toyota, large, no, coup).
car(1537, mitsubishi, small, yes, coup).
car(1568, bmw, small, yes, coup).
car(1594, ford, small, yes, coup).
car(1610, mitsubishi, medium, no, suv).
car(1615, benz, large, no, suv).
car(1630, ford, small, yes, coup).
car(1634, mitsubishi, medium, no, suv).
car(1645, mitsubishi, small, yes, coup).
car(1647, toyota, small, yes, coup).
car(1667, ford, large, no, suv).
car(1672, toyota, large, no, coup).
car(1679, ford, large, no, suv).
car(1682, mitsubishi, medium, no, suv).
car(1683, toyota, small, yes, coup).
car(1698, benz, small, yes, coup).
car(1714, ford, small, yes, coup).
car(1720, toyota, large, no, coup).
car(1723, benz, large, no, suv).
car(1726, ford, small, yes, coup).
car(1744, toyota, large, no, coup).
car(1756, toyota, large, no, coup).
car(1777, mitsubishi, small, yes, coup).
car(1780, toyota, large, no, coup).
car(1788, honda, small, no, coup).
car(1815, toyota, small, yes, coup).
car(1832, bmw, small, yes, coup).
car(1833, bmw, medium, yes, coup).
car(1840, toyota, large, no, coup).
car(1841, toyota, large, no, suv).
car(1872, honda, small, no, coup).
car(1879, benz, large, no, suv).
car(1887, toyota, small, yes, coup).
car(1888, toyota, large, no, coup).
car(1892, bmw, small, yes, coup).
car(1904, bmw, small, yes, coup).
car(1907, ford, large, no, suv).
car(1915, benz, large, no, suv).
car(1918, ford, small, yes, coup).
car(1919, ford, large, no, suv).
car(1924, toyota, large, no, coup).
car(1925, toyota, large, no, suv).
car(1956, honda, small, no, coup).
car(1978, ford, small, yes, coup).
car(1984, toyota, large, no, coup).
car(1993, toyota, small, yes, coup).
car(2006, mitsubishi, medium, no, suv).
car(2015, ford, large, no, suv).
car(2018, mitsubishi, medium, no, suv).
car(2033, toyota, large, no, suv).
car(2035, benz, large, no, suv).
car(2041, mitsubishi, small, yes, coup).
car(2044, toyota, large, no, coup).
car(2045, toyota, large, no, suv).
car(2051, ford, large, no, suv).
car(2057, toyota, large, no, suv).
car(2062, ford, small, yes, coup).
car(2064, honda, small, no, coup).
car(2070, benz, small, yes, coup).
car(2099, ford, large, no, suv).
car(2115, toyota, small, yes, coup).
car(2116, toyota, large, no, coup).
car(2126, mitsubishi, medium, no, suv).
car(2169, bmw, medium, yes, coup).
car(2178, benz, small, yes, coup).
car(2179, benz, large, no, suv).
car(2185, mitsubishi, small, yes, coup).
car(2186, mitsubishi, medium, no, suv).
car(2198, mitsubishi, medium, no, suv).
car(2200, toyota, large, no, coup).
car(2205, bmw, medium, yes, coup).
car(2220, honda, small, no, coup).
car(2225, toyota, large, no, suv).
car(2232, honda, small, no, coup).
car(2248, toyota, large, no, coup).
car(2256, honda, small, no, coup).
car(2257, mitsubishi, small, yes, coup).
car(2258, mitsubishi, medium, no, suv).
car(2269, mitsubishi, small, yes, coup).
car(2289, bmw, medium, yes, coup).
car(2290, ford, small, yes, coup).
car(2316, honda, small, no, coup).
car(2329, mitsubishi, small, yes, coup).
car(2330, mitsubishi, medium, no, suv).
car(2335, benz, large, no, suv).
car(2342, mitsubishi, medium, no, suv).
car(2350, ford, small, yes, coup).
car(2358, benz, small, yes, coup).
car(2374, ford, small, yes, coup).
car(2377, mitsubishi, small, yes, coup).
car(2380, toyota, large, no, coup).
car(2388, honda, small, no, coup).
car(2409, bmw, medium, yes, coup).
car(2417, toyota, large, no, suv).
car(2445, bmw, medium, yes, coup).
car(2447, ford, large, no, suv).
car(2474, mitsubishi, medium, no, suv).
car(2482, ford, small, yes, coup).
car(2484, honda, small, no, coup).
car(2507, ford, large, no, suv).
car(2509, mitsubishi, small, yes, coup).
car(2520, honda, small, no, coup).
car(2539, benz, large, no, suv).
car(2559, toyota, small, yes, coup).
car(2569, mitsubishi, small, yes, coup).
car(2573, toyota, large, no, suv).
car(2592, honda, small, no, coup).
car(2605, mitsubishi, small, yes, coup).
car(2610, benz, small, yes, coup).
car(2616, honda, small, no, coup).
car(2621, toyota, large, no, suv).
car(2622, benz, small, yes, coup).
car(2626, ford, small, yes, coup).
car(2642, mitsubishi, medium, no, suv).
car(2644, toyota, large, no, coup).
car(2646, benz, small, yes, coup).
car(2648, bmw, small, yes, coup).
car(2659, benz, large, no, suv).
car(2661, bmw, medium, yes, coup).
car(2667, toyota, small, yes, coup).
car(2672, bmw, small, yes, coup).
car(2675, ford, large, no, suv).
car(2683, benz, large, no, suv).
car(2693, toyota, large, no, suv).
car(2700, honda, small, no, coup).
car(2705, toyota, large, no, suv).
car(2721, bmw, medium, yes, coup).
car(2722, ford, small, yes, coup).
car(2732, bmw, small, yes, coup).
car(2772, honda, small, no, coup).
car(2807, ford, large, no, suv).
car(2808, honda, small, no, coup).
car(2822, mitsubishi, medium, no, suv).
car(2829, bmw, medium, yes, coup).
car(2850, benz, small, yes, coup).
car(2855, ford, large, no, suv).
car(2861, toyota, large, no, suv).
car(2867, ford, large, no, suv).
car(2904, honda, small, no, coup).
car(2925, bmw, medium, yes, coup).
car(2963, ford, large, no, suv).
car(2966, mitsubishi, medium, no, suv).
car(2978, mitsubishi, medium, no, suv).
car(2983, benz, large, no, suv).
car(2987, honda, small, no, coup).
car(2994, ford, small, yes, coup).
car(3017, toyota, large, no, suv).
car(3029, toyota, large, no, suv).
car(3037, mitsubishi, small, yes, coup).
car(3045, bmw, medium, yes, coup).
car(3059, ford, large, no, suv).
car(3088, toyota, large, no, coup).
car(3091, benz, large, no, suv).
car(3092, bmw, small, yes, coup).
car(3117, bmw, medium, yes, coup).
car(3120, honda, small, no, coup).
car(3123, toyota, small, yes, coup).
car(3157, mitsubishi, small, yes, coup).
car(3167, ford, large, no, suv).
car(3179, ford, large, no, suv).
car(3183, toyota, small, yes, coup).
car(3186, benz, small, yes, coup).
car(3194, mitsubishi, medium, no, suv).
car(3211, benz, large, no, suv).
car(3212, bmw, small, yes, coup).
car(3220, toyota, large, no, coup).
car(3227, ford, large, no, suv).
car(3239, ford, large, no, suv).
car(3240, honda, small, no, coup).
car(3245, toyota, large, no, suv).
car(3247, benz, large, no, suv).
car(3248, bmw, small, yes, coup).
car(3267, toyota, small, yes, coup).
car(3268, toyota, large, no, coup).
car(3274, ford, small, yes, coup).
car(3300, honda, small, no, coup).
car(3307, benz, large, no, suv).
car(3308, bmw, small, yes, coup).
car(3320, bmw, small, yes, coup).
car(3339, toyota, small, yes, coup).
car(3341, toyota, large, no, suv).
car(3349, mitsubishi, small, yes, coup).
car(3360, honda, small, no, coup).
car(3364, toyota, large, no, coup).
car(3375, toyota, small, yes, coup).
car(3391, benz, large, no, suv).
car(3398, mitsubishi, medium, no, suv).
car(3409, mitsubishi, small, yes, coup).
car(3424, toyota, large, no, coup).
car(3430, ford, small, yes, coup).
car(3448, toyota, large, no, coup).
car(3449, toyota, large, no, suv).
car(3451, benz, large, no, suv).
car(3476, bmw, small, yes, coup).
car(3483, toyota, small, yes, coup).
car(3489, bmw, medium, yes, coup).
car(3492, honda, small, no, coup).
car(3493, mitsubishi, small, yes, coup).
car(3533, toyota, large, no, suv).
car(3536, bmw, small, yes, coup).
car(3546, benz, small, yes, coup).
car(3571, benz, large, no, suv).
car(3601, mitsubishi, small, yes, coup).
car(3614, mitsubishi, medium, no, suv).
car(3626, mitsubishi, medium, no, suv).
car(3662, mitsubishi, medium, no, suv).
car(3675, toyota, small, yes, coup).
car(3686, mitsubishi, medium, no, suv).
car(3694, ford, small, yes, coup).
car(3706, ford, small, yes, coup).
car(3711, toyota, small, yes, coup).
car(3715, benz, large, no, suv).
car(3719, ford, large, no, suv).
car(3750, benz, small, yes, coup).
car(3755, ford, large, no, suv).
car(3767, ford, large, no, suv).
car(3777, bmw, medium, yes, coup).
car(3802, ford, small, yes, coup).
car(3828, honda, small, no, coup).
car(3837, bmw, medium, yes, coup).
car(3838, ford, small, yes, coup).
car(3849, bmw, medium, yes, coup).
car(3857, toyota, large, no, suv).
car(3871, benz, large, no, suv).
car(3873, bmw, medium, yes, coup).
car(3876, honda, small, no, coup).
car(3898, ford, small, yes, coup).
car(3931, benz, large, no, suv).
car(3934, ford, small, yes, coup).
car(3946, ford, small, yes, coup).
car(3947, ford, large, no, suv).
car(3958, ford, small, yes, coup).
car(3968, bmw, small, yes, coup).
car(3982, ford, small, yes, coup).
car(4002, benz, small, yes, coup).
car(4008, honda, small, no, coup).
car(4016, bmw, small, yes, coup).
car(4017, bmw, medium, yes, coup).
car(4018, ford, small, yes, coup).
car(4027, benz, large, no, suv).
car(4028, bmw, small, yes, coup).
car(4031, ford, large, no, suv).
car(4035, toyota, small, yes, coup).
car(4043, ford, large, no, suv).
car(4045, mitsubishi, small, yes, coup).
car(4054, ford, small, yes, coup).
car(4055, ford, large, no, suv).
car(4079, ford, large, no, suv).
car(4081, mitsubishi, small, yes, coup).
car(4102, ford, small, yes, coup).
car(4121, toyota, large, no, suv).
car(4137, bmw, medium, yes, coup).
car(4140, honda, small, no, coup).
car(4142, mitsubishi, medium, no, suv).
car(4149, bmw, medium, yes, coup).
car(4152, honda, small, no, coup).
car(4161, bmw, medium, yes, coup).
car(4164, honda, small, no, coup).
car(4170, benz, small, yes, coup).
car(4182, benz, small, yes, coup).
car(4195, benz, large, no, suv).
car(4212, honda, small, no, coup).
car(4228, toyota, large, no, coup).
car(4237, mitsubishi, small, yes, coup).
car(4245, bmw, medium, yes, coup).
car(4265, toyota, large, no, suv).
car(4266, benz, small, yes, coup).
car(4275, toyota, small, yes, coup).
car(4283, ford, large, no, suv).
car(4293, bmw, medium, yes, coup).
car(4301, toyota, large, no, suv).
car(4307, ford, large, no, suv).
car(4309, mitsubishi, small, yes, coup).
car(4313, toyota, large, no, suv).
car(4314, benz, small, yes, coup).
car(4323, toyota, small, yes, coup).
car(4325, toyota, large, no, suv).
car(4328, bmw, small, yes, coup).
car(4334, mitsubishi, medium, no, suv).
car(4336, toyota, large, no, coup).
car(4342, ford, small, yes, coup).
car(4360, toyota, large, no, coup).
car(4363, benz, large, no, suv).
car(4383, toyota, small, yes, coup).
car(4393, mitsubishi, small, yes, coup).
car(4416, honda, small, no, coup).
car(4423, benz, large, no, suv).
car(4449, bmw, medium, yes, coup).
car(4454, mitsubishi, medium, no, suv).
car(4501, mitsubishi, small, yes, coup).
car(4533, bmw, medium, yes, coup).
car(4555, benz, large, no, suv).
car(4575, toyota, small, yes, coup).
car(4582, ford, small, yes, coup).
car(4595, ford, large, no, suv).
car(4603, benz, large, no, suv).
car(4628, bmw, small, yes, coup).
car(4637, toyota, large, no, suv).
car(4641, bmw, medium, yes, coup).
car(4645, mitsubishi, small, yes, coup).
car(4648, toyota, large, no, coup).
car(4649, toyota, large, no, suv).
car(4665, bmw, medium, yes, coup).
car(4666, ford, small, yes, coup).
car(4669, mitsubishi, small, yes, coup).
car(4701, bmw, medium, yes, coup).
car(4704, honda, small, no, coup).
car(4707, toyota, small, yes, coup).
car(4714, ford, small, yes, coup).
car(4715, ford, large, no, suv).
car(4722, benz, small, yes, coup).
car(4724, bmw, small, yes, coup).
car(4750, ford, small, yes, coup).
car(4761, bmw, medium, yes, coup).
car(4767, toyota, small, yes, coup).
car(4776, honda, small, no, coup).
car(4807, benz, large, no, suv).
car(4811, ford, large, no, suv).
car(4813, mitsubishi, small, yes, coup).
car(4822, ford, small, yes, coup).
car(4827, toyota, small, yes, coup).
car(4828, toyota, large, no, coup).
car(4829, toyota, large, no, suv).
car(4884, honda, small, no, coup).
car(4908, honda, small, no, coup).
car(4916, bmw, small, yes, coup).
car(4949, toyota, large, no, suv).
car(4961, toyota, large, no, suv).
car(4962, benz, small, yes, coup).
car(4969, mitsubishi, small, yes, coup).
car(4989, ford, large, no, suv).
car(5001, bmw, medium, yes, coup).
car(5022, benz, small, yes, coup).
car(5029, mitsubishi, small, yes, coup).
car(5038, ford, small, yes, coup).
car(5050, ford, small, yes, coup).
car(5053, mitsubishi, small, yes, coup).
car(5057, toyota, large, no, suv).
car(5062, ford, small, yes, coup).
car(5076, honda, small, no, coup).
car(5082, benz, small, yes, coup).
car(5085, bmw, medium, yes, coup).
car(5092, toyota, large, no, coup).
car(5114, mitsubishi, medium, no, suv).
car(5119, benz, large, no, suv).
car(5120, bmw, small, yes, coup).
car(5121, bmw, medium, yes, coup).
car(5136, honda, small, no, coup).
car(5138, mitsubishi, medium, no, suv).
car(5147, ford, large, no, suv).
car(5156, bmw, small, yes, coup).
car(5162, mitsubishi, medium, no, suv).
car(5168, bmw, small, yes, coup).
car(5204, bmw, small, yes, coup).
car(5218, ford, small, yes, coup).
car(5227, benz, large, no, suv).
car(5228, bmw, small, yes, coup).
car(5229, bmw, medium, yes, coup).
car(5238, benz, small, yes, coup).
car(5240, bmw, small, yes, coup).
car(5248, toyota, large, no, coup).
car(5272, toyota, large, no, coup).
car(5282, mitsubishi, medium, no, suv).
car(5283, toyota, small, yes, coup).
car(5296, toyota, large, no, coup).
car(5302, ford, small, yes, coup).
car(5339, ford, large, no, suv).
car(5355, toyota, small, yes, coup).
car(5360, bmw, small, yes, coup).
car(5377, mitsubishi, small, yes, coup).
car(5383, benz, large, no, suv).
car(5386, ford, small, yes, coup).
car(5398, ford, small, yes, coup).
car(5399, ford, large, no, suv).
car(5400, honda, small, no, coup).
car(5404, toyota, large, no, coup).
car(5411, ford, large, no, suv).
car(5414, mitsubishi, medium, no, suv).
car(5430, benz, small, yes, coup).
car(5443, benz, large, no, suv).
car(5446, ford, small, yes, coup).
car(5449, mitsubishi, small, yes, coup).
car(5450, mitsubishi, medium, no, suv).
car(5460, honda, small, no, coup).
car(5467, benz, large, no, suv).
car(5500, toyota, large, no, coup).
car(5512, toyota, large, no, coup).
car(5520, honda, small, no, coup).
car(5527, benz, large, no, suv).
car(5530, ford, small, yes, coup).
car(5535, toyota, small, yes, coup).
car(5555, ford, large, no, suv).
car(5564, bmw, small, yes, coup).
car(5572, toyota, large, no, coup).
car(5575, benz, large, no, suv).
car(5588, bmw, small, yes, coup).
car(5593, mitsubishi, small, yes, coup).
car(5597, toyota, large, no, suv).
car(5611, benz, large, no, suv).
car(5612, bmw, small, yes, coup).
car(5617, mitsubishi, small, yes, coup).
car(5625, bmw, medium, yes, coup).
car(5632, toyota, large, no, coup).
car(5641, mitsubishi, small, yes, coup).
car(5653, mitsubishi, small, yes, coup).
car(5661, bmw, medium, yes, coup).
car(5663, ford, large, no, suv).
car(5670, benz, small, yes, coup).
car(5671, benz, large, no, suv).
car(5676, honda, small, no, coup).
car(5681, toyota, large, no, suv).
car(5694, benz, small, yes, coup).
car(5702, mitsubishi, medium, no, suv).
car(5708, bmw, small, yes, coup).
car(5715, toyota, small, yes, coup).
car(5720, bmw, small, yes, coup).
car(5723, ford, large, no, suv).
car(5741, toyota, large, no, suv).
car(5743, benz, large, no, suv).
car(5751, toyota, small, yes, coup).
car(5763, toyota, small, yes, coup).
car(5777, toyota, large, no, suv).
car(5794, ford, small, yes, coup).
car(5833, mitsubishi, small, yes, coup).
car(5836, toyota, large, no, coup).
car(5842, ford, small, yes, coup).
car(5851, benz, large, no, suv).
car(5864, bmw, small, yes, coup).
car(5873, toyota, large, no, suv).
car(5915, ford, large, no, suv).
car(5933, toyota, large, no, suv).
car(5951, ford, large, no, suv).
car(5959, benz, large, no, suv).
car(5961, bmw, medium, yes, coup).
car(5971, benz, large, no, suv).
car(5972, bmw, small, yes, coup).
car(5987, mitsubishi, medium, no, suv).
car(6009, bmw, medium, yes, coup).
car(6029, toyota, large, no, suv).
car(6034, ford, small, yes, coup).
car(6045, bmw, medium, yes, coup).
car(6046, ford, small, yes, coup).
car(6048, honda, small, no, coup).
car(6056, bmw, small, yes, coup).
car(6061, mitsubishi, small, yes, coup).
car(6067, benz, large, no, suv).
car(6072, honda, small, no, coup).
car(6102, benz, small, yes, coup).
car(6115, benz, large, no, suv).
car(6125, toyota, large, no, suv).
car(6149, toyota, large, no, suv).
car(6170, mitsubishi, medium, no, suv).
car(6197, toyota, large, no, suv).
car(6246, benz, small, yes, coup).
car(6247, benz, large, no, suv).
car(6280, toyota, large, no, coup).
car(6298, ford, small, yes, coup).
car(6302, mitsubishi, medium, no, suv).
car(6309, bmw, medium, yes, coup).
car(6311, ford, large, no, suv).
car(6313, mitsubishi, small, yes, coup).
car(6325, mitsubishi, small, yes, coup).
car(6328, toyota, large, no, coup).
car(6340, toyota, large, no, coup).
car(6363, toyota, small, yes, coup).
car(6373, mitsubishi, small, yes, coup).
car(6380, bmw, small, yes, coup).
car(6381, bmw, medium, yes, coup).
car(6401, toyota, large, no, suv).
car(6406, ford, small, yes, coup).
car(6425, toyota, large, no, suv).
car(6426, benz, small, yes, coup).
car(6431, ford, large, no, suv).
car(6440, bmw, small, yes, coup).
car(6447, toyota, small, yes, coup).
car(6450, benz, small, yes, coup).
car(6459, toyota, small, yes, coup).
car(6463, benz, large, no, suv).
car(6470, mitsubishi, medium, no, suv).
car(6473, toyota, large, no, suv).
car(6490, ford, small, yes, coup).
car(6494, mitsubishi, medium, no, suv).
car(6497, toyota, large, no, suv).
car(6499, benz, large, no, suv).
car(6521, toyota, large, no, suv).
car(6524, bmw, small, yes, coup).
car(6541, mitsubishi, small, yes, coup).
car(6555, toyota, small, yes, coup).
car(6559, benz, large, no, suv).
car(6586, ford, small, yes, coup).
car(6589, mitsubishi, small, yes, coup).
car(6593, toyota, large, no, suv).
car(6595, benz, large, no, suv).
car(6602, mitsubishi, medium, no, suv).
car(6612, honda, small, no, coup).
car(6613, mitsubishi, small, yes, coup).
car(6625, mitsubishi, small, yes, coup).
car(6640, toyota, large, no, coup).
car(6642, benz, small, yes, coup).
car(6648, honda, small, no, coup).
car(6649, mitsubishi, small, yes, coup).
car(6661, mitsubishi, small, yes, coup).
car(6666, benz, small, yes, coup).
car(6686, mitsubishi, medium, no, suv).
car(6690, benz, small, yes, coup).
car(6694, ford, small, yes, coup).
car(6699, toyota, small, yes, coup).
car(6703, benz, large, no, suv).
car(6723, toyota, small, yes, coup).
car(6738, benz, small, yes, coup).
car(6741, bmw, medium, yes, coup).
car(6749, toyota, large, no, suv).
car(6765, bmw, medium, yes, coup).
car(6769, mitsubishi, small, yes, coup).
car(6785, toyota, large, no, suv).
car(6795, toyota, small, yes, coup).
car(6799, benz, large, no, suv).
car(6803, ford, large, no, suv).
car(6825, bmw, medium, yes, coup).
car(6838, ford, small, yes, coup).
car(6846, benz, small, yes, coup).
car(6849, bmw, medium, yes, coup).
car(6852, honda, small, no, coup).
car(6854, mitsubishi, medium, no, suv).
car(6865, mitsubishi, small, yes, coup).
car(6878, mitsubishi, medium, no, suv).
car(6882, benz, small, yes, coup).
car(6887, ford, large, no, suv).
car(6890, mitsubishi, medium, no, suv).
car(6892, toyota, large, no, coup).
car(6897, bmw, medium, yes, coup).
car(6899, ford, large, no, suv).
car(6907, benz, large, no, suv).
car(6926, mitsubishi, medium, no, suv).
car(6938, mitsubishi, medium, no, suv).
car(6951, toyota, small, yes, coup).
car(6956, bmw, small, yes, coup).
car(6957, bmw, medium, yes, coup).
car(6977, bmw, medium, yes, coup).
car(6981, ford, large, no, suv).
car(6982, toyota, large, no, suv).
car(7019, ford, large, no, suv).
car(7020, honda, small, no, coup).
car(7023, toyota, small, yes, coup).
car(7024, toyota, large, no, coup).
car(7028, bmw, small, yes, coup).
car(7031, ford, large, no, suv).
car(7038, benz, small, yes, coup).
car(7050, benz, small, yes, coup).
car(7058, mitsubishi, medium, no, suv).
car(7068, honda, small, no, coup).
car(7071, toyota, small, yes, coup).
car(7077, bmw, medium, yes, coup).
car(7081, mitsubishi, small, yes, coup).
car(7083, toyota, small, yes, coup).
car(7088, bmw, small, yes, coup).
car(7100, bmw, small, yes, coup).
car(7121, toyota, large, no, suv).
car(7135, benz, large, no, suv).
car(7144, toyota, large, no, coup).
car(7180, toyota, large, no, coup).
car(7207, benz, large, no, suv).
car(7230, benz, small, yes, coup).
car(7241, toyota, large, no, suv).
car(7251, toyota, small, yes, coup).
car(7263, toyota, small, yes, coup).
car(7264, toyota, large, no, coup).
car(7271, ford, large, no, suv).
car(7287, toyota, small, yes, coup).
car(7288, toyota, large, no, coup).
car(7290, benz, small, yes, coup).
car(7304, bmw, small, yes, coup).
car(7316, bmw, small, yes, coup).
car(7327, benz, large, no, suv).
car(7339, benz, large, no, suv).
car(7348, toyota, large, no, coup).
car(7358, mitsubishi, medium, no, suv).
car(7375, benz, large, no, suv).
car(7389, bmw, medium, yes, coup).
car(7397, toyota, large, no, suv).
car(7399, benz, large, no, suv).
car(7415, ford, large, no, suv).
car(7416, honda, small, no, coup).
car(7417, mitsubishi, small, yes, coup).
car(7453, mitsubishi, small, yes, coup).
car(7468, toyota, large, no, coup).
car(7496, bmw, small, yes, coup).
car(7499, ford, large, no, suv).
car(7500, honda, small, no, coup).
car(7520, bmw, small, yes, coup).
car(7522, ford, small, yes, coup).
car(7546, ford, small, yes, coup).
car(7551, toyota, small, yes, coup).
car(7570, ford, small, yes, coup).
car(7581, bmw, medium, yes, coup).
car(7585, mitsubishi, small, yes, coup).
car(7586, mitsubishi, medium, no, suv).
car(7604, bmw, small, yes, coup).
car(7613, toyota, large, no, suv).
car(7621, mitsubishi, small, yes, coup).
car(7623, toyota, small, yes, coup).
car(7626, benz, small, yes, coup).
car(7627, benz, large, no, suv).
car(7650, benz, small, yes, coup).
car(7659, toyota, small, yes, coup).
car(7684, toyota, large, no, coup).
car(7688, bmw, small, yes, coup).
car(7690, ford, small, yes, coup).
car(7733, toyota, large, no, suv).
car(7734, benz, small, yes, coup).
car(7758, benz, small, yes, coup).
car(7761, bmw, medium, yes, coup).
car(7768, toyota, large, no, coup).
car(7783, benz, large, no, suv).
car(7785, bmw, medium, yes, coup).
car(7808, bmw, small, yes, coup).
car(7812, honda, small, no, coup).
car(7824, honda, small, no, coup).
car(7829, toyota, large, no, suv).
car(7831, benz, large, no, suv).
car(7842, benz, small, yes, coup).
car(7855, benz, large, no, suv).
car(7859, ford, large, no, suv).
car(7871, ford, large, no, suv).
car(7878, benz, small, yes, coup).
car(7886, mitsubishi, medium, no, suv).
car(7887, toyota, small, yes, coup).
car(7901, toyota, large, no, suv).
car(7911, toyota, small, yes, coup).
car(7917, bmw, medium, yes, coup).
car(7944, honda, small, no, coup).
car(7951, benz, large, no, suv).
car(7953, bmw, medium, yes, coup).
car(7971, benz, small, yes, coup).
car(7972, bmw, small, yes, coup).
car(7983, toyota, small, yes, coup).
car(8007, toyota, small, yes, coup).
car(8013, bmw, medium, yes, coup).
car(8021, toyota, large, no, suv).
car(8024, bmw, small, yes, coup).
car(8028, honda, small, no, coup).
car(8038, ford, small, yes, coup).
car(8061, bmw, medium, yes, coup).
car(8088, honda, small, no, coup).
car(8090, mitsubishi, medium, no, suv).
car(8097, bmw, medium, yes, coup).
car(8102, mitsubishi, medium, no, suv).
car(8104, toyota, large, no, coup).
car(8109, bmw, medium, yes, coup).
car(8114, mitsubishi, medium, no, suv).
car(8116, toyota, large, no, coup).
car(8126, mitsubishi, medium, no, suv).
car(8141, toyota, large, no, suv).
car(8143, benz, large, no, suv).
car(8150, mitsubishi, medium, no, suv).
car(8156, bmw, small, yes, coup).
