car(20, bmw, small, yes, coup).
car(1767, toyota, small, yes, coup).
car(1790, mitsubishi, medium, no, suv).
car(1807, benz, large, no, suv).
car(1816, toyota, large, no, coup).
car(1835, ford, large, no, suv).
car(1839, toyota, small, yes, coup).
car(1847, ford, large, no, suv).
car(1857, bmw, medium, yes, coup).
car(1861, mitsubishi, small, yes, coup).
car(1868, bmw, small, yes, coup).
car(1878, benz, small, yes, coup).
car(1893, bmw, medium, yes, coup).
car(1942, ford, small, yes, coup).
car(1944, honda, small, no, coup).
car(1966, ford, small, yes, coup).
car(1972, toyota, large, no, coup).
car(1974, benz, small, yes, coup).
car(1983, toyota, small, yes, coup).
car(1987, benz, large, no, suv).
car(1991, honda, small, no, coup).
car(2017, mitsubishi, small, yes, coup).
car(2019, toyota, small, yes, coup).
car(2021, toyota, large, no, suv).
car(2030, mitsubishi, medium, no, suv).
car(2048, bmw, small, yes, coup).
car(2050, ford, small, yes, coup).
car(2053, mitsubishi, small, yes, coup).
car(2060, bmw, small, yes, coup).
car(2065, mitsubishi, small, yes, coup).
car(2067, toyota, small, yes, coup).
car(2089, mitsubishi, small, yes, coup).
car(2090, mitsubishi, medium, no, suv).
car(2094, benz, small, yes, coup).
car(2095, benz, large, no, suv).
car(2109, bmw, medium, yes, coup).
car(2110, ford, small, yes, coup).
car(2112, honda, small, no, coup).
car(2113, mitsubishi, small, yes, coup).
car(2122, ford, small, yes, coup).
car(2129, toyota, large, no, suv).
car(2148, honda, small, no, coup).
car(2150, mitsubishi, medium, no, suv).
car(2157, bmw, medium, yes, coup).
car(2160, honda, small, no, coup).
car(2182, ford, small, yes, coup).
car(2195, ford, large, no, suv).
car(2196, honda, small, no, coup).
car(2206, ford, small, yes, coup).
car(2208, honda, small, no, coup).
car(2235, toyota, small, yes, coup).
car(2245, mitsubishi, small, yes, coup).
car(2250, benz, small, yes, coup).
car(2262, benz, small, yes, coup).
car(2295, toyota, small, yes, coup).
car(2317, mitsubishi, small, yes, coup).
car(2344, toyota, large, no, coup).
car(2347, benz, large, no, suv).
car(2353, mitsubishi, small, yes, coup).
car(2357, toyota, large, no, suv).
car(2359, benz, large, no, suv).
car(2371, benz, large, no, suv).
car(2373, bmw, medium, yes, coup).
car(2407, benz, large, no, suv).
car(2414, mitsubishi, medium, no, suv).
car(2418, benz, small, yes, coup).
car(2419, benz, large, no, suv).
car(2452, toyota, large, no, coup).
car(2458, ford, small, yes, coup).
car(2459, ford, large, no, suv).
car(2465, toyota, large, no, suv).
car(2476, toyota, large, no, coup).
car(2502, benz, small, yes, coup).
car(2527, benz, large, no, suv).
car(2543, ford, large, no, suv).
car(2552, bmw, small, yes, coup).
car(2556, honda, small, no, coup).
car(2557, mitsubishi, small, yes, coup).
car(2568, honda, small, no, coup).
car(2577, bmw, medium, yes, coup).
car(2583, toyota, small, yes, coup).
car(2600, bmw, small, yes, coup).
car(2611, benz, large, no, suv).
car(2637, bmw, medium, yes, coup).
car(2663, ford, large, no, suv).
car(2671, benz, large, no, suv).
car(2673, bmw, medium, yes, coup).
car(2685, bmw, medium, yes, coup).
car(2689, mitsubishi, small, yes, coup).
car(2691, toyota, small, yes, coup).
car(2698, ford, small, yes, coup).
car(2706, benz, small, yes, coup).
car(2712, honda, small, no, coup).
car(2725, mitsubishi, small, yes, coup).
car(2746, ford, small, yes, coup).
car(2761, mitsubishi, small, yes, coup).
car(2766, benz, small, yes, coup).
car(2771, ford, large, no, suv).
car(2788, toyota, large, no, coup).
car(2800, toyota, large, no, coup).
car(2802, benz, small, yes, coup).
car(2814, benz, small, yes, coup).
car(2815, benz, large, no, suv).
car(2835, toyota, small, yes, coup).
car(2838, benz, small, yes, coup).
car(2848, toyota, large, no, coup).
car(2876, bmw, small, yes, coup).
car(2877, bmw, medium, yes, coup).
car(2878, ford, small, yes, coup).
car(2881, mitsubishi, small, yes, coup).
car(2894, mitsubishi, medium, no, suv).
car(2895, toyota, small, yes, coup).
car(2898, benz, small, yes, coup).
car(2905, mitsubishi, small, yes, coup).
car(2906, mitsubishi, medium, no, suv).
car(2914, ford, small, yes, coup).
car(2918, mitsubishi, medium, no, suv).
car(2967, toyota, small, yes, coup).
car(2968, toyota, large, no, coup).
car(2988, mitsubishi, small, yes, coup).
car(3000, ford, large, no, suv).
car(3026, mitsubishi, medium, no, suv).
car(3033, bmw, medium, yes, coup).
car(3054, benz, small, yes, coup).
car(3061, mitsubishi, small, yes, coup).
car(3067, benz, large, no, suv).
car(3070, ford, small, yes, coup).
car(3075, toyota, small, yes, coup).
car(3082, ford, small, yes, coup).
car(3085, mitsubishi, small, yes, coup).
car(3100, toyota, large, no, coup).
car(3104, bmw, small, yes, coup).
car(3112, toyota, large, no, coup).
car(3136, toyota, large, no, coup).
car(3138, benz, small, yes, coup).
car(3143, ford, large, no, suv).
car(3146, mitsubishi, medium, no, suv).
car(3159, toyota, small, yes, coup).
car(3163, benz, large, no, suv).
car(3172, toyota, large, no, coup).
car(3175, benz, large, no, suv).
car(3181, mitsubishi, small, yes, coup).
car(3187, benz, large, no, suv).
car(3202, ford, small, yes, coup).
car(3210, benz, small, yes, coup).
car(3228, honda, small, no, coup).
car(3230, mitsubishi, medium, no, suv).
car(3231, toyota, small, yes, coup).
car(3246, benz, small, yes, coup).
car(3266, mitsubishi, medium, no, suv).
car(3270, benz, small, yes, coup).
car(3292, toyota, large, no, coup).
car(3317, toyota, large, no, suv).
car(3337, mitsubishi, small, yes, coup).
car(3377, toyota, large, no, suv).
car(3384, honda, small, no, coup).
car(3395, ford, large, no, suv).
car(3410, mitsubishi, medium, no, suv).
car(3418, ford, small, yes, coup).
car(3429, bmw, medium, yes, coup).
car(3450, benz, small, yes, coup).
car(3461, toyota, large, no, suv).
car(3463, benz, large, no, suv).
car(3466, ford, small, yes, coup).
car(3475, benz, large, no, suv).
car(3486, benz, small, yes, coup).
car(3496, toyota, large, no, coup).
car(3508, toyota, large, no, coup).
car(3510, benz, small, yes, coup).
car(3518, mitsubishi, medium, no, suv).
car(3538, ford, small, yes, coup).
car(3554, mitsubishi, medium, no, suv).
car(3563, ford, large, no, suv).
car(3564, honda, small, no, coup).
car(3578, mitsubishi, medium, no, suv).
car(3585, bmw, medium, yes, coup).
car(3591, toyota, small, yes, coup).
car(3595, benz, large, no, suv).
car(3611, ford, large, no, suv).
car(3638, mitsubishi, medium, no, suv).
car(3639, toyota, small, yes, coup).
car(3652, toyota, large, no, coup).
car(3656, bmw, small, yes, coup).
car(3673, mitsubishi, small, yes, coup).
car(3682, ford, small, yes, coup).
car(3684, honda, small, no, coup).
car(3697, mitsubishi, small, yes, coup).
car(3709, mitsubishi, small, yes, coup).
car(3722, mitsubishi, medium, no, suv).
car(3742, ford, small, yes, coup).
car(3768, honda, small, no, coup).
car(3780, honda, small, no, coup).
car(3783, toyota, small, yes, coup).
car(3789, bmw, medium, yes, coup).
car(3794, mitsubishi, medium, no, suv).
car(3813, bmw, medium, yes, coup).
car(3819, toyota, small, yes, coup).
car(3823, benz, large, no, suv).
car(3824, bmw, small, yes, coup).
car(3834, benz, small, yes, coup).
car(3835, benz, large, no, suv).
car(3856, toyota, large, no, coup).
car(3861, bmw, medium, yes, coup).
car(3874, ford, small, yes, coup).
car(3884, bmw, small, yes, coup).
car(3926, mitsubishi, medium, no, suv).
car(3945, bmw, medium, yes, coup).
car(3949, mitsubishi, small, yes, coup).
car(3972, honda, small, no, coup).
car(3977, toyota, large, no, suv).
car(3978, benz, small, yes, coup).
car(3986, toyota, large, no, coup).
car(3992, benz, large, no, suv).
car(4000, toyota, large, no, coup).
car(4001, toyota, large, no, suv).
car(4007, ford, large, no, suv).
car(4011, toyota, small, yes, coup).
car(4034, mitsubishi, medium, no, suv).
car(4040, bmw, small, yes, coup).
car(4067, ford, large, no, suv).
car(4069, mitsubishi, small, yes, coup).
car(4076, bmw, small, yes, coup).
car(4078, ford, small, yes, coup).
car(4084, toyota, large, no, coup).
car(4085, toyota, large, no, suv).
car(4086, benz, small, yes, coup).
car(4087, benz, large, no, suv).
car(4090, ford, small, yes, coup).
car(4095, toyota, small, yes, coup).
car(4097, toyota, large, no, suv).
car(4100, bmw, small, yes, coup).
car(4105, mitsubishi, small, yes, coup).
car(4108, toyota, large, no, coup).
car(4111, benz, large, no, suv).
car(4112, bmw, small, yes, coup).
car(4128, honda, small, no, coup).
car(4135, benz, large, no, suv).
car(4153, mitsubishi, small, yes, coup).
car(4158, benz, small, yes, coup).
car(4176, honda, small, no, coup).
car(4193, toyota, large, no, suv).
car(4222, ford, small, yes, coup).
car(4233, bmw, medium, yes, coup).
car(4236, honda, small, no, coup).
car(4250, mitsubishi, medium, no, suv).
car(4255, benz, large, no, suv).
car(4256, bmw, small, yes, coup).
car(4279, benz, large, no, suv).
car(4308, honda, small, no, coup).
car(4335, toyota, small, yes, coup).
car(4352, bmw, small, yes, coup).
car(4354, ford, small, yes, coup).
car(4367, ford, large, no, suv).
car(4381, mitsubishi, small, yes, coup).
car(4385, toyota, large, no, suv).
car(4386, benz, small, yes, coup).
car(4389, bmw, medium, yes, coup).
car(4391, ford, large, no, suv).
car(4397, toyota, large, no, suv).
car(4421, toyota, large, no, suv).
car(4429, mitsubishi, small, yes, coup).
car(4436, bmw, small, yes, coup).
car(4437, bmw, medium, yes, coup).
car(4447, benz, large, no, suv).
car(4461, bmw, medium, yes, coup).
car(4467, toyota, small, yes, coup).
car(4475, ford, large, no, suv).
car(4483, benz, large, no, suv).
car(4485, bmw, medium, yes, coup).
car(4502, mitsubishi, medium, no, suv).
car(4509, bmw, medium, yes, coup).
car(4518, benz, small, yes, coup).
car(4528, toyota, large, no, coup).
car(4539, toyota, small, yes, coup).
car(4540, toyota, large, no, coup).
car(4551, toyota, small, yes, coup).
car(4560, honda, small, no, coup).
car(4565, toyota, large, no, suv).
car(4574, mitsubishi, medium, no, suv).
car(4589, toyota, large, no, suv).
car(4597, mitsubishi, small, yes, coup).
car(4598, mitsubishi, medium, no, suv).
car(4600, toyota, large, no, coup).
car(4606, ford, small, yes, coup).
car(4615, benz, large, no, suv).
car(4626, benz, small, yes, coup).
car(4668, honda, small, no, coup).
car(4675, benz, large, no, suv).
car(4678, ford, small, yes, coup).
car(4687, benz, large, no, suv).
car(4703, ford, large, no, suv).
car(4716, honda, small, no, coup).
car(4740, honda, small, no, coup).
car(4746, benz, small, yes, coup).
car(4747, benz, large, no, suv).
car(4749, bmw, medium, yes, coup).
car(4751, ford, large, no, suv).
car(4772, bmw, small, yes, coup).
car(4773, bmw, medium, yes, coup).
car(4775, ford, large, no, suv).
car(4779, toyota, small, yes, coup).
car(4784, bmw, small, yes, coup).
car(4789, mitsubishi, small, yes, coup).
car(4796, bmw, small, yes, coup).
car(4797, bmw, medium, yes, coup).
car(4798, ford, small, yes, coup).
car(4804, toyota, large, no, coup).
car(4825, mitsubishi, small, yes, coup).
car(4835, ford, large, no, suv).
car(4836, honda, small, no, coup).
car(4858, ford, small, yes, coup).
car(4881, bmw, medium, yes, coup).
car(4886, mitsubishi, medium, no, suv).
car(4888, toyota, large, no, coup).
car(4892, bmw, small, yes, coup).
car(4920, honda, small, no, coup).
car(4923, toyota, small, yes, coup).
car(4926, benz, small, yes, coup).
car(4934, mitsubishi, medium, no, suv).
car(4936, toyota, large, no, coup).
car(4940, bmw, small, yes, coup).
car(4944, honda, small, no, coup).
car(4946, mitsubishi, medium, no, suv).
car(4973, toyota, large, no, suv).
car(4974, benz, small, yes, coup).
car(4975, benz, large, no, suv).
car(4984, bmw, small, yes, coup).
car(4993, mitsubishi, small, yes, coup).
car(4995, toyota, small, yes, coup).
car(4997, toyota, large, no, suv).
car(4998, benz, small, yes, coup).
car(5003, ford, large, no, suv).
car(5011, benz, large, no, suv).
car(5019, toyota, small, yes, coup).
car(5026, ford, small, yes, coup).
car(5048, bmw, small, yes, coup).
car(5060, bmw, small, yes, coup).
car(5064, honda, small, no, coup).
car(5087, ford, large, no, suv).
car(5095, benz, large, no, suv).
car(5101, mitsubishi, small, yes, coup).
car(5107, benz, large, no, suv).
car(5116, toyota, large, no, coup).
car(5127, toyota, small, yes, coup).
car(5142, benz, small, yes, coup).
car(5148, honda, small, no, coup).
car(5153, toyota, large, no, suv).
car(5158, ford, small, yes, coup).
car(5166, benz, small, yes, coup).
car(5178, benz, small, yes, coup).
car(5182, ford, small, yes, coup).
car(5186, mitsubishi, medium, no, suv).
car(5189, toyota, large, no, suv).
car(5196, honda, small, no, coup).
car(5206, ford, small, yes, coup).
car(5214, benz, small, yes, coup).
car(5222, mitsubishi, medium, no, suv).
car(5234, mitsubishi, medium, no, suv).
car(5246, mitsubishi, medium, no, suv).
car(5256, honda, small, no, coup).
car(5295, toyota, small, yes, coup).
car(5299, benz, large, no, suv).
car(5301, bmw, medium, yes, coup).
car(5304, honda, small, no, coup).
car(5309, toyota, large, no, suv).
car(5311, benz, large, no, suv).
car(5330, mitsubishi, medium, no, suv).
car(5335, benz, large, no, suv).
car(5342, mitsubishi, medium, no, suv).
car(5352, honda, small, no, coup).
car(5353, mitsubishi, small, yes, coup).
car(5365, mitsubishi, small, yes, coup).
car(5369, toyota, large, no, suv).
car(5371, benz, large, no, suv).
car(5378, mitsubishi, medium, no, suv).
car(5396, bmw, small, yes, coup).
car(5425, mitsubishi, small, yes, coup).
car(5433, bmw, medium, yes, coup).
car(5436, honda, small, no, coup).
car(5457, bmw, medium, yes, coup).
car(5461, mitsubishi, small, yes, coup).
car(5462, mitsubishi, medium, no, suv).
car(5464, toyota, large, no, coup).
car(5471, ford, large, no, suv).
car(5475, toyota, small, yes, coup).
car(5495, ford, large, no, suv).
car(5498, mitsubishi, medium, no, suv).
car(5518, ford, small, yes, coup).
car(5521, mitsubishi, small, yes, coup).
car(5522, mitsubishi, medium, no, suv).
car(5528, bmw, small, yes, coup).
car(5558, mitsubishi, medium, no, suv).
car(5561, toyota, large, no, suv).
car(5566, ford, small, yes, coup).
car(5579, ford, large, no, suv).
car(5587, benz, large, no, suv).
car(5598, benz, small, yes, coup).
car(5602, ford, small, yes, coup).
car(5631, toyota, small, yes, coup).
car(5646, benz, small, yes, coup).
car(5649, bmw, medium, yes, coup).
car(5654, mitsubishi, medium, no, suv).
car(5656, toyota, large, no, coup).
car(5657, toyota, large, no, suv).
car(5665, mitsubishi, small, yes, coup).
car(5672, bmw, small, yes, coup).
car(5687, ford, large, no, suv).
car(5704, toyota, large, no, coup).
car(5706, benz, small, yes, coup).
car(5711, ford, large, no, suv).
car(5713, mitsubishi, small, yes, coup).
car(5717, toyota, large, no, suv).
car(5718, benz, small, yes, coup).
car(5738, mitsubishi, medium, no, suv).
car(5739, toyota, small, yes, coup).
car(5764, toyota, large, no, coup).
car(5765, toyota, large, no, suv).
car(5775, toyota, small, yes, coup).
car(5789, toyota, large, no, suv).
car(5812, toyota, large, no, coup).
car(5814, benz, small, yes, coup).
car(5839, benz, large, no, suv).
car(5846, mitsubishi, medium, no, suv).
car(5867, ford, large, no, suv).
car(5871, toyota, small, yes, coup).
car(5875, benz, large, no, suv).
car(5927, ford, large, no, suv).
car(5943, toyota, small, yes, coup).
car(5950, ford, small, yes, coup).
car(5966, mitsubishi, medium, no, suv).
car(5968, toyota, large, no, coup).
car(5974, ford, small, yes, coup).
car(5984, benz, large, no, suv).
car(5991, toyota, small, yes, coup).
car(5993, toyota, large, no, suv).
car(6003, toyota, small, yes, coup).
car(6014, mitsubishi, medium, no, suv).
car(6016, toyota, large, no, coup).
car(6020, bmw, small, yes, coup).
car(6083, ford, large, no, suv).
car(6086, mitsubishi, medium, no, suv).
car(6111, toyota, small, yes, coup).
car(6153, bmw, medium, yes, coup).
car(6159, toyota, small, yes, coup).
car(6222, benz, small, yes, coup).
car(6223, benz, large, no, suv).
car(6236, bmw, small, yes, coup).
car(6242, mitsubishi, medium, no, suv).
car(6245, toyota, large, no, suv).
car(6267, toyota, small, yes, coup).
car(6299, ford, large, no, suv).
car(6307, benz, large, no, suv).
car(6317, toyota, large, no, suv).
car(6322, ford, small, yes, coup).
car(6324, honda, small, no, coup).
car(6336, honda, small, no, coup).
car(6345, bmw, medium, yes, coup).
car(6366, benz, small, yes, coup).
car(6379, benz, large, no, suv).
car(6386, mitsubishi, medium, no, suv).
car(6393, bmw, medium, yes, coup).
car(6394, ford, small, yes, coup).
car(6395, ford, large, no, suv).
car(6405, bmw, medium, yes, coup).
car(6411, toyota, small, yes, coup).
car(6434, mitsubishi, medium, no, suv).
car(6435, toyota, small, yes, coup).
car(6445, mitsubishi, small, yes, coup).
car(6465, bmw, medium, yes, coup).
car(6467, ford, large, no, suv).
car(6475, benz, large, no, suv).
car(6485, toyota, large, no, suv).
car(6519, toyota, small, yes, coup).
car(6535, benz, large, no, suv).
car(6570, benz, small, yes, coup).
car(6579, toyota, small, yes, coup).
car(6581, toyota, large, no, suv).
car(6584, bmw, small, yes, coup).
car(6596, bmw, small, yes, coup).
car(6604, toyota, large, no, coup).
car(6611, ford, large, no, suv).
car(6617, toyota, large, no, suv).
car(6624, honda, small, no, coup).
car(6665, toyota, large, no, suv).
car(6684, honda, small, no, coup).
car(6700, toyota, large, no, coup).
car(6702, benz, small, yes, coup).
car(6722, mitsubishi, medium, no, suv).
car(6746, mitsubishi, medium, no, suv).
car(6754, ford, small, yes, coup).
car(6757, mitsubishi, small, yes, coup).
car(6760, toyota, large, no, coup).
car(6763, benz, large, no, suv).
car(6780, honda, small, no, coup).
car(6791, ford, large, no, suv).
car(6812, bmw, small, yes, coup).
car(6830, mitsubishi, medium, no, suv).
car(6860, bmw, small, yes, coup).
car(6874, ford, small, yes, coup).
car(6876, honda, small, no, coup).
car(6884, bmw, small, yes, coup).
car(6888, honda, small, no, coup).
car(6904, toyota, large, no, coup).
car(6905, toyota, large, no, suv).
car(6911, ford, large, no, suv).
car(6919, benz, large, no, suv).
car(6925, mitsubishi, small, yes, coup).
car(6967, benz, large, no, suv).
car(6971, honda, small, no, coup).
car(6985, mitsubishi, small, yes, coup).
car(6989, toyota, large, no, suv).
car(6992, bmw, small, yes, coup).
car(6996, honda, small, no, coup).
car(7011, toyota, small, yes, coup).
car(7014, benz, small, yes, coup).
car(7018, ford, small, yes, coup).
car(7037, toyota, large, no, suv).
car(7064, bmw, small, yes, coup).
car(7070, mitsubishi, medium, no, suv).
car(7082, mitsubishi, medium, no, suv).
car(7086, benz, small, yes, coup).
car(7104, honda, small, no, coup).
car(7113, bmw, medium, yes, coup).
car(7118, mitsubishi, medium, no, suv).
car(7126, ford, small, yes, coup).
car(7132, toyota, large, no, coup).
car(7143, toyota, small, yes, coup).
car(7154, mitsubishi, medium, no, suv).
car(7157, toyota, large, no, suv).
car(7162, ford, small, yes, coup).
car(7177, mitsubishi, small, yes, coup).
car(7200, honda, small, no, coup).
car(7201, mitsubishi, small, yes, coup).
car(7215, toyota, small, yes, coup).
car(7220, bmw, small, yes, coup).
car(7234, ford, small, yes, coup).
car(7240, toyota, large, no, coup).
car(7246, ford, small, yes, coup).
car(7250, mitsubishi, medium, no, suv).
car(7252, toyota, large, no, coup).
car(7267, benz, large, no, suv).
car(7295, ford, large, no, suv).
car(7308, honda, small, no, coup).
car(7322, mitsubishi, medium, no, suv).
car(7331, ford, large, no, suv).
car(7354, ford, small, yes, coup).
car(7355, ford, large, no, suv).
car(7368, honda, small, no, coup).
car(7383, toyota, small, yes, coup).
car(7384, toyota, large, no, coup).
car(7405, mitsubishi, small, yes, coup).
car(7406, mitsubishi, medium, no, suv).
car(7423, benz, large, no, suv).
car(7425, bmw, medium, yes, coup).
car(7427, ford, large, no, suv).
car(7432, toyota, large, no, coup).
car(7443, toyota, small, yes, coup).
car(7447, benz, large, no, suv).
car(7450, ford, small, yes, coup).
car(7452, honda, small, no, coup).
car(7467, toyota, small, yes, coup).
car(7484, bmw, small, yes, coup).
car(7492, toyota, large, no, coup).
car(7497, bmw, medium, yes, coup).
car(7502, mitsubishi, medium, no, suv).
car(7509, bmw, medium, yes, coup).
car(7528, toyota, large, no, coup).
car(7534, ford, small, yes, coup).
car(7537, mitsubishi, small, yes, coup).
car(7544, bmw, small, yes, coup).
car(7557, bmw, medium, yes, coup).
car(7561, mitsubishi, small, yes, coup).
car(7569, bmw, medium, yes, coup).
car(7572, honda, small, no, coup).
car(7580, bmw, small, yes, coup).
car(7593, bmw, medium, yes, coup).
car(7598, mitsubishi, medium, no, suv).
car(7605, bmw, medium, yes, coup).
car(7614, benz, small, yes, coup).
car(7663, benz, large, no, suv).
car(7669, mitsubishi, small, yes, coup).
car(7674, benz, small, yes, coup).
car(7680, honda, small, no, coup).
car(7697, toyota, large, no, suv).
car(7701, bmw, medium, yes, coup).
car(7720, toyota, large, no, coup).
car(7770, benz, small, yes, coup).
car(7797, bmw, medium, yes, coup).
car(7798, ford, small, yes, coup).
car(7813, mitsubishi, small, yes, coup).
car(7816, toyota, large, no, coup).
car(7821, bmw, medium, yes, coup).
car(7843, benz, large, no, suv).
car(7847, ford, large, no, suv).
car(7868, bmw, small, yes, coup).
car(7870, ford, small, yes, coup).
car(7877, toyota, large, no, suv).
car(7882, ford, small, yes, coup).
car(7888, toyota, large, no, coup).
car(7899, toyota, small, yes, coup).
car(7903, benz, large, no, suv).
car(7910, mitsubishi, medium, no, suv).
car(7913, toyota, large, no, suv).
car(7918, ford, small, yes, coup).
car(7921, mitsubishi, small, yes, coup).
car(7922, mitsubishi, medium, no, suv).
car(7931, ford, large, no, suv).
car(7947, toyota, small, yes, coup).
car(7954, ford, small, yes, coup).
car(7968, mitsubishi, small, yes, coup).
car(7975, honda, small, no, coup).
car(7982, mitsubishi, medium, no, suv).
car(7996, toyota, large, no, coup).
car(8003, ford, large, no, suv).
car(8005, mitsubishi, small, yes, coup).
car(8014, ford, small, yes, coup).
car(8017, mitsubishi, small, yes, coup).
car(8020, toyota, large, no, coup).
car(8036, bmw, small, yes, coup).
car(8049, bmw, medium, yes, coup).
car(8051, ford, large, no, suv).
car(8062, ford, small, yes, coup).
car(8064, honda, small, no, coup).
car(8065, mitsubishi, small, yes, coup).
car(8077, mitsubishi, small, yes, coup).
car(8081, toyota, large, no, suv).
car(8083, benz, large, no, suv).
car(8087, ford, large, no, suv).
car(8110, ford, small, yes, coup).
car(8139, toyota, small, yes, coup).
car(8148, honda, small, no, coup).
car(8149, mitsubishi, small, yes, coup).
car(8166, benz, small, yes, coup).
car(8168, bmw, small, yes, coup).
car(8206, ford, small, yes, coup).
car(8220, honda, small, no, coup).
car(8231, ford, large, no, suv).
