car(15, toyota, small, yes, coup).
car(783, toyota, small, yes, coup).
car(785, toyota, large, no, suv).
car(787, benz, large, no, suv).
car(807, toyota, small, yes, coup).
car(818, mitsubishi, medium, no, suv).
car(822, benz, small, yes, coup).
car(823, benz, large, no, suv).
car(848, bmw, small, yes, coup).
car(861, bmw, medium, yes, coup).
car(870, benz, small, yes, coup).
car(871, benz, large, no, suv).
car(874, ford, small, yes, coup).
car(909, bmw, medium, yes, coup).
car(915, toyota, small, yes, coup).
car(918, benz, small, yes, coup).
car(919, benz, large, no, suv).
car(921, bmw, medium, yes, coup).
car(926, mitsubishi, medium, no, suv).
car(941, toyota, large, no, suv).
car(944, bmw, small, yes, coup).
car(948, honda, small, no, coup).
car(952, toyota, large, no, coup).
car(957, bmw, medium, yes, coup).
car(962, mitsubishi, medium, no, suv).
car(964, toyota, large, no, coup).
car(968, bmw, small, yes, coup).
car(977, toyota, large, no, suv).
car(1014, benz, small, yes, coup).
car(1018, ford, small, yes, coup).
car(1023, toyota, small, yes, coup).
car(1024, toyota, large, no, coup).
car(1031, ford, large, no, suv).
car(1048, toyota, large, no, coup).
car(1054, ford, small, yes, coup).
car(1055, ford, large, no, suv).
car(1059, toyota, small, yes, coup).
car(1066, ford, small, yes, coup).
car(1084, toyota, large, no, coup).
car(1118, mitsubishi, medium, no, suv).
car(1119, toyota, small, yes, coup).
car(1136, bmw, small, yes, coup).
car(1158, benz, small, yes, coup).
car(1163, ford, large, no, suv).
car(1169, toyota, large, no, suv).
car(1181, toyota, large, no, suv).
car(1199, ford, large, no, suv).
car(1204, toyota, large, no, coup).
car(1209, bmw, medium, yes, coup).
car(1221, bmw, medium, yes, coup).
car(1225, mitsubishi, small, yes, coup).
car(1230, benz, small, yes, coup).
car(1237, mitsubishi, small, yes, coup).
car(1272, honda, small, no, coup).
car(1274, mitsubishi, medium, no, suv).
car(1277, toyota, large, no, suv).
car(1282, ford, small, yes, coup).
car(1295, ford, large, no, suv).
car(1296, honda, small, no, coup).
car(1316, bmw, small, yes, coup).
car(1350, benz, small, yes, coup).
car(1360, toyota, large, no, coup).
car(1365, bmw, medium, yes, coup).
car(1400, bmw, small, yes, coup).
car(1403, ford, large, no, suv).
car(1415, ford, large, no, suv).
car(1431, toyota, small, yes, coup).
car(1442, mitsubishi, medium, no, suv).
car(1446, benz, small, yes, coup).
car(1451, ford, large, no, suv).
car(1468, toyota, large, no, coup).
car(1487, ford, large, no, suv).
car(1490, mitsubishi, medium, no, suv).
car(1497, bmw, medium, yes, coup).
car(1514, mitsubishi, medium, no, suv).
car(1579, benz, large, no, suv).
car(1581, bmw, medium, yes, coup).
car(1590, benz, small, yes, coup).
car(1600, toyota, large, no, coup).
car(1606, ford, small, yes, coup).
car(1619, ford, large, no, suv).
car(1624, toyota, large, no, coup).
car(1643, ford, large, no, suv).
car(1649, toyota, large, no, suv).
car(1658, mitsubishi, medium, no, suv).
car(1673, toyota, large, no, suv).
car(1675, benz, large, no, suv).
car(1691, ford, large, no, suv).
car(1705, mitsubishi, small, yes, coup).
car(1728, honda, small, no, coup).
car(1741, mitsubishi, small, yes, coup).
car(1746, benz, small, yes, coup).
car(1769, toyota, large, no, suv).
car(1784, bmw, small, yes, coup).
car(1787, ford, large, no, suv).
car(1794, benz, small, yes, coup).
car(1824, honda, small, no, coup).
car(1830, benz, small, yes, coup).
car(1834, ford, small, yes, coup).
car(1846, ford, small, yes, coup).
car(1890, benz, small, yes, coup).
car(1900, toyota, large, no, coup).
car(1929, bmw, medium, yes, coup).
car(1950, benz, small, yes, coup).
car(1951, benz, large, no, suv).
car(1959, toyota, small, yes, coup).
car(1970, mitsubishi, medium, no, suv).
car(1976, bmw, small, yes, coup).
car(1982, mitsubishi, medium, no, suv).
car(2004, ford, large, no, suv).
car(2082, benz, small, yes, coup).
car(2088, honda, small, no, coup).
car(2091, toyota, small, yes, coup).
car(2105, toyota, large, no, suv).
car(2111, ford, large, no, suv).
car(2130, benz, small, yes, coup).
car(2158, ford, small, yes, coup).
car(2171, ford, large, no, suv).
car(2197, mitsubishi, small, yes, coup).
car(2203, benz, large, no, suv).
car(2222, mitsubishi, medium, no, suv).
car(2226, benz, small, yes, coup).
car(2233, mitsubishi, small, yes, coup).
car(2240, bmw, small, yes, coup).
car(2263, benz, large, no, suv).
car(2264, bmw, small, yes, coup).
car(2266, ford, small, yes, coup).
car(2273, toyota, large, no, suv).
car(2281, mitsubishi, small, yes, coup).
car(2283, toyota, small, yes, coup).
car(2291, ford, large, no, suv).
car(2299, benz, large, no, suv).
car(2302, ford, small, yes, coup).
car(2310, benz, small, yes, coup).
car(2314, ford, small, yes, coup).
car(2323, benz, large, no, suv).
car(2326, ford, small, yes, coup).
car(2328, honda, small, no, coup).
car(2336, bmw, small, yes, coup).
car(2345, toyota, large, no, suv).
car(2366, mitsubishi, medium, no, suv).
car(2367, toyota, small, yes, coup).
car(2391, toyota, small, yes, coup).
car(2408, bmw, small, yes, coup).
car(2412, honda, small, no, coup).
car(2427, toyota, small, yes, coup).
car(2434, ford, small, yes, coup).
car(2449, mitsubishi, small, yes, coup).
car(2456, bmw, small, yes, coup).
car(2468, bmw, small, yes, coup).
car(2470, ford, small, yes, coup).
car(2472, honda, small, no, coup).
car(2483, ford, large, no, suv).
car(2487, toyota, small, yes, coup).
car(2489, toyota, large, no, suv).
car(2491, benz, large, no, suv).
car(2496, honda, small, no, coup).
car(2498, mitsubishi, medium, no, suv).
car(2505, bmw, medium, yes, coup).
car(2506, ford, small, yes, coup).
car(2510, mitsubishi, medium, no, suv).
car(2511, toyota, small, yes, coup).
car(2518, ford, small, yes, coup).
car(2519, ford, large, no, suv).
car(2523, toyota, small, yes, coup).
car(2546, mitsubishi, medium, no, suv).
car(2570, mitsubishi, medium, no, suv).
car(2575, benz, large, no, suv).
car(2581, mitsubishi, small, yes, coup).
car(2584, toyota, large, no, coup).
car(2591, ford, large, no, suv).
car(2595, toyota, small, yes, coup).
car(2612, bmw, small, yes, coup).
car(2618, mitsubishi, medium, no, suv).
car(2628, honda, small, no, coup).
car(2643, toyota, small, yes, coup).
car(2658, benz, small, yes, coup).
car(2707, benz, large, no, suv).
car(2729, toyota, large, no, suv).
car(2730, benz, small, yes, coup).
car(2783, ford, large, no, suv).
car(2789, toyota, large, no, suv).
car(2790, benz, small, yes, coup).
car(2798, mitsubishi, medium, no, suv).
car(2803, benz, large, no, suv).
car(2813, toyota, large, no, suv).
car(2816, bmw, small, yes, coup).
car(2837, toyota, large, no, suv).
car(2879, ford, large, no, suv).
car(2882, mitsubishi, medium, no, suv).
car(2900, bmw, small, yes, coup).
car(2910, benz, small, yes, coup).
car(2919, toyota, small, yes, coup).
car(2923, benz, large, no, suv).
car(2945, toyota, large, no, suv).
car(2949, bmw, medium, yes, coup).
car(2964, honda, small, no, coup).
car(2965, mitsubishi, small, yes, coup).
car(2972, bmw, small, yes, coup).
car(2986, ford, small, yes, coup).
car(3002, mitsubishi, medium, no, suv).
car(3011, ford, large, no, suv).
car(3018, benz, small, yes, coup).
car(3028, toyota, large, no, coup).
car(3031, benz, large, no, suv).
car(3034, ford, small, yes, coup).
car(3038, mitsubishi, medium, no, suv).
car(3066, benz, small, yes, coup).
car(3072, honda, small, no, coup).
car(3076, toyota, large, no, coup).
car(3080, bmw, small, yes, coup).
car(3090, benz, small, yes, coup).
car(3107, ford, large, no, suv).
car(3108, honda, small, no, coup).
car(3110, mitsubishi, medium, no, suv).
car(3126, benz, small, yes, coup).
car(3155, ford, large, no, suv).
car(3164, bmw, small, yes, coup).
car(3168, honda, small, no, coup).
car(3171, toyota, small, yes, coup).
car(3184, toyota, large, no, coup).
car(3191, ford, large, no, suv).
car(3193, mitsubishi, small, yes, coup).
car(3201, bmw, medium, yes, coup).
car(3205, mitsubishi, small, yes, coup).
car(3216, honda, small, no, coup).
car(3235, benz, large, no, suv).
car(3241, mitsubishi, small, yes, coup).
car(3244, toyota, large, no, coup).
car(3249, bmw, medium, yes, coup).
car(3260, bmw, small, yes, coup).
car(3265, mitsubishi, small, yes, coup).
car(3282, benz, small, yes, coup).
car(3289, mitsubishi, small, yes, coup).
car(3301, mitsubishi, small, yes, coup).
car(3302, mitsubishi, medium, no, suv).
car(3323, ford, large, no, suv).
car(3324, honda, small, no, coup).
car(3330, benz, small, yes, coup).
car(3331, benz, large, no, suv).
car(3333, bmw, medium, yes, coup).
car(3342, benz, small, yes, coup).
car(3363, toyota, small, yes, coup).
car(3366, benz, small, yes, coup).
car(3382, ford, small, yes, coup).
car(3386, mitsubishi, medium, no, suv).
car(3414, benz, small, yes, coup).
car(3427, benz, large, no, suv).
car(3438, benz, small, yes, coup).
car(3444, honda, small, no, coup).
car(3478, ford, small, yes, coup).
car(3491, ford, large, no, suv).
car(3499, benz, large, no, suv).
car(3501, bmw, medium, yes, coup).
car(3502, ford, small, yes, coup).
car(3520, toyota, large, no, coup).
car(3532, toyota, large, no, coup).
car(3539, ford, large, no, suv).
car(3550, ford, small, yes, coup).
car(3570, benz, small, yes, coup).
car(3574, ford, small, yes, coup).
car(3582, benz, small, yes, coup).
car(3610, ford, small, yes, coup).
car(3619, benz, large, no, suv).
car(3628, toyota, large, no, coup).
car(3632, bmw, small, yes, coup).
car(3637, mitsubishi, small, yes, coup).
car(3650, mitsubishi, medium, no, suv).
car(3657, bmw, medium, yes, coup).
car(3665, toyota, large, no, suv).
car(3668, bmw, small, yes, coup).
car(3669, bmw, medium, yes, coup).
car(3701, toyota, large, no, suv).
car(3712, toyota, large, no, coup).
car(3724, toyota, large, no, coup).
car(3741, bmw, medium, yes, coup).
car(3765, bmw, medium, yes, coup).
car(3786, benz, small, yes, coup).
car(3804, honda, small, no, coup).
car(3806, mitsubishi, medium, no, suv).
car(3841, mitsubishi, small, yes, coup).
car(3842, mitsubishi, medium, no, suv).
car(3845, toyota, large, no, suv).
car(3859, benz, large, no, suv).
car(3879, toyota, small, yes, coup).
car(3889, mitsubishi, small, yes, coup).
car(3891, toyota, small, yes, coup).
car(3892, toyota, large, no, coup).
car(3901, mitsubishi, small, yes, coup).
car(3911, ford, large, no, suv).
car(3919, benz, large, no, suv).
car(3922, ford, small, yes, coup).
car(3923, ford, large, no, suv).
car(3928, toyota, large, no, coup).
car(3940, toyota, large, no, coup).
car(3942, benz, small, yes, coup).
car(3966, benz, small, yes, coup).
car(3971, ford, large, no, suv).
car(3975, toyota, small, yes, coup).
car(3993, ford, large, no, suv).
car(4029, bmw, medium, yes, coup).
car(4066, ford, small, yes, coup).
car(4080, honda, small, no, coup).
car(4083, toyota, small, yes, coup).
car(4089, bmw, medium, yes, coup).
car(4092, honda, small, no, coup).
car(4113, bmw, medium, yes, coup).
car(4134, benz, small, yes, coup).
car(4146, benz, small, yes, coup).
car(4171, benz, large, no, suv).
car(4194, benz, small, yes, coup).
car(4211, ford, large, no, suv).
car(4223, ford, large, no, suv).
car(4225, mitsubishi, small, yes, coup).
car(4229, toyota, large, no, suv).
car(4230, benz, small, yes, coup).
car(4239, toyota, small, yes, coup).
car(4258, ford, small, yes, coup).
car(4280, bmw, small, yes, coup).
car(4284, honda, small, no, coup).
car(4287, toyota, small, yes, coup).
car(4346, mitsubishi, medium, no, suv).
car(4351, benz, large, no, suv).
car(4364, bmw, small, yes, coup).
car(4374, benz, small, yes, coup).
car(4376, bmw, small, yes, coup).
car(4388, bmw, small, yes, coup).
car(4398, benz, small, yes, coup).
car(4403, ford, large, no, suv).
car(4406, mitsubishi, medium, no, suv).
car(4409, toyota, large, no, suv).
car(4415, ford, large, no, suv).
car(4419, toyota, small, yes, coup).
car(4426, ford, small, yes, coup).
car(4434, benz, small, yes, coup).
car(4452, honda, small, no, coup).
car(4458, benz, small, yes, coup).
car(4462, ford, small, yes, coup).
car(4468, toyota, large, no, coup).
car(4474, ford, small, yes, coup).
car(4478, mitsubishi, medium, no, suv).
car(4482, benz, small, yes, coup).
car(4486, ford, small, yes, coup).
car(4492, toyota, large, no, coup).
car(4511, ford, large, no, suv).
car(4513, mitsubishi, small, yes, coup).
car(4538, mitsubishi, medium, no, suv).
car(4558, ford, small, yes, coup).
car(4577, toyota, large, no, suv).
car(4602, benz, small, yes, coup).
car(4613, toyota, large, no, suv).
car(4622, mitsubishi, medium, no, suv).
car(4624, toyota, large, no, coup).
car(4643, ford, large, no, suv).
car(4654, ford, small, yes, coup).
car(4685, toyota, large, no, suv).
car(4699, benz, large, no, suv).
car(4711, benz, large, no, suv).
car(4726, ford, small, yes, coup).
car(4727, ford, large, no, suv).
car(4736, bmw, small, yes, coup).
car(4742, mitsubishi, medium, no, suv).
car(4748, bmw, small, yes, coup).
car(4759, benz, large, no, suv).
car(4793, toyota, large, no, suv).
car(4815, toyota, small, yes, coup).
car(4818, benz, small, yes, coup).
car(4820, bmw, small, yes, coup).
car(4824, honda, small, no, coup).
car(4840, toyota, large, no, coup).
car(4844, bmw, small, yes, coup).
car(4848, honda, small, no, coup).
car(4857, bmw, medium, yes, coup).
car(4872, honda, small, no, coup).
car(4876, toyota, large, no, coup).
car(4904, bmw, small, yes, coup).
car(4917, bmw, medium, yes, coup).
car(4948, toyota, large, no, coup).
car(4953, bmw, medium, yes, coup).
car(4955, ford, large, no, suv).
car(4956, honda, small, no, coup).
car(4958, mitsubishi, medium, no, suv).
car(4985, bmw, medium, yes, coup).
car(4990, toyota, large, no, suv).
car(5002, ford, small, yes, coup).
car(5014, ford, small, yes, coup).
car(5024, bmw, small, yes, coup).
car(5025, bmw, medium, yes, coup).
car(5030, mitsubishi, medium, no, suv).
car(5043, toyota, small, yes, coup).
car(5068, toyota, large, no, coup).
car(5075, ford, large, no, suv).
car(5086, ford, small, yes, coup).
car(5091, toyota, small, yes, coup).
car(5094, benz, small, yes, coup).
car(5100, honda, small, no, coup).
car(5111, ford, large, no, suv).
car(5122, ford, small, yes, coup).
car(5123, ford, large, no, suv).
car(5124, honda, small, no, coup).
car(5139, toyota, small, yes, coup).
car(5140, toyota, large, no, coup).
car(5146, ford, small, yes, coup).
car(5161, mitsubishi, small, yes, coup).
car(5173, mitsubishi, small, yes, coup).
car(5179, benz, large, no, suv).
car(5181, bmw, medium, yes, coup).
car(5183, ford, large, no, suv).
car(5190, benz, small, yes, coup).
car(5192, bmw, small, yes, coup).
car(5198, mitsubishi, medium, no, suv).
car(5201, toyota, large, no, suv).
car(5230, ford, small, yes, coup).
car(5250, benz, small, yes, coup).
car(5267, ford, large, no, suv).
car(5269, mitsubishi, small, yes, coup).
car(5271, toyota, small, yes, coup).
car(5280, honda, small, no, coup).
car(5290, ford, small, yes, coup).
car(5294, mitsubishi, medium, no, suv).
car(5303, ford, large, no, suv).
car(5308, toyota, large, no, coup).
car(5314, ford, small, yes, coup).
car(5318, mitsubishi, medium, no, suv).
car(5325, bmw, medium, yes, coup).
car(5334, benz, small, yes, coup).
car(5336, bmw, small, yes, coup).
car(5343, toyota, small, yes, coup).
car(5344, toyota, large, no, coup).
car(5366, mitsubishi, medium, no, suv).
car(5409, bmw, medium, yes, coup).
car(5417, toyota, large, no, suv).
car(5418, benz, small, yes, coup).
car(5424, honda, small, no, coup).
car(5478, benz, small, yes, coup).
car(5480, bmw, small, yes, coup).
car(5482, ford, small, yes, coup).
car(5491, benz, large, no, suv).
car(5509, mitsubishi, small, yes, coup).
car(5515, benz, large, no, suv).
car(5526, benz, small, yes, coup).
car(5531, ford, large, no, suv).
car(5536, toyota, large, no, coup).
car(5539, benz, large, no, suv).
car(5571, toyota, small, yes, coup).
car(5577, bmw, medium, yes, coup).
car(5584, toyota, large, no, coup).
car(5585, toyota, large, no, suv).
car(5589, bmw, medium, yes, coup).
car(5606, mitsubishi, medium, no, suv).
car(5609, toyota, large, no, suv).
car(5613, bmw, medium, yes, coup).
car(5618, mitsubishi, medium, no, suv).
car(5619, toyota, small, yes, coup).
car(5628, honda, small, no, coup).
car(5673, bmw, medium, yes, coup).
car(5691, toyota, small, yes, coup).
car(5693, toyota, large, no, suv).
car(5697, bmw, medium, yes, coup).
car(5699, ford, large, no, suv).
car(5703, toyota, small, yes, coup).
car(5728, toyota, large, no, coup).
car(5729, toyota, large, no, suv).
car(5731, benz, large, no, suv).
car(5755, benz, large, no, suv).
car(5761, mitsubishi, small, yes, coup).
car(5770, ford, small, yes, coup).
car(5792, bmw, small, yes, coup).
car(5796, honda, small, no, coup).
car(5811, toyota, small, yes, coup).
car(5813, toyota, large, no, suv).
car(5822, mitsubishi, medium, no, suv).
car(5848, toyota, large, no, coup).
car(5850, benz, small, yes, coup).
car(5855, ford, large, no, suv).
car(5857, mitsubishi, small, yes, coup).
car(5862, benz, small, yes, coup).
car(5879, ford, large, no, suv).
car(5888, bmw, small, yes, coup).
car(5890, ford, small, yes, coup).
car(5907, toyota, small, yes, coup).
car(5912, bmw, small, yes, coup).
car(5913, bmw, medium, yes, coup).
car(5921, toyota, large, no, suv).
car(5932, toyota, large, no, coup).
car(5937, bmw, medium, yes, coup).
car(5939, ford, large, no, suv).
car(5945, toyota, large, no, suv).
car(5946, benz, small, yes, coup).
car(5976, mitsubishi, small, yes, coup).
car(5985, ford, large, no, suv).
car(6002, mitsubishi, medium, no, suv).
car(6010, ford, small, yes, coup).
car(6012, honda, small, no, coup).
car(6024, honda, small, no, coup).
car(6054, benz, small, yes, coup).
car(6058, ford, small, yes, coup).
car(6069, bmw, medium, yes, coup).
car(6094, ford, small, yes, coup).
car(6117, bmw, medium, yes, coup).
car(6119, ford, large, no, suv).
car(6143, ford, large, no, suv).
car(6150, benz, small, yes, coup).
car(6155, ford, large, no, suv).
car(6180, honda, small, no, coup).
car(6183, toyota, small, yes, coup).
car(6188, bmw, small, yes, coup).
car(6196, toyota, large, no, coup).
car(6201, bmw, medium, yes, coup).
car(6209, toyota, large, no, suv).
car(6227, ford, large, no, suv).
car(6230, mitsubishi, medium, no, suv).
car(6234, benz, small, yes, coup).
car(6249, bmw, medium, yes, coup).
car(6256, toyota, large, no, coup).
car(6261, bmw, medium, yes, coup).
car(6286, ford, small, yes, coup).
car(6290, mitsubishi, medium, no, suv).
car(6312, honda, small, no, coup).
car(6314, mitsubishi, medium, no, suv).
car(6327, toyota, small, yes, coup).
car(6339, toyota, small, yes, coup).
car(6370, ford, small, yes, coup).
car(6387, toyota, small, yes, coup).
car(6389, toyota, large, no, suv).
car(6397, mitsubishi, small, yes, coup).
car(6398, mitsubishi, medium, no, suv).
car(6403, benz, large, no, suv).
car(6407, ford, large, no, suv).
car(6413, toyota, large, no, suv).
car(6415, benz, large, no, suv).
car(6418, ford, small, yes, coup).
car(6442, ford, small, yes, coup).
car(6455, ford, large, no, suv).
car(6458, mitsubishi, medium, no, suv).
car(6460, toyota, large, no, coup).
car(6464, bmw, small, yes, coup).
car(6517, mitsubishi, small, yes, coup).
car(6522, benz, small, yes, coup).
car(6528, honda, small, no, coup).
car(6549, bmw, medium, yes, coup).
car(6558, benz, small, yes, coup).
car(6564, honda, small, no, coup).
car(6565, mitsubishi, small, yes, coup).
car(6574, ford, small, yes, coup).
car(6578, mitsubishi, medium, no, suv).
car(6582, benz, small, yes, coup).
car(6590, mitsubishi, medium, no, suv).
car(6623, ford, large, no, suv).
car(6630, benz, small, yes, coup).
car(6633, bmw, medium, yes, coup).
car(6638, mitsubishi, medium, no, suv).
car(6654, benz, small, yes, coup).
car(6673, mitsubishi, small, yes, coup).
car(6674, mitsubishi, medium, no, suv).
car(6678, benz, small, yes, coup).
car(6692, bmw, small, yes, coup).
car(6720, honda, small, no, coup).
car(6726, benz, small, yes, coup).
car(6732, honda, small, no, coup).
car(6742, ford, small, yes, coup).
car(6745, mitsubishi, small, yes, coup).
car(6750, benz, small, yes, coup).
car(6755, ford, large, no, suv).
car(6776, bmw, small, yes, coup).
car(6781, mitsubishi, small, yes, coup).
car(6793, mitsubishi, small, yes, coup).
car(6805, mitsubishi, small, yes, coup).
car(6807, toyota, small, yes, coup).
car(6813, bmw, medium, yes, coup).
car(6821, toyota, large, no, suv).
car(6847, benz, large, no, suv).
car(6851, ford, large, no, suv).
car(6859, benz, large, no, suv).
car(6866, mitsubishi, medium, no, suv).
car(6869, toyota, large, no, suv).
car(6873, bmw, medium, yes, coup).
car(6885, bmw, medium, yes, coup).
car(6891, toyota, small, yes, coup).
car(6908, bmw, small, yes, coup).
car(6913, mitsubishi, small, yes, coup).
car(6945, bmw, medium, yes, coup).
car(6959, ford, large, no, suv).
car(6973, toyota, small, yes, coup).
car(6986, mitsubishi, medium, no, suv).
car(6993, bmw, medium, yes, coup).
car(7003, benz, large, no, suv).
car(7005, bmw, medium, yes, coup).
car(7008, honda, small, no, coup).
car(7033, mitsubishi, small, yes, coup).
car(7034, mitsubishi, medium, no, suv).
car(7046, mitsubishi, medium, no, suv).
car(7060, toyota, large, no, coup).
car(7062, benz, small, yes, coup).
car(7063, benz, large, no, suv).
car(7066, ford, small, yes, coup).
car(7072, toyota, large, no, coup).
car(7084, toyota, large, no, coup).
car(7085, toyota, large, no, suv).
car(7098, benz, small, yes, coup).
car(7102, ford, small, yes, coup).
car(7105, mitsubishi, small, yes, coup).
car(7119, toyota, small, yes, coup).
car(7122, benz, small, yes, coup).
car(7123, benz, large, no, suv).
car(7128, honda, small, no, coup).
car(7131, toyota, small, yes, coup).
car(7137, bmw, medium, yes, coup).
car(7151, ford, large, no, suv).
car(7159, benz, large, no, suv).
car(7168, toyota, large, no, coup).
car(7176, honda, small, no, coup).
car(7190, mitsubishi, medium, no, suv).
car(7194, benz, small, yes, coup).
car(7196, bmw, small, yes, coup).
car(7209, bmw, medium, yes, coup).
car(7218, benz, small, yes, coup).
car(7228, toyota, large, no, coup).
car(7238, mitsubishi, medium, no, suv).
car(7242, benz, small, yes, coup).
car(7244, bmw, small, yes, coup).
car(7247, ford, large, no, suv).
car(7248, honda, small, no, coup).
car(7249, mitsubishi, small, yes, coup).
car(7261, mitsubishi, small, yes, coup).
car(7265, toyota, large, no, suv).
car(7277, toyota, large, no, suv).
car(7280, bmw, small, yes, coup).
car(7292, bmw, small, yes, coup).
car(7293, bmw, medium, yes, coup).
car(7297, mitsubishi, small, yes, coup).
car(7306, ford, small, yes, coup).
car(7338, benz, small, yes, coup).
car(7343, ford, large, no, suv).
car(7346, mitsubishi, medium, no, suv).
car(7352, bmw, small, yes, coup).
car(7359, toyota, small, yes, coup).
car(7364, bmw, small, yes, coup).
car(7365, bmw, medium, yes, coup).
car(7386, benz, small, yes, coup).
car(7387, benz, large, no, suv).
car(7394, mitsubishi, medium, no, suv).
car(7400, bmw, small, yes, coup).
car(7419, toyota, small, yes, coup).
car(7438, ford, small, yes, coup).
car(7439, ford, large, no, suv).
car(7440, honda, small, no, coup).
car(7448, bmw, small, yes, coup).
car(7449, bmw, medium, yes, coup).
car(7464, honda, small, no, coup).
car(7466, mitsubishi, medium, no, suv).
car(7475, ford, large, no, suv).
car(7478, mitsubishi, medium, no, suv).
car(7480, toyota, large, no, coup).
car(7483, benz, large, no, suv).
car(7493, toyota, large, no, suv).
car(7495, benz, large, no, suv).
car(7498, ford, small, yes, coup).
car(7506, benz, small, yes, coup).
car(7529, toyota, large, no, suv).
car(7539, toyota, small, yes, coup).
car(7558, ford, small, yes, coup).
car(7578, benz, small, yes, coup).
car(7589, toyota, large, no, suv).
car(7599, toyota, small, yes, coup).
car(7600, toyota, large, no, coup).
car(7615, benz, large, no, suv).
car(7618, ford, small, yes, coup).
car(7633, mitsubishi, small, yes, coup).
car(7644, honda, small, no, coup).
car(7651, benz, large, no, suv).
car(7655, ford, large, no, suv).
car(7675, benz, large, no, suv).
car(7676, bmw, small, yes, coup).
car(7678, ford, small, yes, coup).
car(7689, bmw, medium, yes, coup).
car(7700, bmw, small, yes, coup).
car(7715, ford, large, no, suv).
car(7728, honda, small, no, coup).
car(7731, toyota, small, yes, coup).
car(7738, ford, small, yes, coup).
car(7764, honda, small, no, coup).
car(7786, ford, small, yes, coup).
car(7789, mitsubishi, small, yes, coup).
car(7790, mitsubishi, medium, no, suv).
car(7796, bmw, small, yes, coup).
car(7805, toyota, large, no, suv).
car(7809, bmw, medium, yes, coup).
car(7811, ford, large, no, suv).
car(7815, toyota, small, yes, coup).
car(7826, mitsubishi, medium, no, suv).
car(7832, bmw, small, yes, coup).
car(7844, bmw, small, yes, coup).
car(7863, toyota, small, yes, coup).
car(7869, bmw, medium, yes, coup).
car(7873, mitsubishi, small, yes, coup).
car(7875, toyota, small, yes, coup).
car(7884, honda, small, no, coup).
car(7892, bmw, small, yes, coup).
car(7893, bmw, medium, yes, coup).
car(7895, ford, large, no, suv).
car(7920, honda, small, no, coup).
car(7923, toyota, small, yes, coup).
car(7926, benz, small, yes, coup).
car(7932, honda, small, no, coup).
car(7950, benz, small, yes, coup).
car(7961, toyota, large, no, suv).
car(7964, bmw, small, yes, coup).
car(7977, ford, large, no, suv).
car(7989, bmw, medium, yes, coup).
car(7993, mitsubishi, small, yes, coup).
car(8002, ford, small, yes, coup).
car(8041, mitsubishi, small, yes, coup).
car(8044, toyota, large, no, coup).
car(8055, toyota, small, yes, coup).
car(8058, benz, small, yes, coup).
car(8066, mitsubishi, medium, no, suv).
car(8068, toyota, large, no, coup).
car(8121, bmw, medium, yes, coup).
car(8129, toyota, large, no, suv).
car(8133, bmw, medium, yes, coup).
car(8145, bmw, medium, yes, coup).
car(8151, toyota, small, yes, coup).
