car(2, toyota, small, yes, coup).
car(1739, ford, large, no, suv).
car(1749, bmw, medium, yes, coup).
car(1778, mitsubishi, medium, no, suv).
car(1799, ford, large, no, suv).
car(1802, mitsubishi, medium, no, suv).
car(1814, mitsubishi, medium, no, suv).
car(1819, benz, large, no, suv).
car(1822, ford, small, yes, coup).
car(1823, ford, large, no, suv).
car(1854, benz, small, yes, coup).
car(1858, ford, small, yes, coup).
car(1864, toyota, large, no, coup).
car(1869, bmw, medium, yes, coup).
car(1875, toyota, small, yes, coup).
car(1877, toyota, large, no, suv).
car(1897, mitsubishi, small, yes, coup).
car(1902, benz, small, yes, coup).
car(1903, benz, large, no, suv).
car(1910, mitsubishi, medium, no, suv).
car(1920, honda, small, no, coup).
car(1936, toyota, large, no, coup).
car(1946, mitsubishi, medium, no, suv).
car(1960, toyota, large, no, coup).
car(1980, honda, small, no, coup).
car(1986, benz, small, yes, coup).
car(1992, mitsubishi, small, yes, coup).
car(2001, ford, large, no, suv).
car(2011, benz, large, no, suv).
car(2022, benz, small, yes, coup).
car(2026, ford, small, yes, coup).
car(2049, bmw, medium, yes, coup).
car(2061, bmw, medium, yes, coup).
car(2066, mitsubishi, medium, no, suv).
car(2120, bmw, small, yes, coup).
car(2127, toyota, small, yes, coup).
car(2128, toyota, large, no, coup).
car(2132, bmw, small, yes, coup).
car(2136, honda, small, no, coup).
car(2142, benz, small, yes, coup).
car(2151, toyota, small, yes, coup).
car(2173, mitsubishi, small, yes, coup).
car(2174, mitsubishi, medium, no, suv).
car(2202, benz, small, yes, coup).
car(2213, toyota, large, no, suv).
car(2216, bmw, small, yes, coup).
car(2217, bmw, medium, yes, coup).
car(2231, ford, large, no, suv).
car(2243, ford, large, no, suv).
car(2255, ford, large, no, suv).
car(2267, ford, large, no, suv).
car(2271, toyota, small, yes, coup).
car(2274, benz, small, yes, coup).
car(2288, bmw, small, yes, coup).
car(2296, toyota, large, no, coup).
car(2304, honda, small, no, coup).
car(2305, mitsubishi, small, yes, coup).
car(2308, toyota, large, no, coup).
car(2322, benz, small, yes, coup).
car(2331, toyota, small, yes, coup).
car(2369, toyota, large, no, suv).
car(2372, bmw, small, yes, coup).
car(2379, toyota, small, yes, coup).
car(2385, bmw, medium, yes, coup).
car(2389, mitsubishi, small, yes, coup).
car(2405, toyota, large, no, suv).
car(2411, ford, large, no, suv).
car(2420, bmw, small, yes, coup).
car(2421, bmw, medium, yes, coup).
car(2425, mitsubishi, small, yes, coup).
car(2446, ford, small, yes, coup).
car(2462, mitsubishi, medium, no, suv).
car(2478, benz, small, yes, coup).
car(2492, bmw, small, yes, coup).
car(2497, mitsubishi, small, yes, coup).
car(2513, toyota, large, no, suv).
car(2516, bmw, small, yes, coup).
car(2522, mitsubishi, medium, no, suv).
car(2537, toyota, large, no, suv).
car(2589, bmw, medium, yes, coup).
car(2599, benz, large, no, suv).
car(2602, ford, small, yes, coup).
car(2631, toyota, small, yes, coup).
car(2636, bmw, small, yes, coup).
car(2640, honda, small, no, coup).
car(2641, mitsubishi, small, yes, coup).
car(2645, toyota, large, no, suv).
car(2662, ford, small, yes, coup).
car(2664, honda, small, no, coup).
car(2676, honda, small, no, coup).
car(2678, mitsubishi, medium, no, suv).
car(2686, ford, small, yes, coup).
car(2692, toyota, large, no, coup).
car(2708, bmw, small, yes, coup).
car(2709, bmw, medium, yes, coup).
car(2713, mitsubishi, small, yes, coup).
car(2715, toyota, small, yes, coup).
car(2718, benz, small, yes, coup).
car(2737, mitsubishi, small, yes, coup).
car(2738, mitsubishi, medium, no, suv).
car(2758, ford, small, yes, coup).
car(2765, toyota, large, no, suv).
car(2768, bmw, small, yes, coup).
car(2795, ford, large, no, suv).
car(2810, mitsubishi, medium, no, suv).
car(2811, toyota, small, yes, coup).
car(2820, honda, small, no, coup).
car(2821, mitsubishi, small, yes, coup).
car(2831, ford, large, no, suv).
car(2833, mitsubishi, small, yes, coup).
car(2854, ford, small, yes, coup).
car(2856, honda, small, no, coup).
car(2857, mitsubishi, small, yes, coup).
car(2863, benz, large, no, suv).
car(2871, toyota, small, yes, coup).
car(2872, toyota, large, no, coup).
car(2873, toyota, large, no, suv).
car(2875, benz, large, no, suv).
car(2888, bmw, small, yes, coup).
car(2896, toyota, large, no, coup).
car(2908, toyota, large, no, coup).
car(2915, ford, large, no, suv).
car(2916, honda, small, no, coup).
car(2920, toyota, large, no, coup).
car(2926, ford, small, yes, coup).
car(2934, benz, small, yes, coup).
car(2936, bmw, small, yes, coup).
car(2944, toyota, large, no, coup).
car(2962, ford, small, yes, coup).
car(2969, toyota, large, no, suv).
car(2976, honda, small, no, coup).
car(2979, toyota, small, yes, coup).
car(2991, benz, small, yes, coup).
car(2992, bmw, small, yes, coup).
car(2996, benz, large, no, suv).
car(3006, benz, small, yes, coup).
car(3016, toyota, large, no, coup).
car(3019, benz, large, no, suv).
car(3022, ford, small, yes, coup).
car(3044, bmw, small, yes, coup).
car(3046, ford, small, yes, coup).
car(3050, mitsubishi, medium, no, suv).
car(3069, bmw, medium, yes, coup).
car(3094, ford, small, yes, coup).
car(3122, mitsubishi, medium, no, suv).
car(3124, toyota, large, no, coup).
car(3135, toyota, small, yes, coup).
car(3140, bmw, small, yes, coup).
car(3156, honda, small, no, coup).
car(3170, mitsubishi, medium, no, suv).
car(3178, ford, small, yes, coup).
car(3199, benz, large, no, suv).
car(3204, honda, small, no, coup).
car(3207, toyota, small, yes, coup).
car(3209, toyota, large, no, suv).
car(3215, ford, large, no, suv).
car(3222, benz, small, yes, coup).
car(3234, benz, small, yes, coup).
car(3237, bmw, medium, yes, coup).
car(3238, ford, small, yes, coup).
car(3252, honda, small, no, coup).
car(3255, toyota, small, yes, coup).
car(3258, benz, small, yes, coup).
car(3278, mitsubishi, medium, no, suv).
car(3283, benz, large, no, suv).
car(3284, bmw, small, yes, coup).
car(3285, bmw, medium, yes, coup).
car(3290, mitsubishi, medium, no, suv).
car(3298, ford, small, yes, coup).
car(3310, ford, small, yes, coup).
car(3318, benz, small, yes, coup).
car(3322, ford, small, yes, coup).
car(3332, bmw, small, yes, coup).
car(3338, mitsubishi, medium, no, suv).
car(3347, ford, large, no, suv).
car(3348, honda, small, no, coup).
car(3356, bmw, small, yes, coup).
car(3372, honda, small, no, coup).
car(3373, mitsubishi, small, yes, coup).
car(3374, mitsubishi, medium, no, suv).
car(3392, bmw, small, yes, coup).
car(3411, toyota, small, yes, coup).
car(3420, honda, small, no, coup).
car(3432, honda, small, no, coup).
car(3434, mitsubishi, medium, no, suv).
car(3437, toyota, large, no, suv).
car(3446, mitsubishi, medium, no, suv).
car(3464, bmw, small, yes, coup).
car(3471, toyota, small, yes, coup).
car(3495, toyota, small, yes, coup).
car(3519, toyota, small, yes, coup).
car(3545, toyota, large, no, suv).
car(3562, ford, small, yes, coup).
car(3565, mitsubishi, small, yes, coup).
car(3592, toyota, large, no, coup).
car(3593, toyota, large, no, suv).
car(3596, bmw, small, yes, coup).
car(3597, bmw, medium, yes, coup).
car(3599, ford, large, no, suv).
car(3616, toyota, large, no, coup).
car(3621, bmw, medium, yes, coup).
car(3623, ford, large, no, suv).
car(3625, mitsubishi, small, yes, coup).
car(3635, ford, large, no, suv).
car(3644, bmw, small, yes, coup).
car(3660, honda, small, no, coup).
car(3664, toyota, large, no, coup).
car(3681, bmw, medium, yes, coup).
car(3689, toyota, large, no, suv).
car(3699, toyota, small, yes, coup).
car(3703, benz, large, no, suv).
car(3705, bmw, medium, yes, coup).
car(3713, toyota, large, no, suv).
car(3714, benz, small, yes, coup).
car(3716, bmw, small, yes, coup).
car(3723, toyota, small, yes, coup).
car(3736, toyota, large, no, coup).
car(3737, toyota, large, no, suv).
car(3740, bmw, small, yes, coup).
car(3743, ford, large, no, suv).
car(3752, bmw, small, yes, coup).
car(3754, ford, small, yes, coup).
car(3763, benz, large, no, suv).
car(3772, toyota, large, no, coup).
car(3775, benz, large, no, suv).
car(3781, mitsubishi, small, yes, coup).
car(3785, toyota, large, no, suv).
car(3795, toyota, small, yes, coup).
car(3801, bmw, medium, yes, coup).
car(3820, toyota, large, no, coup).
car(3844, toyota, large, no, coup).
car(3847, benz, large, no, suv).
car(3852, honda, small, no, coup).
car(3854, mitsubishi, medium, no, suv).
car(3863, ford, large, no, suv).
car(3878, mitsubishi, medium, no, suv).
car(3886, ford, small, yes, coup).
car(3890, mitsubishi, medium, no, suv).
car(3907, benz, large, no, suv).
car(3916, toyota, large, no, coup).
car(3924, honda, small, no, coup).
car(3936, honda, small, no, coup).
car(3938, mitsubishi, medium, no, suv).
car(3951, toyota, small, yes, coup).
car(3953, toyota, large, no, suv).
car(3954, benz, small, yes, coup).
car(3973, mitsubishi, small, yes, coup).
car(3976, toyota, large, no, coup).
car(3995, mitsubishi, medium, no, suv).
car(3996, ford, large, no, suv).
car(3997, mitsubishi, small, yes, coup).
car(4023, toyota, small, yes, coup).
car(4025, toyota, large, no, suv).
car(4026, benz, small, yes, coup).
car(4037, toyota, large, no, suv).
car(4039, benz, large, no, suv).
car(4041, bmw, medium, yes, coup).
car(4044, honda, small, no, coup).
car(4057, mitsubishi, small, yes, coup).
car(4070, mitsubishi, medium, no, suv).
car(4071, toyota, small, yes, coup).
car(4101, bmw, medium, yes, coup).
car(4103, ford, large, no, suv).
car(4114, ford, small, yes, coup).
car(4123, benz, large, no, suv).
car(4144, toyota, large, no, coup).
car(4147, benz, large, no, suv).
car(4155, toyota, small, yes, coup).
car(4159, benz, large, no, suv).
car(4169, toyota, large, no, suv).
car(4172, bmw, small, yes, coup).
car(4174, ford, small, yes, coup).
car(4180, toyota, large, no, coup).
car(4197, bmw, medium, yes, coup).
car(4202, mitsubishi, medium, no, suv).
car(4204, toyota, large, no, coup).
car(4209, bmw, medium, yes, coup).
car(4213, mitsubishi, small, yes, coup).
car(4219, benz, large, no, suv).
car(4220, bmw, small, yes, coup).
car(4224, honda, small, no, coup).
car(4235, ford, large, no, suv).
car(4238, mitsubishi, medium, no, suv).
car(4240, toyota, large, no, coup).
car(4259, ford, large, no, suv).
car(4282, ford, small, yes, coup).
car(4285, mitsubishi, small, yes, coup).
car(4290, benz, small, yes, coup).
car(4294, ford, small, yes, coup).
car(4302, benz, small, yes, coup).
car(4310, mitsubishi, medium, no, suv).
car(4321, mitsubishi, small, yes, coup).
car(4338, benz, small, yes, coup).
car(4345, mitsubishi, small, yes, coup).
car(4356, honda, small, no, coup).
car(4357, mitsubishi, small, yes, coup).
car(4372, toyota, large, no, coup).
car(4404, honda, small, no, coup).
car(4424, bmw, small, yes, coup).
car(4428, honda, small, no, coup).
car(4431, toyota, small, yes, coup).
car(4440, honda, small, no, coup).
car(4450, ford, small, yes, coup).
car(4451, ford, large, no, suv).
car(4456, toyota, large, no, coup).
car(4466, mitsubishi, medium, no, suv).
car(4471, benz, large, no, suv).
car(4472, bmw, small, yes, coup).
car(4488, honda, small, no, coup).
car(4496, bmw, small, yes, coup).
car(4517, toyota, large, no, suv).
car(4522, ford, small, yes, coup).
car(4553, toyota, large, no, suv).
car(4562, mitsubishi, medium, no, suv).
car(4581, bmw, medium, yes, coup).
car(4584, honda, small, no, coup).
car(4604, bmw, small, yes, coup).
car(4605, bmw, medium, yes, coup).
car(4611, toyota, small, yes, coup).
car(4616, bmw, small, yes, coup).
car(4619, ford, large, no, suv).
car(4621, mitsubishi, small, yes, coup).
car(4625, toyota, large, no, suv).
car(4627, benz, large, no, suv).
car(4634, mitsubishi, medium, no, suv).
car(4639, benz, large, no, suv).
car(4676, bmw, small, yes, coup).
car(4710, benz, small, yes, coup).
car(4713, bmw, medium, yes, coup).
car(4741, mitsubishi, small, yes, coup).
car(4744, toyota, large, no, coup).
car(4753, mitsubishi, small, yes, coup).
car(4760, bmw, small, yes, coup).
car(4762, ford, small, yes, coup).
car(4791, toyota, small, yes, coup).
car(4795, benz, large, no, suv).
car(4806, benz, small, yes, coup).
car(4810, ford, small, yes, coup).
car(4826, mitsubishi, medium, no, suv).
car(4834, ford, small, yes, coup).
car(4841, toyota, large, no, suv).
car(4851, toyota, small, yes, coup).
car(4854, benz, small, yes, coup).
car(4864, toyota, large, no, coup).
car(4867, benz, large, no, suv).
car(4894, ford, small, yes, coup).
car(4907, ford, large, no, suv).
car(4943, ford, large, no, suv).
car(4945, mitsubishi, small, yes, coup).
car(4950, benz, small, yes, coup).
car(4963, benz, large, no, suv).
car(4964, bmw, small, yes, coup).
car(4971, toyota, small, yes, coup).
car(4999, benz, large, no, suv).
car(5006, mitsubishi, medium, no, suv).
car(5015, ford, large, no, suv).
car(5021, toyota, large, no, suv).
car(5034, benz, small, yes, coup).
car(5036, bmw, small, yes, coup).
car(5037, bmw, medium, yes, coup).
car(5045, toyota, large, no, suv).
car(5046, benz, small, yes, coup).
car(5055, toyota, small, yes, coup).
car(5072, bmw, small, yes, coup).
car(5077, mitsubishi, small, yes, coup).
car(5110, ford, small, yes, coup).
car(5112, honda, small, no, coup).
car(5134, ford, small, yes, coup).
car(5157, bmw, medium, yes, coup).
car(5199, toyota, small, yes, coup).
car(5223, toyota, small, yes, coup).
car(5224, toyota, large, no, coup).
car(5232, honda, small, no, coup).
car(5253, bmw, medium, yes, coup).
car(5265, bmw, medium, yes, coup).
car(5266, ford, small, yes, coup).
car(5273, toyota, large, no, suv).
car(5278, ford, small, yes, coup).
car(5288, bmw, small, yes, coup).
car(5300, bmw, small, yes, coup).
car(5329, mitsubishi, small, yes, coup).
car(5350, ford, small, yes, coup).
car(5359, benz, large, no, suv).
car(5361, bmw, medium, yes, coup).
car(5368, toyota, large, no, coup).
car(5384, bmw, small, yes, coup).
car(5393, toyota, large, no, suv).
car(5403, toyota, small, yes, coup).
car(5422, ford, small, yes, coup).
car(5442, benz, small, yes, coup).
car(5453, toyota, large, no, suv).
car(5458, ford, small, yes, coup).
car(5459, ford, large, no, suv).
car(5469, bmw, medium, yes, coup).
car(5470, ford, small, yes, coup).
car(5474, mitsubishi, medium, no, suv).
car(5489, toyota, large, no, suv).
car(5497, mitsubishi, small, yes, coup).
car(5502, benz, small, yes, coup).
car(5504, bmw, small, yes, coup).
car(5516, bmw, small, yes, coup).
car(5525, toyota, large, no, suv).
car(5532, honda, small, no, coup).
car(5533, mitsubishi, small, yes, coup).
car(5541, bmw, medium, yes, coup).
car(5545, mitsubishi, small, yes, coup).
car(5549, toyota, large, no, suv).
car(5554, ford, small, yes, coup).
car(5574, benz, small, yes, coup).
car(5578, ford, small, yes, coup).
car(5580, honda, small, no, coup).
car(5582, mitsubishi, medium, no, suv).
car(5633, toyota, large, no, suv).
car(5636, bmw, small, yes, coup).
car(5640, honda, small, no, coup).
car(5674, ford, small, yes, coup).
car(5677, mitsubishi, small, yes, coup).
car(5678, mitsubishi, medium, no, suv).
car(5679, toyota, small, yes, coup).
car(5682, benz, small, yes, coup).
car(5733, bmw, medium, yes, coup).
car(5734, ford, small, yes, coup).
car(5769, bmw, medium, yes, coup).
car(5778, benz, small, yes, coup).
car(5779, benz, large, no, suv).
car(5790, benz, small, yes, coup).
car(5797, mitsubishi, small, yes, coup).
car(5802, benz, small, yes, coup).
car(5804, bmw, small, yes, coup).
car(5821, mitsubishi, small, yes, coup).
car(5825, toyota, large, no, suv).
car(5832, honda, small, no, coup).
car(5856, honda, small, no, coup).
car(5858, mitsubishi, medium, no, suv).
car(5872, toyota, large, no, coup).
car(5882, mitsubishi, medium, no, suv).
car(5884, toyota, large, no, coup).
car(5892, honda, small, no, coup).
car(5898, benz, small, yes, coup).
car(5905, mitsubishi, small, yes, coup).
car(5909, toyota, large, no, suv).
car(5910, benz, small, yes, coup).
car(5919, toyota, small, yes, coup).
car(5920, toyota, large, no, coup).
car(5936, bmw, small, yes, coup).
car(5948, bmw, small, yes, coup).
car(5949, bmw, medium, yes, coup).
car(5960, bmw, small, yes, coup).
car(5982, ford, small, yes, coup).
car(5990, mitsubishi, medium, no, suv).
car(5996, bmw, small, yes, coup).
car(5998, ford, small, yes, coup).
car(6000, honda, small, no, coup).
car(6001, mitsubishi, small, yes, coup).
car(6008, bmw, small, yes, coup).
car(6011, ford, large, no, suv).
car(6022, ford, small, yes, coup).
car(6031, benz, large, no, suv).
car(6039, toyota, small, yes, coup).
car(6041, toyota, large, no, suv).
car(6055, benz, large, no, suv).
car(6057, bmw, medium, yes, coup).
car(6073, mitsubishi, small, yes, coup).
car(6074, mitsubishi, medium, no, suv).
car(6091, benz, large, no, suv).
car(6097, mitsubishi, small, yes, coup).
car(6098, mitsubishi, medium, no, suv).
car(6104, bmw, small, yes, coup).
car(6129, bmw, medium, yes, coup).
car(6134, mitsubishi, medium, no, suv).
car(6136, toyota, large, no, coup).
car(6147, toyota, small, yes, coup).
car(6164, bmw, small, yes, coup).
car(6179, ford, large, no, suv).
car(6189, bmw, medium, yes, coup).
car(6194, mitsubishi, medium, no, suv).
car(6206, mitsubishi, medium, no, suv).
car(6210, benz, small, yes, coup).
car(6215, ford, large, no, suv).
car(6226, ford, small, yes, coup).
car(6231, toyota, small, yes, coup).
car(6235, benz, large, no, suv).
car(6240, honda, small, no, coup).
car(6241, mitsubishi, small, yes, coup).
car(6251, ford, large, no, suv).
car(6255, toyota, small, yes, coup).
car(6260, bmw, small, yes, coup).
car(6266, mitsubishi, medium, no, suv).
car(6276, honda, small, no, coup).
car(6282, benz, small, yes, coup).
car(6285, bmw, medium, yes, coup).
car(6293, toyota, large, no, suv).
car(6301, mitsubishi, small, yes, coup).
car(6303, toyota, small, yes, coup).
car(6305, toyota, large, no, suv).
car(6316, toyota, large, no, coup).
car(6330, benz, small, yes, coup).
car(6341, toyota, large, no, suv).
car(6376, toyota, large, no, coup).
car(6378, benz, small, yes, coup).
car(6388, toyota, large, no, coup).
car(6412, toyota, large, no, coup).
car(6417, bmw, medium, yes, coup).
car(6420, honda, small, no, coup).
car(6423, toyota, small, yes, coup).
car(6428, bmw, small, yes, coup).
car(6430, ford, small, yes, coup).
car(6441, bmw, medium, yes, coup).
car(6444, honda, small, no, coup).
car(6446, mitsubishi, medium, no, suv).
car(6449, toyota, large, no, suv).
car(6474, benz, small, yes, coup).
car(6484, toyota, large, no, coup).
car(6495, toyota, small, yes, coup).
car(6500, bmw, small, yes, coup).
car(6523, benz, large, no, suv).
car(6526, ford, small, yes, coup).
car(6531, toyota, small, yes, coup).
car(6534, benz, small, yes, coup).
car(6552, honda, small, no, coup).
car(6568, toyota, large, no, coup).
car(6575, ford, large, no, suv).
car(6605, toyota, large, no, suv).
car(6621, bmw, medium, yes, coup).
car(6631, benz, large, no, suv).
car(6632, bmw, small, yes, coup).
car(6650, mitsubishi, medium, no, suv).
car(6657, bmw, medium, yes, coup).
car(6669, bmw, medium, yes, coup).
car(6675, toyota, small, yes, coup).
car(6676, toyota, large, no, coup).
car(6697, mitsubishi, small, yes, coup).
car(6710, mitsubishi, medium, no, suv).
car(6719, ford, large, no, suv).
car(6737, toyota, large, no, suv).
car(6774, benz, small, yes, coup).
car(6787, benz, large, no, suv).
car(6789, bmw, medium, yes, coup).
car(6810, benz, small, yes, coup).
car(6811, benz, large, no, suv).
car(6814, ford, small, yes, coup).
car(6816, honda, small, no, coup).
car(6823, benz, large, no, suv).
car(6828, honda, small, no, coup).
car(6845, toyota, large, no, suv).
car(6861, bmw, medium, yes, coup).
car(6868, toyota, large, no, coup).
car(6870, benz, small, yes, coup).
car(6915, toyota, small, yes, coup).
car(6921, bmw, medium, yes, coup).
car(6922, ford, small, yes, coup).
car(6924, honda, small, no, coup).
car(6940, toyota, large, no, coup).
car(6952, toyota, large, no, coup).
car(6953, toyota, large, no, suv).
car(6962, mitsubishi, medium, no, suv).
car(6980, benz, large, no, suv).
car(6983, mitsubishi, medium, no, suv).
car(7001, toyota, large, no, suv).
car(7002, benz, small, yes, coup).
car(7009, mitsubishi, small, yes, coup).
car(7015, benz, large, no, suv).
car(7021, mitsubishi, small, yes, coup).
car(7022, mitsubishi, medium, no, suv).
car(7036, toyota, large, no, coup).
car(7053, bmw, medium, yes, coup).
car(7056, honda, small, no, coup).
car(7074, benz, small, yes, coup).
car(7089, bmw, medium, yes, coup).
car(7142, mitsubishi, medium, no, suv).
car(7175, ford, large, no, suv).
car(7186, ford, small, yes, coup).
car(7188, honda, small, no, coup).
car(7192, toyota, large, no, coup).
car(7193, toyota, large, no, suv).
car(7198, ford, small, yes, coup).
car(7210, ford, small, yes, coup).
car(7212, honda, small, no, coup).
car(7224, honda, small, no, coup).
car(7225, mitsubishi, small, yes, coup).
car(7256, bmw, small, yes, coup).
car(7270, ford, small, yes, coup).
car(7274, mitsubishi, medium, no, suv).
car(7283, ford, large, no, suv).
car(7286, mitsubishi, medium, no, suv).
car(7345, mitsubishi, small, yes, coup).
car(7361, toyota, large, no, suv).
car(7367, ford, large, no, suv).
car(7369, mitsubishi, small, yes, coup).
car(7385, toyota, large, no, suv).
car(7393, mitsubishi, small, yes, coup).
car(7396, toyota, large, no, coup).
car(7398, benz, small, yes, coup).
car(7424, bmw, small, yes, coup).
car(7434, benz, small, yes, coup).
car(7435, benz, large, no, suv).
car(7454, mitsubishi, medium, no, suv).
car(7455, toyota, small, yes, coup).
car(7456, toyota, large, no, coup).
car(7463, ford, large, no, suv).
car(7485, bmw, medium, yes, coup).
car(7491, toyota, small, yes, coup).
car(7510, ford, small, yes, coup).
car(7514, mitsubishi, medium, no, suv).
car(7521, bmw, medium, yes, coup).
car(7527, toyota, small, yes, coup).
car(7552, toyota, large, no, coup).
car(7553, toyota, large, no, suv).
car(7556, bmw, small, yes, coup).
car(7567, benz, large, no, suv).
car(7573, mitsubishi, small, yes, coup).
car(7587, toyota, small, yes, coup).
car(7597, mitsubishi, small, yes, coup).
car(7625, toyota, large, no, suv).
car(7628, bmw, small, yes, coup).
car(7635, toyota, small, yes, coup).
car(7640, bmw, small, yes, coup).
car(7656, honda, small, no, coup).
car(7673, toyota, large, no, suv).
car(7683, toyota, small, yes, coup).
car(7685, toyota, large, no, suv).
car(7686, benz, small, yes, coup).
car(7691, ford, large, no, suv).
car(7692, honda, small, no, coup).
car(7695, toyota, small, yes, coup).
car(7713, bmw, medium, yes, coup).
car(7743, toyota, small, yes, coup).
car(7774, ford, small, yes, coup).
car(7780, toyota, large, no, coup).
car(7800, honda, small, no, coup).
