car(14, mitsubishi, medium, no, suv).
car(4537, mitsubishi, small, yes, coup).
car(4542, benz, small, yes, coup).
car(4547, ford, large, no, suv).
car(4550, mitsubishi, medium, no, suv).
car(4552, toyota, large, no, coup).
car(4559, ford, large, no, suv).
car(4561, mitsubishi, small, yes, coup).
car(4563, toyota, small, yes, coup).
car(4566, benz, small, yes, coup).
car(4572, honda, small, no, coup).
car(4586, mitsubishi, medium, no, suv).
car(4592, bmw, small, yes, coup).
car(4593, bmw, medium, yes, coup).
car(4607, ford, large, no, suv).
car(4614, benz, small, yes, coup).
car(4617, bmw, medium, yes, coup).
car(4636, toyota, large, no, coup).
car(4642, ford, small, yes, coup).
car(4647, toyota, small, yes, coup).
car(4651, benz, large, no, suv).
car(4660, toyota, large, no, coup).
car(4670, mitsubishi, medium, no, suv).
car(4671, toyota, small, yes, coup).
car(4688, bmw, small, yes, coup).
car(4690, ford, small, yes, coup).
car(4694, mitsubishi, medium, no, suv).
car(4708, toyota, large, no, coup).
car(4718, mitsubishi, medium, no, suv).
car(4730, mitsubishi, medium, no, suv).
car(4731, toyota, small, yes, coup).
car(4756, toyota, large, no, coup).
car(4766, mitsubishi, medium, no, suv).
car(4770, benz, small, yes, coup).
car(4778, mitsubishi, medium, no, suv).
car(4785, bmw, medium, yes, coup).
car(4787, ford, large, no, suv).
car(4805, toyota, large, no, suv).
car(4839, toyota, small, yes, coup).
car(4862, mitsubishi, medium, no, suv).
car(4875, toyota, small, yes, coup).
car(4895, ford, large, no, suv).
car(4909, mitsubishi, small, yes, coup).
car(4910, mitsubishi, medium, no, suv).
car(4911, toyota, small, yes, coup).
car(4912, toyota, large, no, coup).
car(4914, benz, small, yes, coup).
car(4918, ford, small, yes, coup).
car(4930, ford, small, yes, coup).
car(4968, honda, small, no, coup).
car(4979, honda, small, no, coup).
car(4983, benz, small, yes, coup).
car(4988, benz, large, no, suv).
car(5018, mitsubishi, medium, no, suv).
car(5041, mitsubishi, small, yes, coup).
car(5044, toyota, large, no, coup).
car(5054, mitsubishi, medium, no, suv).
car(5058, benz, small, yes, coup).
car(5061, bmw, medium, yes, coup).
car(5065, mitsubishi, small, yes, coup).
car(5071, benz, large, no, suv).
car(5083, benz, large, no, suv).
car(5090, mitsubishi, medium, no, suv).
car(5102, mitsubishi, medium, no, suv).
car(5113, mitsubishi, small, yes, coup).
car(5128, toyota, large, no, coup).
car(5135, ford, large, no, suv).
car(5154, benz, small, yes, coup).
car(5159, ford, large, no, suv).
car(5177, toyota, large, no, suv).
car(5185, mitsubishi, small, yes, coup).
car(5194, ford, small, yes, coup).
car(5200, toyota, large, no, coup).
car(5202, benz, small, yes, coup).
car(5215, benz, large, no, suv).
car(5244, honda, small, no, coup).
car(5260, toyota, large, no, coup).
car(5270, mitsubishi, medium, no, suv).
car(5279, ford, large, no, suv).
car(5289, bmw, medium, yes, coup).
car(5310, benz, small, yes, coup).
car(5328, honda, small, no, coup).
car(5347, benz, large, no, suv).
car(5351, ford, large, no, suv).
car(5363, ford, large, no, suv).
car(5367, toyota, small, yes, coup).
car(5372, bmw, small, yes, coup).
car(5373, bmw, medium, yes, coup).
car(5385, bmw, medium, yes, coup).
car(5402, mitsubishi, medium, no, suv).
car(5423, ford, large, no, suv).
car(5426, mitsubishi, medium, no, suv).
car(5435, ford, large, no, suv).
car(5437, mitsubishi, small, yes, coup).
car(5438, mitsubishi, medium, no, suv).
car(5452, toyota, large, no, coup).
car(5466, benz, small, yes, coup).
car(5476, toyota, large, no, coup).
car(5477, toyota, large, no, suv).
car(5483, ford, large, no, suv).
car(5538, benz, small, yes, coup).
car(5550, benz, small, yes, coup).
car(5567, ford, large, no, suv).
car(5568, honda, small, no, coup).
car(5586, benz, small, yes, coup).
car(5626, ford, small, yes, coup).
car(5683, benz, large, no, suv).
car(5692, toyota, large, no, coup).
car(5707, benz, large, no, suv).
car(5716, toyota, large, no, coup).
car(5737, mitsubishi, small, yes, coup).
car(5746, ford, small, yes, coup).
car(5766, benz, small, yes, coup).
car(5771, ford, large, no, suv).
car(5773, mitsubishi, small, yes, coup).
car(5774, mitsubishi, medium, no, suv).
car(5776, toyota, large, no, coup).
car(5787, toyota, small, yes, coup).
car(5801, toyota, large, no, suv).
car(5828, bmw, small, yes, coup).
car(5844, honda, small, no, coup).
car(5852, bmw, small, yes, coup).
car(5853, bmw, medium, yes, coup).
car(5854, ford, small, yes, coup).
car(5869, mitsubishi, small, yes, coup).
car(5881, mitsubishi, small, yes, coup).
car(5908, toyota, large, no, coup).
car(5914, ford, small, yes, coup).
car(5922, benz, small, yes, coup).
car(5928, honda, small, no, coup).
car(5957, toyota, large, no, suv).
car(5964, honda, small, no, coup).
car(5969, toyota, large, no, suv).
car(5981, bmw, medium, yes, coup).
car(6004, toyota, large, no, coup).
car(6015, toyota, small, yes, coup).
car(6018, benz, small, yes, coup).
car(6036, honda, small, no, coup).
car(6049, mitsubishi, small, yes, coup).
car(6059, ford, large, no, suv).
car(6060, honda, small, no, coup).
car(6076, toyota, large, no, coup).
car(6078, benz, small, yes, coup).
car(6082, ford, small, yes, coup).
car(6089, toyota, large, no, suv).
car(6092, bmw, small, yes, coup).
car(6106, ford, small, yes, coup).
car(6145, mitsubishi, small, yes, coup).
car(6148, toyota, large, no, coup).
car(6162, benz, small, yes, coup).
car(6165, bmw, medium, yes, coup).
car(6166, ford, small, yes, coup).
car(6174, benz, small, yes, coup).
car(6176, bmw, small, yes, coup).
car(6184, toyota, large, no, coup).
car(6195, toyota, small, yes, coup).
car(6200, bmw, small, yes, coup).
car(6202, ford, small, yes, coup).
car(6203, ford, large, no, suv).
car(6205, mitsubishi, small, yes, coup).
car(6211, benz, large, no, suv).
car(6216, honda, small, no, coup).
car(6228, honda, small, no, coup).
car(6239, ford, large, no, suv).
car(6252, honda, small, no, coup).
car(6254, mitsubishi, medium, no, suv).
car(6270, benz, small, yes, coup).
car(6271, benz, large, no, suv).
car(6295, benz, large, no, suv).
car(6315, toyota, small, yes, coup).
car(6329, toyota, large, no, suv).
car(6331, benz, large, no, suv).
car(6342, benz, small, yes, coup).
car(6347, ford, large, no, suv).
car(6371, ford, large, no, suv).
car(6402, benz, small, yes, coup).
car(6404, bmw, small, yes, coup).
car(6424, toyota, large, no, coup).
car(6443, ford, large, no, suv).
car(6448, toyota, large, no, coup).
car(6454, ford, small, yes, coup).
car(6468, honda, small, no, coup).
car(6477, bmw, medium, yes, coup).
car(6479, ford, large, no, suv).
car(6486, benz, small, yes, coup).
car(6488, bmw, small, yes, coup).
car(6491, ford, large, no, suv).
car(6492, honda, small, no, coup).
car(6498, benz, small, yes, coup).
car(6501, bmw, medium, yes, coup).
car(6505, mitsubishi, small, yes, coup).
car(6511, benz, large, no, suv).
car(6530, mitsubishi, medium, no, suv).
car(6542, mitsubishi, medium, no, suv).
car(6547, benz, large, no, suv).
car(6556, toyota, large, no, coup).
car(6566, mitsubishi, medium, no, suv).
car(6592, toyota, large, no, coup).
car(6598, ford, small, yes, coup).
car(6600, honda, small, no, coup).
car(6608, bmw, small, yes, coup).
car(6615, toyota, small, yes, coup).
car(6619, benz, large, no, suv).
car(6628, toyota, large, no, coup).
car(6629, toyota, large, no, suv).
car(6644, bmw, small, yes, coup).
car(6645, bmw, medium, yes, coup).
car(6646, ford, small, yes, coup).
car(6652, toyota, large, no, coup).
car(6659, ford, large, no, suv).
car(6680, bmw, small, yes, coup).
car(6685, mitsubishi, small, yes, coup).
car(6704, bmw, small, yes, coup).
car(6707, ford, large, no, suv).
car(6715, benz, large, no, suv).
car(6718, ford, small, yes, coup).
car(6730, ford, small, yes, coup).
car(6731, ford, large, no, suv).
car(6759, toyota, small, yes, coup).
car(6777, bmw, medium, yes, coup).
car(6792, honda, small, no, coup).
car(6802, ford, small, yes, coup).
car(6808, toyota, large, no, coup).
car(6820, toyota, large, no, coup).
car(6824, bmw, small, yes, coup).
car(6831, toyota, small, yes, coup).
car(6836, bmw, small, yes, coup).
car(6857, toyota, large, no, suv).
car(6867, toyota, small, yes, coup).
car(6931, benz, large, no, suv).
car(6932, bmw, small, yes, coup).
car(6934, ford, small, yes, coup).
car(6963, toyota, small, yes, coup).
car(6964, toyota, large, no, coup).
car(6995, ford, large, no, suv).
car(7004, bmw, small, yes, coup).
car(7007, ford, large, no, suv).
car(7016, bmw, small, yes, coup).
car(7025, toyota, large, no, suv).
car(7040, bmw, small, yes, coup).
car(7041, bmw, medium, yes, coup).
car(7048, toyota, large, no, coup).
car(7051, benz, large, no, suv).
car(7059, toyota, small, yes, coup).
car(7067, ford, large, no, suv).
car(7075, benz, large, no, suv).
car(7114, ford, small, yes, coup).
car(7116, honda, small, no, coup).
car(7127, ford, large, no, suv).
car(7130, mitsubishi, medium, no, suv).
car(7152, honda, small, no, coup).
car(7164, honda, small, no, coup).
car(7181, toyota, large, no, suv).
car(7184, bmw, small, yes, coup).
car(7189, mitsubishi, small, yes, coup).
car(7195, benz, large, no, suv).
car(7202, mitsubishi, medium, no, suv).
car(7206, benz, small, yes, coup).
car(7227, toyota, small, yes, coup).
car(7229, toyota, large, no, suv).
car(7231, benz, large, no, suv).
car(7278, benz, small, yes, coup).
car(7285, mitsubishi, small, yes, coup).
car(7309, mitsubishi, small, yes, coup).
car(7310, mitsubishi, medium, no, suv).
car(7325, toyota, large, no, suv).
car(7330, ford, small, yes, coup).
car(7333, mitsubishi, small, yes, coup).
car(7335, toyota, small, yes, coup).
car(7336, toyota, large, no, coup).
car(7349, toyota, large, no, suv).
car(7350, benz, small, yes, coup).
car(7356, honda, small, no, coup).
car(7363, benz, large, no, suv).
car(7377, bmw, medium, yes, coup).
car(7382, mitsubishi, medium, no, suv).
car(7409, toyota, large, no, suv).
car(7412, bmw, small, yes, coup).
car(7422, benz, small, yes, coup).
car(7428, honda, small, no, coup).
car(7433, toyota, large, no, suv).
car(7472, bmw, small, yes, coup).
car(7474, ford, small, yes, coup).
car(7481, toyota, large, no, suv).
car(7482, benz, small, yes, coup).
car(7487, ford, large, no, suv).
car(7507, benz, large, no, suv).
car(7518, benz, small, yes, coup).
car(7526, mitsubishi, medium, no, suv).
car(7536, honda, small, no, coup).
car(7555, benz, large, no, suv).
car(7560, honda, small, no, coup).
car(7583, ford, large, no, suv).
car(7611, toyota, small, yes, coup).
car(7612, toyota, large, no, coup).
car(7617, bmw, medium, yes, coup).
car(7634, mitsubishi, medium, no, suv).
car(7636, toyota, large, no, coup).
car(7652, bmw, small, yes, coup).
car(7677, bmw, medium, yes, coup).
car(7704, honda, small, no, coup).
car(7730, mitsubishi, medium, no, suv).
car(7737, bmw, medium, yes, coup).
car(7747, benz, large, no, suv).
car(7750, ford, small, yes, coup).
car(7755, toyota, small, yes, coup).
car(7766, mitsubishi, medium, no, suv).
car(7788, honda, small, no, coup).
car(7794, benz, small, yes, coup).
car(7810, ford, small, yes, coup).
car(7819, benz, large, no, suv).
car(7823, ford, large, no, suv).
car(7838, mitsubishi, medium, no, suv).
car(7848, honda, small, no, coup).
car(7850, mitsubishi, medium, no, suv).
car(7857, bmw, medium, yes, coup).
car(7858, ford, small, yes, coup).
car(7865, toyota, large, no, suv).
car(7872, honda, small, no, coup).
car(7898, mitsubishi, medium, no, suv).
car(7914, benz, small, yes, coup).
car(7915, benz, large, no, suv).
car(7937, toyota, large, no, suv).
car(7942, ford, small, yes, coup).
car(7945, mitsubishi, small, yes, coup).
car(7948, toyota, large, no, coup).
car(7976, benz, large, no, suv).
car(7990, ford, small, yes, coup).
car(7994, mitsubishi, medium, no, suv).
car(7998, benz, small, yes, coup).
car(7999, benz, large, no, suv).
