car(13, mitsubishi, small, yes, coup).
car(636, honda, small, no, coup).
car(670, ford, small, yes, coup).
car(724, toyota, large, no, coup).
car(742, ford, small, yes, coup).
car(761, toyota, large, no, suv).
car(768, honda, small, no, coup).
car(774, benz, small, yes, coup).
car(797, toyota, large, no, suv).
car(808, toyota, large, no, coup).
car(817, mitsubishi, small, yes, coup).
car(840, honda, small, no, coup).
car(844, toyota, large, no, coup).
car(849, bmw, medium, yes, coup).
car(876, honda, small, no, coup).
car(879, toyota, small, yes, coup).
car(882, benz, small, yes, coup).
car(884, bmw, small, yes, coup).
car(889, mitsubishi, small, yes, coup).
car(890, mitsubishi, medium, no, suv).
car(913, mitsubishi, small, yes, coup).
car(914, mitsubishi, medium, no, suv).
car(929, toyota, large, no, suv).
car(938, mitsubishi, medium, no, suv).
car(946, ford, small, yes, coup).
car(963, toyota, small, yes, coup).
car(971, ford, large, no, suv).
car(993, bmw, medium, yes, coup).
car(997, toyota, small, yes, coup).
car(999, benz, small, yes, coup).
car(1028, bmw, small, yes, coup).
car(1030, ford, small, yes, coup).
car(1036, toyota, large, no, coup).
car(1039, benz, large, no, suv).
car(1053, bmw, medium, yes, coup).
car(1067, ford, large, no, suv).
car(1073, toyota, large, no, suv).
car(1086, benz, small, yes, coup).
car(1093, mitsubishi, small, yes, coup).
car(1099, benz, large, no, suv).
car(1103, ford, large, no, suv).
car(1139, ford, large, no, suv).
car(1150, ford, small, yes, coup).
car(1151, ford, large, no, suv).
car(1153, mitsubishi, small, yes, coup).
car(1155, toyota, small, yes, coup).
car(1161, bmw, medium, yes, coup).
car(1165, mitsubishi, small, yes, coup).
car(1189, mitsubishi, small, yes, coup).
car(1192, toyota, large, no, coup).
car(1195, benz, large, no, suv).
car(1210, ford, small, yes, coup).
car(1233, bmw, medium, yes, coup).
car(1234, ford, small, yes, coup).
car(1236, honda, small, no, coup).
car(1239, toyota, small, yes, coup).
car(1242, benz, small, yes, coup).
car(1245, bmw, medium, yes, coup).
car(1247, ford, large, no, suv).
car(1257, bmw, medium, yes, coup).
car(1280, bmw, small, yes, coup).
car(1285, mitsubishi, small, yes, coup).
car(1310, mitsubishi, medium, no, suv).
car(1315, benz, large, no, suv).
car(1324, toyota, large, no, coup).
car(1333, mitsubishi, small, yes, coup).
car(1347, toyota, small, yes, coup).
car(1351, benz, large, no, suv).
car(1356, honda, small, no, coup).
car(1362, benz, small, yes, coup).
car(1364, bmw, small, yes, coup).
car(1374, benz, small, yes, coup).
car(1409, toyota, large, no, suv).
car(1432, toyota, large, no, coup).
car(1438, ford, small, yes, coup).
car(1445, toyota, large, no, suv).
car(1474, ford, small, yes, coup).
car(1495, benz, large, no, suv).
car(1496, bmw, small, yes, coup).
car(1503, toyota, small, yes, coup).
car(1523, ford, large, no, suv).
car(1526, mitsubishi, medium, no, suv).
car(1539, toyota, small, yes, coup).
car(1545, bmw, medium, yes, coup).
car(1553, toyota, large, no, suv).
car(1571, ford, large, no, suv).
car(1576, toyota, large, no, coup).
car(1608, honda, small, no, coup).
car(1622, mitsubishi, medium, no, suv).
car(1623, toyota, small, yes, coup).
car(1631, ford, large, no, suv).
car(1637, toyota, large, no, suv).
car(1639, benz, large, no, suv).
car(1640, bmw, small, yes, coup).
car(1659, toyota, small, yes, coup).
car(1681, mitsubishi, small, yes, coup).
car(1686, benz, small, yes, coup).
car(1697, toyota, large, no, suv).
car(1707, toyota, small, yes, coup).
car(1708, toyota, large, no, coup).
car(1743, toyota, small, yes, coup).
car(1757, toyota, large, no, suv).
car(1759, benz, large, no, suv).
car(1762, ford, small, yes, coup).
car(1765, mitsubishi, small, yes, coup).
car(1773, bmw, medium, yes, coup).
car(1776, honda, small, no, coup).
car(1779, toyota, small, yes, coup).
car(1782, benz, small, yes, coup).
car(1796, bmw, small, yes, coup).
car(1797, bmw, medium, yes, coup).
car(1803, toyota, small, yes, coup).
car(1808, bmw, small, yes, coup).
car(1809, bmw, medium, yes, coup).
car(1812, honda, small, no, coup).
car(1826, mitsubishi, medium, no, suv).
car(1828, toyota, large, no, coup).
car(1845, bmw, medium, yes, coup).
car(1850, mitsubishi, medium, no, suv).
car(1852, toyota, large, no, coup).
car(1856, bmw, small, yes, coup).
car(1859, ford, large, no, suv).
car(1866, benz, small, yes, coup).
car(1871, ford, large, no, suv).
car(1881, bmw, medium, yes, coup).
car(1896, honda, small, no, coup).
car(1921, mitsubishi, small, yes, coup).
car(1930, ford, small, yes, coup).
car(1948, toyota, large, no, coup).
car(1961, toyota, large, no, suv).
car(1965, bmw, medium, yes, coup).
car(1967, ford, large, no, suv).
car(1975, benz, large, no, suv).
car(1997, bmw, medium, yes, coup).
car(2009, toyota, large, no, suv).
car(2029, mitsubishi, small, yes, coup).
car(2054, mitsubishi, medium, no, suv).
car(2080, toyota, large, no, coup).
car(2083, benz, large, no, suv).
car(2098, ford, small, yes, coup).
car(2101, mitsubishi, small, yes, coup).
car(2119, benz, large, no, suv).
car(2125, mitsubishi, small, yes, coup).
car(2141, toyota, large, no, suv).
car(2152, toyota, large, no, coup).
car(2166, benz, small, yes, coup).
car(2175, toyota, small, yes, coup).
car(2181, bmw, medium, yes, coup).
car(2209, mitsubishi, small, yes, coup).
car(2211, toyota, small, yes, coup).
car(2224, toyota, large, no, coup).
car(2236, toyota, large, no, coup).
car(2237, toyota, large, no, suv).
car(2238, benz, small, yes, coup).
car(2239, benz, large, no, suv).
car(2244, honda, small, no, coup).
car(2285, toyota, large, no, suv).
car(2286, benz, small, yes, coup).
car(2300, bmw, small, yes, coup).
car(2301, bmw, medium, yes, coup).
car(2303, ford, large, no, suv).
car(2312, bmw, small, yes, coup).
car(2337, bmw, medium, yes, coup).
car(2339, ford, large, no, suv).
car(2341, mitsubishi, small, yes, coup).
car(2348, bmw, small, yes, coup).
car(2362, ford, small, yes, coup).
car(2368, toyota, large, no, coup).
car(2384, bmw, small, yes, coup).
car(2415, toyota, small, yes, coup).
car(2423, ford, large, no, suv).
car(2426, mitsubishi, medium, no, suv).
car(2439, toyota, small, yes, coup).
car(2454, benz, small, yes, coup).
car(2463, toyota, small, yes, coup).
car(2485, mitsubishi, small, yes, coup).
car(2495, ford, large, no, suv).
car(2501, toyota, large, no, suv).
car(2508, honda, small, no, coup).
car(2512, toyota, large, no, coup).
car(2535, toyota, small, yes, coup).
car(2540, bmw, small, yes, coup).
car(2551, benz, large, no, suv).
car(2558, mitsubishi, medium, no, suv).
car(2571, toyota, small, yes, coup).
car(2574, benz, small, yes, coup).
car(2579, ford, large, no, suv).
car(2607, toyota, small, yes, coup).
car(2614, ford, small, yes, coup).
car(2625, bmw, medium, yes, coup).
car(2638, ford, small, yes, coup).
car(2647, benz, large, no, suv).
car(2651, ford, large, no, suv).
car(2655, toyota, small, yes, coup).
car(2660, bmw, small, yes, coup).
car(2670, benz, small, yes, coup).
car(2682, benz, small, yes, coup).
car(2688, honda, small, no, coup).
car(2701, mitsubishi, small, yes, coup).
car(2714, mitsubishi, medium, no, suv).
car(2716, toyota, large, no, coup).
car(2717, toyota, large, no, suv).
car(2726, mitsubishi, medium, no, suv).
car(2740, toyota, large, no, coup).
car(2747, ford, large, no, suv).
car(2751, toyota, small, yes, coup).
car(2779, benz, large, no, suv).
car(2799, toyota, small, yes, coup).
car(2806, ford, small, yes, coup).
car(2809, mitsubishi, small, yes, coup).
car(2818, ford, small, yes, coup).
car(2823, toyota, small, yes, coup).
car(2827, benz, large, no, suv).
car(2830, ford, small, yes, coup).
car(2842, ford, small, yes, coup).
car(2847, toyota, small, yes, coup).
car(2849, toyota, large, no, suv).
car(2851, benz, large, no, suv).
car(2869, mitsubishi, small, yes, coup).
car(2885, toyota, large, no, suv).
car(2897, toyota, large, no, suv).
car(2927, ford, large, no, suv).
car(2937, bmw, medium, yes, coup).
car(2954, mitsubishi, medium, no, suv).
car(2974, ford, small, yes, coup).
car(2975, ford, large, no, suv).
car(2981, toyota, large, no, suv).
car(2985, bmw, medium, yes, coup).
car(2989, toyota, small, yes, coup).
car(2999, mitsubishi, medium, no, suv).
car(3025, mitsubishi, small, yes, coup).
car(3027, toyota, small, yes, coup).
car(3030, benz, small, yes, coup).
car(3036, honda, small, no, coup).
car(3040, toyota, large, no, coup).
car(3047, ford, large, no, suv).
car(3062, mitsubishi, medium, no, suv).
car(3063, toyota, small, yes, coup).
car(3068, bmw, small, yes, coup).
car(3073, mitsubishi, small, yes, coup).
car(3087, toyota, small, yes, coup).
car(3096, honda, small, no, coup).
car(3106, ford, small, yes, coup).
car(3119, ford, large, no, suv).
car(3132, honda, small, no, coup).
car(3133, mitsubishi, small, yes, coup).
car(3141, bmw, medium, yes, coup).
car(3142, ford, small, yes, coup).
car(3162, benz, small, yes, coup).
car(3177, bmw, medium, yes, coup).
car(3180, honda, small, no, coup).
car(3188, bmw, small, yes, coup).
car(3206, mitsubishi, medium, no, suv).
car(3242, mitsubishi, medium, no, suv).
car(3261, bmw, medium, yes, coup).
car(3275, ford, large, no, suv).
car(3293, toyota, large, no, suv).
car(3304, toyota, large, no, coup).
car(3305, toyota, large, no, suv).
car(3309, bmw, medium, yes, coup).
car(3329, toyota, large, no, suv).
car(3357, bmw, medium, yes, coup).
car(3362, mitsubishi, medium, no, suv).
car(3367, benz, large, no, suv).
car(3380, bmw, small, yes, coup).
car(3383, ford, large, no, suv).
car(3394, ford, small, yes, coup).
car(3405, bmw, medium, yes, coup).
car(3408, honda, small, no, coup).
car(3412, toyota, large, no, coup).
car(3419, ford, large, no, suv).
car(3422, mitsubishi, medium, no, suv).
car(3426, benz, small, yes, coup).
car(3428, bmw, small, yes, coup).
car(3431, ford, large, no, suv).
car(3439, benz, large, no, suv).
car(3441, bmw, medium, yes, coup).
car(3447, toyota, small, yes, coup).
car(3452, bmw, small, yes, coup).
car(3481, mitsubishi, small, yes, coup).
car(3500, bmw, small, yes, coup).
car(3505, mitsubishi, small, yes, coup).
car(3523, benz, large, no, suv).
car(3530, mitsubishi, medium, no, suv).
car(3543, toyota, small, yes, coup).
car(3551, ford, large, no, suv).
car(3572, bmw, small, yes, coup).
car(3573, bmw, medium, yes, coup).
car(3584, bmw, small, yes, coup).
car(3604, toyota, large, no, coup).
car(3606, benz, small, yes, coup).
car(3630, benz, small, yes, coup).
car(3647, ford, large, no, suv).
car(3658, ford, small, yes, coup).
car(3663, toyota, small, yes, coup).
car(3678, benz, small, yes, coup).
car(3688, toyota, large, no, coup).
car(3708, honda, small, no, coup).
car(3731, ford, large, no, suv).
car(3756, honda, small, no, coup).
car(3759, toyota, small, yes, coup).
car(3760, toyota, large, no, coup).
car(3766, ford, small, yes, coup).
car(3784, toyota, large, no, coup).
car(3797, toyota, large, no, suv).
car(3809, toyota, large, no, suv).
car(3816, honda, small, no, coup).
car(3860, bmw, small, yes, coup).
car(3868, toyota, large, no, coup).
car(3872, bmw, small, yes, coup).
car(3880, toyota, large, no, coup).
car(3882, benz, small, yes, coup).
car(3895, benz, large, no, suv).
car(3899, ford, large, no, suv).
car(3902, mitsubishi, medium, no, suv).
car(3929, toyota, large, no, suv).
car(3937, mitsubishi, small, yes, coup).
car(3956, bmw, small, yes, coup).
car(3985, toyota, small, yes, coup).
car(3994, toyota, large, no, suv).
car(4012, toyota, large, no, coup).
car(4014, benz, small, yes, coup).
car(4030, ford, small, yes, coup).
car(4042, ford, small, yes, coup).
car(4088, bmw, small, yes, coup).
car(4098, benz, small, yes, coup).
car(4115, ford, large, no, suv).
car(4120, toyota, large, no, coup).
car(4133, toyota, large, no, suv).
car(4139, ford, large, no, suv).
car(4148, bmw, small, yes, coup).
car(4151, ford, large, no, suv).
car(4163, ford, large, no, suv).
car(4165, mitsubishi, small, yes, coup).
car(4168, toyota, large, no, coup).
car(4173, bmw, medium, yes, coup).
car(4191, toyota, small, yes, coup).
car(4205, toyota, large, no, suv).
car(4208, bmw, small, yes, coup).
car(4243, benz, large, no, suv).
car(4246, ford, small, yes, coup).
car(4252, toyota, large, no, coup).
car(4261, mitsubishi, small, yes, coup).
car(4272, honda, small, no, coup).
car(4273, mitsubishi, small, yes, coup).
car(4286, mitsubishi, medium, no, suv).
car(4295, ford, large, no, suv).
car(4298, mitsubishi, medium, no, suv).
car(4311, toyota, small, yes, coup).
car(4331, ford, large, no, suv).
car(4339, benz, large, no, suv).
car(4347, toyota, small, yes, coup).
car(4348, toyota, large, no, coup).
car(4355, ford, large, no, suv).
car(4361, toyota, large, no, suv).
car(4365, bmw, medium, yes, coup).
car(4369, mitsubishi, small, yes, coup).
car(4379, ford, large, no, suv).
car(4392, honda, small, no, coup).
car(4405, mitsubishi, small, yes, coup).
car(4422, benz, small, yes, coup).
car(4438, ford, small, yes, coup).
car(4445, toyota, large, no, suv).
car(4455, toyota, small, yes, coup).
car(4457, toyota, large, no, suv).
car(4476, honda, small, no, coup).
car(4479, toyota, small, yes, coup).
car(4487, ford, large, no, suv).
car(4495, benz, large, no, suv).
car(4497, bmw, medium, yes, coup).
car(4499, ford, large, no, suv).
car(4503, toyota, small, yes, coup).
car(4508, bmw, small, yes, coup).
car(4515, toyota, small, yes, coup).
car(4516, toyota, large, no, coup).
car(4544, bmw, small, yes, coup).
car(4546, ford, small, yes, coup).
car(4556, bmw, small, yes, coup).
car(4557, bmw, medium, yes, coup).
car(4569, bmw, medium, yes, coup).
car(4571, ford, large, no, suv).
car(4601, toyota, large, no, suv).
car(4618, ford, small, yes, coup).
car(4630, ford, small, yes, coup).
car(4631, ford, large, no, suv).
car(4638, benz, small, yes, coup).
car(4652, bmw, small, yes, coup).
car(4673, toyota, large, no, suv).
car(4677, bmw, medium, yes, coup).
car(4679, ford, large, no, suv).
car(4681, mitsubishi, small, yes, coup).
car(4682, mitsubishi, medium, no, suv).
car(4683, toyota, small, yes, coup).
car(4692, honda, small, no, coup).
car(4695, toyota, small, yes, coup).
car(4705, mitsubishi, small, yes, coup).
car(4721, toyota, large, no, suv).
car(4725, bmw, medium, yes, coup).
car(4729, mitsubishi, small, yes, coup).
car(4733, toyota, large, no, suv).
car(4735, benz, large, no, suv).
car(4737, bmw, medium, yes, coup).
car(4738, ford, small, yes, coup).
car(4757, toyota, large, no, suv).
car(4771, benz, large, no, suv).
car(4774, ford, small, yes, coup).
car(4792, toyota, large, no, coup).
car(4802, mitsubishi, medium, no, suv).
car(4803, toyota, small, yes, coup).
car(4809, bmw, medium, yes, coup).
car(4821, bmw, medium, yes, coup).
car(4833, bmw, medium, yes, coup).
car(4842, benz, small, yes, coup).
car(4843, benz, large, no, suv).
car(4846, ford, small, yes, coup).
car(4850, mitsubishi, medium, no, suv).
car(4852, toyota, large, no, coup).
car(4855, benz, large, no, suv).
car(4856, bmw, small, yes, coup).
car(4863, toyota, small, yes, coup).
car(4870, ford, small, yes, coup).
car(4883, ford, large, no, suv).
car(4891, benz, large, no, suv).
car(4915, benz, large, no, suv).
car(4927, benz, large, no, suv).
car(4931, ford, large, no, suv).
car(4932, honda, small, no, coup).
car(4933, mitsubishi, small, yes, coup).
car(4939, benz, large, no, suv).
car(4951, benz, large, no, suv).
car(4957, mitsubishi, small, yes, coup).
car(4982, toyota, large, no, coup).
car(4992, ford, large, no, suv).
car(5000, bmw, small, yes, coup).
car(5004, honda, small, no, coup).
car(5009, toyota, large, no, suv).
car(5013, bmw, medium, yes, coup).
car(5017, mitsubishi, small, yes, coup).
car(5035, benz, large, no, suv).
car(5039, ford, large, no, suv).
car(5042, mitsubishi, medium, no, suv).
car(5074, ford, small, yes, coup).
car(5079, toyota, small, yes, coup).
car(5080, toyota, large, no, coup).
car(5097, bmw, medium, yes, coup).
car(5105, toyota, large, no, suv).
car(5106, benz, small, yes, coup).
car(5109, bmw, medium, yes, coup).
car(5117, toyota, large, no, suv).
car(5118, benz, small, yes, coup).
car(5141, toyota, large, no, suv).
car(5149, mitsubishi, small, yes, coup).
car(5160, honda, small, no, coup).
car(5172, honda, small, no, coup).
car(5174, mitsubishi, medium, no, suv).
car(5175, toyota, small, yes, coup).
car(5187, toyota, small, yes, coup).
car(5188, toyota, large, no, coup).
car(5207, ford, large, no, suv).
car(5211, toyota, small, yes, coup).
car(5226, benz, small, yes, coup).
car(5233, mitsubishi, small, yes, coup).
car(5259, toyota, small, yes, coup).
car(5268, honda, small, no, coup).
car(5275, benz, large, no, suv).
car(5286, benz, small, yes, coup).
car(5298, benz, small, yes, coup).
car(5313, bmw, medium, yes, coup).
car(5316, honda, small, no, coup).
car(5319, toyota, small, yes, coup).
car(5341, mitsubishi, small, yes, coup).
car(5364, honda, small, no, coup).
car(5389, mitsubishi, small, yes, coup).
car(5391, toyota, small, yes, coup).
car(5395, benz, large, no, suv).
car(5406, benz, small, yes, coup).
car(5420, bmw, small, yes, coup).
car(5427, toyota, small, yes, coup).
car(5431, benz, large, no, suv).
car(5434, ford, small, yes, coup).
car(5439, toyota, small, yes, coup).
car(5440, toyota, large, no, coup).
car(5463, toyota, small, yes, coup).
car(5468, bmw, small, yes, coup).
car(5472, honda, small, no, coup).
car(5484, honda, small, no, coup).
car(5486, mitsubishi, medium, no, suv).
car(5490, benz, small, yes, coup).
car(5494, ford, small, yes, coup).
car(5540, bmw, small, yes, coup).
car(5544, honda, small, no, coup).
car(5551, benz, large, no, suv).
car(5552, bmw, small, yes, coup).
car(5553, bmw, medium, yes, coup).
car(5560, toyota, large, no, coup).
car(5563, benz, large, no, suv).
car(5576, bmw, small, yes, coup).
car(5590, ford, small, yes, coup).
car(5594, mitsubishi, medium, no, suv).
car(5604, honda, small, no, coup).
car(5605, mitsubishi, small, yes, coup).
car(5622, benz, small, yes, coup).
car(5624, bmw, small, yes, coup).
car(5637, bmw, medium, yes, coup).
car(5638, ford, small, yes, coup).
car(5642, mitsubishi, medium, no, suv).
car(5644, toyota, large, no, coup).
car(5659, benz, large, no, suv).
car(5675, ford, large, no, suv).
car(5684, bmw, small, yes, coup).
car(5686, ford, small, yes, coup).
car(5700, honda, small, no, coup).
car(5701, mitsubishi, small, yes, coup).
car(5710, ford, small, yes, coup).
car(5726, mitsubishi, medium, no, suv).
car(5730, benz, small, yes, coup).
car(5749, mitsubishi, small, yes, coup).
car(5753, toyota, large, no, suv).
car(5759, ford, large, no, suv).
car(5780, bmw, small, yes, coup).
car(5781, bmw, medium, yes, coup).
car(5807, ford, large, no, suv).
car(5818, ford, small, yes, coup).
car(5824, toyota, large, no, coup).
car(5827, benz, large, no, suv).
car(5830, ford, small, yes, coup).
car(5831, ford, large, no, suv).
car(5859, toyota, small, yes, coup).
car(5877, bmw, medium, yes, coup).
car(5878, ford, small, yes, coup).
car(5880, honda, small, no, coup).
car(5894, mitsubishi, medium, no, suv).
car(5896, toyota, large, no, coup).
car(5897, toyota, large, no, suv).
car(5903, ford, large, no, suv).
car(5904, honda, small, no, coup).
car(5917, mitsubishi, small, yes, coup).
car(5925, bmw, medium, yes, coup).
car(5934, benz, small, yes, coup).
car(5944, toyota, large, no, coup).
car(5977, toyota, small, yes, coup).
car(5989, mitsubishi, small, yes, coup).
car(6007, benz, large, no, suv).
car(6019, benz, large, no, suv).
car(6032, bmw, small, yes, coup).
car(6033, bmw, medium, yes, coup).
car(6038, mitsubishi, medium, no, suv).
car(6050, mitsubishi, medium, no, suv).
car(6071, ford, large, no, suv).
car(6088, toyota, large, no, coup).
car(6090, benz, small, yes, coup).
car(6101, toyota, large, no, suv).
car(6103, benz, large, no, suv).
car(6113, toyota, large, no, suv).
car(6122, mitsubishi, medium, no, suv).
car(6124, toyota, large, no, coup).
car(6127, benz, large, no, suv).
car(6128, bmw, small, yes, coup).
car(6139, benz, large, no, suv).
car(6158, mitsubishi, medium, no, suv).
car(6161, toyota, large, no, suv).
car(6169, mitsubishi, small, yes, coup).
car(6171, toyota, small, yes, coup).
car(6186, benz, small, yes, coup).
car(6212, bmw, small, yes, coup).
car(6238, ford, small, yes, coup).
car(6258, benz, small, yes, coup).
car(6264, honda, small, no, coup).
car(6273, bmw, medium, yes, coup).
car(6278, mitsubishi, medium, no, suv).
car(6289, mitsubishi, small, yes, coup).
car(6291, toyota, small, yes, coup).
car(6292, toyota, large, no, coup).
car(6297, bmw, medium, yes, coup).
car(6320, bmw, small, yes, coup).
car(6321, bmw, medium, yes, coup).
car(6323, ford, large, no, suv).
car(6344, bmw, small, yes, coup).
car(6346, ford, small, yes, coup).
car(6368, bmw, small, yes, coup).
car(6375, toyota, small, yes, coup).
car(6409, mitsubishi, small, yes, coup).
car(6427, benz, large, no, suv).
car(6433, mitsubishi, small, yes, coup).
car(6452, bmw, small, yes, coup).
car(6461, toyota, large, no, suv).
car(6466, ford, small, yes, coup).
car(6487, benz, large, no, suv).
car(6496, toyota, large, no, coup).
car(6504, honda, small, no, coup).
car(6512, bmw, small, yes, coup).
car(6515, ford, large, no, suv).
car(6527, ford, large, no, suv).
car(6532, toyota, large, no, coup).
car(6536, bmw, small, yes, coup).
car(6538, ford, small, yes, coup).
car(6539, ford, large, no, suv).
car(6546, benz, small, yes, coup).
car(6572, bmw, small, yes, coup).
car(6580, toyota, large, no, coup).
car(6588, honda, small, no, coup).
car(6597, bmw, medium, yes, coup).
car(6603, toyota, small, yes, coup).
car(6614, mitsubishi, medium, no, suv).
car(6616, toyota, large, no, coup).
car(6622, ford, small, yes, coup).
car(6636, honda, small, no, coup).
car(6655, benz, large, no, suv).
car(6667, benz, large, no, suv).
car(6677, toyota, large, no, suv).
car(6682, ford, small, yes, coup).
car(6691, benz, large, no, suv).
car(6696, honda, small, no, coup).
car(6717, bmw, medium, yes, coup).
car(6728, bmw, small, yes, coup).
car(6734, mitsubishi, medium, no, suv).
car(6744, honda, small, no, coup).
car(6751, benz, large, no, suv).
car(6768, honda, small, no, coup).
car(6779, ford, large, no, suv).
car(6798, benz, small, yes, coup).
car(6801, bmw, medium, yes, coup).
car(6835, benz, large, no, suv).
car(6837, bmw, medium, yes, coup).
car(6843, toyota, small, yes, coup).
car(6853, mitsubishi, small, yes, coup).
car(6862, ford, small, yes, coup).
car(6864, honda, small, no, coup).
car(6871, benz, large, no, suv).
car(6875, ford, large, no, suv).
car(6910, ford, small, yes, coup).
car(6916, toyota, large, no, coup).
car(6918, benz, small, yes, coup).
car(6933, bmw, medium, yes, coup).
car(6935, ford, large, no, suv).
car(6942, benz, small, yes, coup).
car(6948, honda, small, no, coup).
car(6949, mitsubishi, small, yes, coup).
car(6950, mitsubishi, medium, no, suv).
car(6960, honda, small, no, coup).
car(6961, mitsubishi, small, yes, coup).
car(6966, benz, small, yes, coup).
car(6972, mitsubishi, small, yes, coup).
car(6999, toyota, small, yes, coup).
car(7017, bmw, medium, yes, coup).
car(7027, benz, large, no, suv).
car(7029, bmw, medium, yes, coup).
car(7045, mitsubishi, small, yes, coup).
car(7047, toyota, small, yes, coup).
car(7054, ford, small, yes, coup).
car(7055, ford, large, no, suv).
car(7073, toyota, large, no, suv).
car(7078, ford, small, yes, coup).
car(7080, honda, small, no, coup).
car(7087, benz, large, no, suv).
car(7094, mitsubishi, medium, no, suv).
car(7101, bmw, medium, yes, coup).
car(7103, ford, large, no, suv).
car(7106, mitsubishi, medium, no, suv).
car(7107, toyota, small, yes, coup).
car(7110, benz, small, yes, coup).
car(7117, mitsubishi, small, yes, coup).
car(7124, bmw, small, yes, coup).
car(7138, ford, small, yes, coup).
car(7149, bmw, medium, yes, coup).
car(7155, toyota, small, yes, coup).
car(7160, bmw, small, yes, coup).
car(7166, mitsubishi, medium, no, suv).
car(7172, bmw, small, yes, coup).
car(7179, toyota, small, yes, coup).
car(7182, benz, small, yes, coup).
car(7183, benz, large, no, suv).
car(7191, toyota, small, yes, coup).
car(7199, ford, large, no, suv).
car(7222, ford, small, yes, coup).
car(7223, ford, large, no, suv).
car(7226, mitsubishi, medium, no, suv).
car(7239, toyota, small, yes, coup).
car(7243, benz, large, no, suv).
car(7253, toyota, large, no, suv).
car(7268, bmw, small, yes, coup).
car(7276, toyota, large, no, coup).
car(7299, toyota, small, yes, coup).
car(7305, bmw, medium, yes, coup).
car(7312, toyota, large, no, coup).
car(7314, benz, small, yes, coup).
car(7318, ford, small, yes, coup).
car(7321, mitsubishi, small, yes, coup).
car(7342, ford, small, yes, coup).
car(7344, honda, small, no, coup).
car(7357, mitsubishi, small, yes, coup).
car(7360, toyota, large, no, coup).
car(7366, ford, small, yes, coup).
car(7392, honda, small, no, coup).
car(7401, bmw, medium, yes, coup).
car(7418, mitsubishi, medium, no, suv).
car(7460, bmw, small, yes, coup).
car(7462, ford, small, yes, coup).
car(7508, bmw, small, yes, coup).
car(7516, toyota, large, no, coup).
car(7519, benz, large, no, suv).
car(7530, benz, small, yes, coup).
car(7533, bmw, medium, yes, coup).
car(7540, toyota, large, no, coup).
car(7562, mitsubishi, medium, no, suv).
car(7579, benz, large, no, suv).
car(7607, ford, large, no, suv).
car(7609, mitsubishi, small, yes, coup).
car(7629, bmw, medium, yes, coup).
car(7639, benz, large, no, suv).
car(7643, ford, large, no, suv).
car(7646, mitsubishi, medium, no, suv).
car(7657, mitsubishi, small, yes, coup).
car(7660, toyota, large, no, coup).
car(7661, toyota, large, no, suv).
car(7668, honda, small, no, coup).
car(7679, ford, large, no, suv).
car(7696, toyota, large, no, coup).
car(7711, benz, large, no, suv).
car(7721, toyota, large, no, suv).
car(7729, mitsubishi, small, yes, coup).
car(7735, benz, large, no, suv).
car(7736, bmw, small, yes, coup).
car(7748, bmw, small, yes, coup).
car(7749, bmw, medium, yes, coup).
car(7760, bmw, small, yes, coup).
car(7769, toyota, large, no, suv).
car(7775, ford, large, no, suv).
car(7776, honda, small, no, coup).
