car(5, bmw, small, yes, coup).
car(2108, bmw, small, yes, coup).
car(2114, mitsubishi, medium, no, suv).
car(2118, benz, small, yes, coup).
car(2133, bmw, medium, yes, coup).
car(2134, ford, small, yes, coup).
car(2153, toyota, large, no, suv).
car(2154, benz, small, yes, coup).
car(2155, benz, large, no, suv).
car(2156, bmw, small, yes, coup).
car(2162, mitsubishi, medium, no, suv).
car(2167, benz, large, no, suv).
car(2170, ford, small, yes, coup).
car(2180, bmw, small, yes, coup).
car(2184, honda, small, no, coup).
car(2190, benz, small, yes, coup).
car(2192, bmw, small, yes, coup).
car(2194, ford, small, yes, coup).
car(2201, toyota, large, no, suv).
car(2218, ford, small, yes, coup).
car(2219, ford, large, no, suv).
car(2227, benz, large, no, suv).
car(2229, bmw, medium, yes, coup).
car(2234, mitsubishi, medium, no, suv).
car(2246, mitsubishi, medium, no, suv).
car(2249, toyota, large, no, suv).
car(2252, bmw, small, yes, coup).
car(2259, toyota, small, yes, coup).
car(2278, ford, small, yes, coup).
car(2280, honda, small, no, coup).
car(2287, benz, large, no, suv).
car(2325, bmw, medium, yes, coup).
car(2327, ford, large, no, suv).
car(2334, benz, small, yes, coup).
car(2343, toyota, small, yes, coup).
car(2352, honda, small, no, coup).
car(2361, bmw, medium, yes, coup).
car(2386, ford, small, yes, coup).
car(2395, benz, large, no, suv).
car(2396, bmw, small, yes, coup).
car(2403, toyota, small, yes, coup).
car(2410, ford, small, yes, coup).
car(2424, honda, small, no, coup).
car(2429, toyota, large, no, suv).
car(2433, bmw, medium, yes, coup).
car(2455, benz, large, no, suv).
car(2460, honda, small, no, coup).
car(2466, benz, small, yes, coup).
car(2526, benz, small, yes, coup).
car(2542, ford, small, yes, coup).
car(2563, benz, large, no, suv).
car(2567, ford, large, no, suv).
car(2580, honda, small, no, coup).
car(2596, toyota, large, no, coup).
car(2597, toyota, large, no, suv).
car(2601, bmw, medium, yes, coup).
car(2603, ford, large, no, suv).
car(2617, mitsubishi, small, yes, coup).
car(2619, toyota, small, yes, coup).
car(2633, toyota, large, no, suv).
car(2652, honda, small, no, coup).
car(2654, mitsubishi, medium, no, suv).
car(2657, toyota, large, no, suv).
car(2669, toyota, large, no, suv).
car(2679, toyota, small, yes, coup).
car(2681, toyota, large, no, suv).
car(2703, toyota, small, yes, coup).
car(2704, toyota, large, no, coup).
car(2719, benz, large, no, suv).
car(2723, ford, large, no, suv).
car(2734, ford, small, yes, coup).
car(2739, toyota, small, yes, coup).
car(2749, mitsubishi, small, yes, coup).
car(2756, bmw, small, yes, coup).
car(2762, mitsubishi, medium, no, suv).
car(2767, benz, large, no, suv).
car(2778, benz, small, yes, coup).
car(2782, ford, small, yes, coup).
car(2786, mitsubishi, medium, no, suv).
car(2787, toyota, small, yes, coup).
car(2792, bmw, small, yes, coup).
car(2797, mitsubishi, small, yes, coup).
car(2804, bmw, small, yes, coup).
car(2839, benz, large, no, suv).
car(2840, bmw, small, yes, coup).
car(2846, mitsubishi, medium, no, suv).
car(2859, toyota, small, yes, coup).
car(2893, mitsubishi, small, yes, coup).
car(2917, mitsubishi, small, yes, coup).
car(2932, toyota, large, no, coup).
car(2940, honda, small, no, coup).
car(2942, mitsubishi, medium, no, suv).
car(2947, benz, large, no, suv).
car(2950, ford, small, yes, coup).
car(2959, benz, large, no, suv).
car(2977, mitsubishi, small, yes, coup).
car(2982, benz, small, yes, coup).
car(2993, bmw, medium, yes, coup).
car(2995, honda, small, no, coup).
car(2998, toyota, large, no, suv).
car(3012, honda, small, no, coup).
car(3055, benz, large, no, suv).
car(3058, ford, small, yes, coup).
car(3064, toyota, large, no, coup).
car(3078, benz, small, yes, coup).
car(3093, bmw, medium, yes, coup).
car(3111, toyota, small, yes, coup).
car(3114, benz, small, yes, coup).
car(3118, ford, small, yes, coup).
car(3134, mitsubishi, medium, no, suv).
car(3152, bmw, small, yes, coup).
car(3160, toyota, large, no, coup).
car(3166, ford, small, yes, coup).
car(3169, mitsubishi, small, yes, coup).
car(3182, mitsubishi, medium, no, suv).
car(3218, mitsubishi, medium, no, suv).
car(3224, bmw, small, yes, coup).
car(3273, bmw, medium, yes, coup).
car(3276, honda, small, no, coup).
car(3279, toyota, small, yes, coup).
car(3288, honda, small, no, coup).
car(3291, toyota, small, yes, coup).
car(3295, benz, large, no, suv).
car(3299, ford, large, no, suv).
car(3303, toyota, small, yes, coup).
car(3353, toyota, large, no, suv).
car(3358, ford, small, yes, coup).
car(3365, toyota, large, no, suv).
car(3378, benz, small, yes, coup).
car(3388, toyota, large, no, coup).
car(3389, toyota, large, no, suv).
car(3400, toyota, large, no, coup).
car(3436, toyota, large, no, coup).
car(3442, ford, small, yes, coup).
car(3445, mitsubishi, small, yes, coup).
car(3453, bmw, medium, yes, coup).
car(3479, ford, large, no, suv).
car(3485, toyota, large, no, suv).
car(3487, benz, large, no, suv).
car(3506, mitsubishi, medium, no, suv).
car(3516, honda, small, no, coup).
car(3517, mitsubishi, small, yes, coup).
car(3544, toyota, large, no, coup).
car(3580, toyota, large, no, coup).
car(3587, ford, large, no, suv).
car(3589, mitsubishi, small, yes, coup).
car(3594, benz, small, yes, coup).
car(3607, benz, large, no, suv).
car(3618, benz, small, yes, coup).
car(3649, mitsubishi, small, yes, coup).
car(3654, benz, small, yes, coup).
car(3666, benz, small, yes, coup).
car(3670, ford, small, yes, coup).
car(3679, benz, large, no, suv).
car(3680, bmw, small, yes, coup).
car(3683, ford, large, no, suv).
car(3687, toyota, small, yes, coup).
car(3695, ford, large, no, suv).
car(3720, honda, small, no, coup).
car(3728, bmw, small, yes, coup).
car(3730, ford, small, yes, coup).
car(3734, mitsubishi, medium, no, suv).
car(3739, benz, large, no, suv).
car(3744, honda, small, no, coup).
car(3745, mitsubishi, small, yes, coup).
car(3749, toyota, large, no, suv).
car(3757, mitsubishi, small, yes, coup).
car(3762, benz, small, yes, coup).
car(3774, benz, small, yes, coup).
car(3778, ford, small, yes, coup).
car(3782, mitsubishi, medium, no, suv).
car(3793, mitsubishi, small, yes, coup).
car(3798, benz, small, yes, coup).
car(3799, benz, large, no, suv).
car(3811, benz, large, no, suv).
car(3826, ford, small, yes, coup).
car(3833, toyota, large, no, suv).
car(3864, honda, small, no, coup).
car(3865, mitsubishi, small, yes, coup).
car(3881, toyota, large, no, suv).
car(3885, bmw, medium, yes, coup).
car(3897, bmw, medium, yes, coup).
car(3905, toyota, large, no, suv).
car(3930, benz, small, yes, coup).
car(3932, bmw, small, yes, coup).
car(3935, ford, large, no, suv).
car(3941, toyota, large, no, suv).
car(3950, mitsubishi, medium, no, suv).
car(3955, benz, large, no, suv).
car(3960, honda, small, no, coup).
car(3979, benz, large, no, suv).
car(3984, mitsubishi, small, yes, coup).
car(3991, honda, small, no, coup).
car(3998, mitsubishi, medium, no, suv).
car(4009, mitsubishi, small, yes, coup).
car(4019, ford, large, no, suv).
car(4020, honda, small, no, coup).
car(4036, toyota, large, no, coup).
car(4038, benz, small, yes, coup).
car(4047, toyota, small, yes, coup).
car(4053, bmw, medium, yes, coup).
car(4056, honda, small, no, coup).
car(4064, bmw, small, yes, coup).
car(4077, bmw, medium, yes, coup).
car(4094, mitsubishi, medium, no, suv).
car(4096, toyota, large, no, coup).
car(4104, honda, small, no, coup).
car(4118, mitsubishi, medium, no, suv).
car(4125, bmw, medium, yes, coup).
car(4126, ford, small, yes, coup).
car(4129, mitsubishi, small, yes, coup).
car(4145, toyota, large, no, suv).
car(4166, mitsubishi, medium, no, suv).
car(4181, toyota, large, no, suv).
car(4190, mitsubishi, medium, no, suv).
car(4199, ford, large, no, suv).
car(4206, benz, small, yes, coup).
car(4234, ford, small, yes, coup).
car(4248, honda, small, no, coup).
car(4249, mitsubishi, small, yes, coup).
car(4277, toyota, large, no, suv).
car(4289, toyota, large, no, suv).
car(4292, bmw, small, yes, coup).
car(4304, bmw, small, yes, coup).
car(4305, bmw, medium, yes, coup).
car(4359, toyota, small, yes, coup).
car(4390, ford, small, yes, coup).
car(4412, bmw, small, yes, coup).
car(4417, mitsubishi, small, yes, coup).
car(4435, benz, large, no, suv).
car(4442, mitsubishi, medium, no, suv).
car(4448, bmw, small, yes, coup).
car(4464, honda, small, no, coup).
car(4470, benz, small, yes, coup).
car(4504, toyota, large, no, coup).
car(4505, toyota, large, no, suv).
car(4506, benz, small, yes, coup).
car(4525, mitsubishi, small, yes, coup).
car(4564, toyota, large, no, coup).
car(4576, toyota, large, no, coup).
car(4596, honda, small, no, coup).
car(4599, toyota, small, yes, coup).
car(4610, mitsubishi, medium, no, suv).
car(4629, bmw, medium, yes, coup).
car(4632, honda, small, no, coup).
car(4640, bmw, small, yes, coup).
car(4650, benz, small, yes, coup).
car(4656, honda, small, no, coup).
car(4657, mitsubishi, small, yes, coup).
car(4658, mitsubishi, medium, no, suv).
car(4674, benz, small, yes, coup).
car(4702, ford, small, yes, coup).
car(4709, toyota, large, no, suv).
car(4723, benz, large, no, suv).
car(4745, toyota, large, no, suv).
car(4752, honda, small, no, coup).
car(4780, toyota, large, no, coup).
car(4794, benz, small, yes, coup).
car(4800, honda, small, no, coup).
car(4801, mitsubishi, small, yes, coup).
car(4812, honda, small, no, coup).
car(4819, benz, large, no, suv).
car(4823, ford, large, no, suv).
car(4832, bmw, small, yes, coup).
car(4845, bmw, medium, yes, coup).
car(4847, ford, large, no, suv).
car(4866, benz, small, yes, coup).
car(4868, bmw, small, yes, coup).
car(4874, mitsubishi, medium, no, suv).
car(4879, benz, large, no, suv).
car(4889, toyota, large, no, suv).
car(4897, mitsubishi, small, yes, coup).
car(4919, ford, large, no, suv).
car(4929, bmw, medium, yes, coup).
car(4938, benz, small, yes, coup).
car(4965, bmw, medium, yes, coup).
car(4967, ford, large, no, suv).
car(4994, mitsubishi, medium, no, suv).
car(5007, toyota, small, yes, coup).
car(5010, benz, small, yes, coup).
car(5012, bmw, small, yes, coup).
car(5023, benz, large, no, suv).
car(5027, ford, large, no, suv).
car(5033, toyota, large, no, suv).
car(5040, honda, small, no, coup).
car(5066, mitsubishi, medium, no, suv).
car(5067, toyota, small, yes, coup).
car(5070, benz, small, yes, coup).
car(5073, bmw, medium, yes, coup).
car(5078, mitsubishi, medium, no, suv).
car(5089, mitsubishi, small, yes, coup).
car(5108, bmw, small, yes, coup).
car(5132, bmw, small, yes, coup).
car(5143, benz, large, no, suv).
car(5165, toyota, large, no, suv).
car(5205, bmw, medium, yes, coup).
car(5213, toyota, large, no, suv).
car(5216, bmw, small, yes, coup).
car(5231, ford, large, no, suv).
car(5245, mitsubishi, small, yes, coup).
car(5254, ford, small, yes, coup).
car(5258, mitsubishi, medium, no, suv).
car(5276, bmw, small, yes, coup).
car(5291, ford, large, no, suv).
car(5312, bmw, small, yes, coup).
car(5315, ford, large, no, suv).
car(5324, bmw, small, yes, coup).
car(5337, bmw, medium, yes, coup).
car(5338, ford, small, yes, coup).
car(5375, ford, large, no, suv).
car(5380, toyota, large, no, coup).
car(5390, mitsubishi, medium, no, suv).
car(5392, toyota, large, no, coup).
car(5405, toyota, large, no, suv).
car(5410, ford, small, yes, coup).
car(5415, toyota, small, yes, coup).
car(5416, toyota, large, no, coup).
car(5419, benz, large, no, suv).
car(5441, toyota, large, no, suv).
car(5451, toyota, small, yes, coup).
car(5485, mitsubishi, small, yes, coup).
car(5488, toyota, large, no, coup).
car(5499, toyota, small, yes, coup).
car(5506, ford, small, yes, coup).
car(5508, honda, small, no, coup).
car(5511, toyota, small, yes, coup).
car(5523, toyota, small, yes, coup).
car(5548, toyota, large, no, coup).
car(5573, toyota, large, no, suv).
car(5599, benz, large, no, suv).
car(5610, benz, small, yes, coup).
car(5616, honda, small, no, coup).
car(5620, toyota, large, no, coup).
car(5621, toyota, large, no, suv).
car(5623, benz, large, no, suv).
car(5627, ford, large, no, suv).
car(5630, mitsubishi, medium, no, suv).
car(5634, benz, small, yes, coup).
car(5648, bmw, small, yes, coup).
car(5650, ford, small, yes, coup).
car(5660, bmw, small, yes, coup).
car(5668, toyota, large, no, coup).
car(5688, honda, small, no, coup).
car(5698, ford, small, yes, coup).
car(5714, mitsubishi, medium, no, suv).
car(5725, mitsubishi, small, yes, coup).
car(5757, bmw, medium, yes, coup).
car(5762, mitsubishi, medium, no, suv).
car(5768, bmw, small, yes, coup).
car(5784, honda, small, no, coup).
car(5785, mitsubishi, small, yes, coup).
car(5805, bmw, medium, yes, coup).
car(5810, mitsubishi, medium, no, suv).
car(5834, mitsubishi, medium, no, suv).
car(5835, toyota, small, yes, coup).
car(5837, toyota, large, no, suv).
car(5847, toyota, small, yes, coup).
car(5849, toyota, large, no, suv).
car(5860, toyota, large, no, coup).
car(5861, toyota, large, no, suv).
car(5870, mitsubishi, medium, no, suv).
car(5874, benz, small, yes, coup).
car(5891, ford, large, no, suv).
car(5893, mitsubishi, small, yes, coup).
car(5895, toyota, small, yes, coup).
car(5900, bmw, small, yes, coup).
car(5906, mitsubishi, medium, no, suv).
car(5911, benz, large, no, suv).
car(5916, honda, small, no, coup).
car(5918, mitsubishi, medium, no, suv).
car(5924, bmw, small, yes, coup).
car(5953, mitsubishi, small, yes, coup).
car(5965, mitsubishi, small, yes, coup).
car(5973, bmw, medium, yes, coup).
car(5975, honda, small, no, coup).
car(5980, bmw, small, yes, coup).
car(5992, toyota, large, no, coup).
car(5994, benz, small, yes, coup).
car(5999, ford, large, no, suv).
car(6005, toyota, large, no, suv).
car(6021, bmw, medium, yes, coup).
car(6030, benz, small, yes, coup).
car(6037, mitsubishi, small, yes, coup).
car(6040, toyota, large, no, coup).
car(6051, toyota, small, yes, coup).
car(6062, mitsubishi, medium, no, suv).
car(6080, bmw, small, yes, coup).
car(6087, toyota, small, yes, coup).
car(6095, ford, large, no, suv).
car(6096, honda, small, no, coup).
car(6099, toyota, small, yes, coup).
car(6107, ford, large, no, suv).
car(6109, mitsubishi, small, yes, coup).
car(6110, mitsubishi, medium, no, suv).
car(6112, toyota, large, no, coup).
car(6140, bmw, small, yes, coup).
car(6157, mitsubishi, small, yes, coup).
car(6163, benz, large, no, suv).
car(6175, benz, large, no, suv).
car(6182, mitsubishi, medium, no, suv).
car(6185, toyota, large, no, suv).
car(6198, benz, small, yes, coup).
car(6207, toyota, small, yes, coup).
car(6217, mitsubishi, small, yes, coup).
car(6220, toyota, large, no, coup).
car(6229, mitsubishi, small, yes, coup).
car(6248, bmw, small, yes, coup).
car(6265, mitsubishi, small, yes, coup).
car(6269, toyota, large, no, suv).
car(6272, bmw, small, yes, coup).
car(6296, bmw, small, yes, coup).
car(6306, benz, small, yes, coup).
car(6318, benz, small, yes, coup).
car(6337, mitsubishi, small, yes, coup).
car(6353, toyota, large, no, suv).
car(6356, bmw, small, yes, coup).
car(6359, ford, large, no, suv).
car(6360, honda, small, no, coup).
car(6367, benz, large, no, suv).
car(6374, mitsubishi, medium, no, suv).
car(6377, toyota, large, no, suv).
car(6385, mitsubishi, small, yes, coup).
car(6390, benz, small, yes, coup).
car(6391, benz, large, no, suv).
car(6396, honda, small, no, coup).
car(6399, toyota, small, yes, coup).
car(6400, toyota, large, no, coup).
car(6416, bmw, small, yes, coup).
car(6437, toyota, large, no, suv).
car(6438, benz, small, yes, coup).
car(6453, bmw, medium, yes, coup).
car(6456, honda, small, no, coup).
car(6471, toyota, small, yes, coup).
car(6480, honda, small, no, coup).
car(6506, mitsubishi, medium, no, suv).
car(6518, mitsubishi, medium, no, suv).
car(6533, toyota, large, no, suv).
car(6545, toyota, large, no, suv).
car(6554, mitsubishi, medium, no, suv).
car(6557, toyota, large, no, suv).
car(6560, bmw, small, yes, coup).
car(6562, ford, small, yes, coup).
car(6571, benz, large, no, suv).
car(6576, honda, small, no, coup).
car(6577, mitsubishi, small, yes, coup).
car(6585, bmw, medium, yes, coup).
car(6591, toyota, small, yes, coup).
car(6626, mitsubishi, medium, no, suv).
car(6634, ford, small, yes, coup).
car(6639, toyota, small, yes, coup).
car(6647, ford, large, no, suv).
car(6663, toyota, small, yes, coup).
car(6664, toyota, large, no, coup).
car(6670, ford, small, yes, coup).
car(6689, toyota, large, no, suv).
car(6693, bmw, medium, yes, coup).
car(6695, ford, large, no, suv).
car(6701, toyota, large, no, suv).
car(6709, mitsubishi, small, yes, coup).
car(6713, toyota, large, no, suv).
car(6733, mitsubishi, small, yes, coup).
car(6752, bmw, small, yes, coup).
car(6756, honda, small, no, coup).
car(6772, toyota, large, no, coup).
car(6782, mitsubishi, medium, no, suv).
car(6783, toyota, small, yes, coup).
car(6817, mitsubishi, small, yes, coup).
car(6818, mitsubishi, medium, no, suv).
car(6822, benz, small, yes, coup).
car(6826, ford, small, yes, coup).
car(6842, mitsubishi, medium, no, suv).
car(6848, bmw, small, yes, coup).
car(6881, toyota, large, no, suv).
car(6883, benz, large, no, suv).
car(6889, mitsubishi, small, yes, coup).
car(6906, benz, small, yes, coup).
car(6912, honda, small, no, coup).
car(6927, toyota, small, yes, coup).
car(6941, toyota, large, no, suv).
car(6946, ford, small, yes, coup).
car(6965, toyota, large, no, suv).
car(6970, ford, small, yes, coup).
car(6975, benz, small, yes, coup).
car(6978, ford, small, yes, coup).
car(6990, benz, small, yes, coup).
car(6991, benz, large, no, suv).
car(6997, mitsubishi, small, yes, coup).
car(7010, mitsubishi, medium, no, suv).
car(7012, toyota, large, no, coup).
car(7042, ford, small, yes, coup).
car(7049, toyota, large, no, suv).
car(7057, mitsubishi, small, yes, coup).
car(7069, mitsubishi, small, yes, coup).
car(7092, honda, small, no, coup).
car(7096, toyota, large, no, coup).
car(7136, bmw, small, yes, coup).
car(7141, mitsubishi, small, yes, coup).
car(7153, mitsubishi, small, yes, coup).
car(7158, benz, small, yes, coup).
car(7167, toyota, small, yes, coup).
car(7173, bmw, medium, yes, coup).
car(7185, bmw, medium, yes, coup).
car(7197, bmw, medium, yes, coup).
car(7203, toyota, small, yes, coup).
car(7221, bmw, medium, yes, coup).
car(7237, mitsubishi, small, yes, coup).
car(7245, bmw, medium, yes, coup).
car(7257, bmw, medium, yes, coup).
car(7262, mitsubishi, medium, no, suv).
car(7269, bmw, medium, yes, coup).
car(7282, ford, small, yes, coup).
car(7284, honda, small, no, coup).
car(7289, toyota, large, no, suv).
car(7303, benz, large, no, suv).
car(7324, toyota, large, no, coup).
car(7326, benz, small, yes, coup).
car(7329, bmw, medium, yes, coup).
car(7332, honda, small, no, coup).
car(7337, toyota, large, no, suv).
car(7351, benz, large, no, suv).
car(7373, toyota, large, no, suv).
car(7403, ford, large, no, suv).
car(7407, toyota, small, yes, coup).
car(7411, benz, large, no, suv).
car(7420, toyota, large, no, coup).
car(7429, mitsubishi, small, yes, coup).
car(7430, mitsubishi, medium, no, suv).
car(7465, mitsubishi, small, yes, coup).
car(7469, toyota, large, no, suv).
car(7471, benz, large, no, suv).
car(7490, mitsubishi, medium, no, suv).
car(7503, toyota, small, yes, coup).
car(7515, toyota, small, yes, coup).
car(7523, ford, large, no, suv).
car(7524, honda, small, no, coup).
car(7535, ford, large, no, suv).
car(7542, benz, small, yes, coup).
car(7547, ford, large, no, suv).
car(7571, ford, large, no, suv).
car(7590, benz, small, yes, coup).
car(7619, ford, large, no, suv).
car(7622, mitsubishi, medium, no, suv).
car(7637, toyota, large, no, suv).
car(7642, ford, small, yes, coup).
car(7664, bmw, small, yes, coup).
car(7665, bmw, medium, yes, coup).
car(7693, mitsubishi, small, yes, coup).
car(7714, ford, small, yes, coup).
car(7717, mitsubishi, small, yes, coup).
car(7722, benz, small, yes, coup).
car(7726, ford, small, yes, coup).
car(7732, toyota, large, no, coup).
car(7741, mitsubishi, small, yes, coup).
car(7742, mitsubishi, medium, no, suv).
car(7753, mitsubishi, small, yes, coup).
car(7759, benz, large, no, suv).
car(7782, benz, small, yes, coup).
car(7793, toyota, large, no, suv).
car(7803, toyota, small, yes, coup).
car(7817, toyota, large, no, suv).
car(7820, bmw, small, yes, coup).
car(7825, mitsubishi, small, yes, coup).
car(7827, toyota, small, yes, coup).
car(7830, benz, small, yes, coup).
car(7834, ford, small, yes, coup).
car(7835, ford, large, no, suv).
car(7841, toyota, large, no, suv).
car(7845, bmw, medium, yes, coup).
car(7853, toyota, large, no, suv).
car(7854, benz, small, yes, coup).
car(7861, mitsubishi, small, yes, coup).
car(7864, toyota, large, no, coup).
car(7896, honda, small, no, coup).
car(7928, bmw, small, yes, coup).
car(7940, bmw, small, yes, coup).
car(7949, toyota, large, no, suv).
car(7956, honda, small, no, coup).
car(7962, benz, small, yes, coup).
car(7970, toyota, large, no, coup).
