car(4, benz, small, yes, coup).
car(837, bmw, medium, yes, coup).
car(839, ford, large, no, suv).
car(841, mitsubishi, small, yes, coup).
car(847, benz, large, no, suv).
car(851, ford, large, no, suv).
car(869, toyota, large, no, suv).
car(887, ford, large, no, suv).
car(898, ford, small, yes, coup).
car(900, honda, small, no, coup).
car(901, mitsubishi, small, yes, coup).
car(931, benz, large, no, suv).
car(935, ford, large, no, suv).
car(951, toyota, small, yes, coup).
car(955, benz, large, no, suv).
car(960, honda, small, no, coup).
car(970, ford, small, yes, coup).
car(972, honda, small, no, coup).
car(980, bmw, small, yes, coup).
car(1003, honda, small, no, coup).
car(1021, mitsubishi, small, yes, coup).
car(1061, toyota, large, no, suv).
car(1064, bmw, small, yes, coup).
car(1068, honda, small, no, coup).
car(1071, toyota, small, yes, coup).
car(1072, toyota, large, no, coup).
car(1075, benz, large, no, suv).
car(1076, bmw, small, yes, coup).
car(1083, toyota, small, yes, coup).
car(1092, honda, small, no, coup).
car(1101, bmw, medium, yes, coup).
car(1111, benz, large, no, suv).
car(1122, benz, small, yes, coup).
car(1132, toyota, large, no, coup).
car(1140, honda, small, no, coup).
car(1142, mitsubishi, medium, no, suv).
car(1146, benz, small, yes, coup).
car(1152, honda, small, no, coup).
car(1167, toyota, small, yes, coup).
car(1172, bmw, small, yes, coup).
car(1173, bmw, medium, yes, coup).
car(1190, mitsubishi, medium, no, suv).
car(1197, bmw, medium, yes, coup).
car(1203, toyota, small, yes, coup).
car(1212, honda, small, no, coup).
car(1213, mitsubishi, small, yes, coup).
car(1215, toyota, small, yes, coup).
car(1226, mitsubishi, medium, no, suv).
car(1238, mitsubishi, medium, no, suv).
car(1248, honda, small, no, coup).
car(1251, toyota, small, yes, coup).
car(1256, bmw, small, yes, coup).
car(1260, honda, small, no, coup).
car(1269, bmw, medium, yes, coup).
car(1273, mitsubishi, small, yes, coup).
car(1284, honda, small, no, coup).
car(1291, benz, large, no, suv).
car(1292, bmw, small, yes, coup).
car(1293, bmw, medium, yes, coup).
car(1302, benz, small, yes, coup).
car(1311, toyota, small, yes, coup).
car(1313, toyota, large, no, suv).
car(1318, ford, small, yes, coup).
car(1320, honda, small, no, coup).
car(1353, bmw, medium, yes, coup).
car(1366, ford, small, yes, coup).
car(1382, mitsubishi, medium, no, suv).
car(1390, ford, small, yes, coup).
car(1393, mitsubishi, small, yes, coup).
car(1396, toyota, large, no, coup).
car(1398, benz, small, yes, coup).
car(1399, benz, large, no, suv).
car(1401, bmw, medium, yes, coup).
car(1414, ford, small, yes, coup).
car(1436, bmw, small, yes, coup).
car(1452, honda, small, no, coup).
car(1460, bmw, small, yes, coup).
car(1464, honda, small, no, coup).
car(1470, benz, small, yes, coup).
car(1488, honda, small, no, coup).
car(1493, toyota, large, no, suv).
car(1500, honda, small, no, coup).
car(1502, mitsubishi, medium, no, suv).
car(1507, benz, large, no, suv).
car(1509, bmw, medium, yes, coup).
car(1522, ford, small, yes, coup).
car(1533, bmw, medium, yes, coup).
car(1534, ford, small, yes, coup).
car(1548, honda, small, no, coup).
car(1599, toyota, small, yes, coup).
car(1601, toyota, large, no, suv).
car(1603, benz, large, no, suv).
car(1607, ford, large, no, suv).
car(1627, benz, large, no, suv).
car(1629, bmw, medium, yes, coup).
car(1651, benz, large, no, suv).
car(1653, bmw, medium, yes, coup).
car(1660, toyota, large, no, coup).
car(1662, benz, small, yes, coup).
car(1699, benz, large, no, suv).
car(1700, bmw, small, yes, coup).
car(1729, mitsubishi, small, yes, coup).
car(1733, toyota, large, no, suv).
car(1734, benz, small, yes, coup).
car(1736, bmw, small, yes, coup).
car(1742, mitsubishi, medium, no, suv).
car(1745, toyota, large, no, suv).
car(1763, ford, large, no, suv).
car(1768, toyota, large, no, coup).
car(1772, bmw, small, yes, coup).
car(1781, toyota, large, no, suv).
car(1806, benz, small, yes, coup).
car(1810, ford, small, yes, coup).
car(1825, mitsubishi, small, yes, coup).
car(1836, honda, small, no, coup).
car(1838, mitsubishi, medium, no, suv).
car(1849, mitsubishi, small, yes, coup).
car(1873, mitsubishi, small, yes, coup).
car(1882, ford, small, yes, coup).
car(1886, mitsubishi, medium, no, suv).
car(1889, toyota, large, no, suv).
car(1895, ford, large, no, suv).
car(1928, bmw, small, yes, coup).
car(1934, mitsubishi, medium, no, suv).
car(1935, toyota, small, yes, coup).
car(1954, ford, small, yes, coup).
car(1955, ford, large, no, suv).
car(1957, mitsubishi, small, yes, coup).
car(1963, benz, large, no, suv).
car(1969, mitsubishi, small, yes, coup).
car(1988, bmw, small, yes, coup).
car(2005, mitsubishi, small, yes, coup).
car(2014, ford, small, yes, coup).
car(2023, benz, large, no, suv).
car(2024, bmw, small, yes, coup).
car(2043, toyota, small, yes, coup).
car(2052, honda, small, no, coup).
car(2059, benz, large, no, suv).
car(2068, toyota, large, no, coup).
car(2075, ford, large, no, suv).
car(2078, mitsubishi, medium, no, suv).
car(2085, bmw, medium, yes, coup).
car(2137, mitsubishi, small, yes, coup).
car(2140, toyota, large, no, coup).
car(2143, benz, large, no, suv).
car(2147, ford, large, no, suv).
car(2164, toyota, large, no, coup).
car(2172, honda, small, no, coup).
car(2177, toyota, large, no, suv).
car(2183, ford, large, no, suv).
car(2223, toyota, small, yes, coup).
car(2241, bmw, medium, yes, coup).
car(2261, toyota, large, no, suv).
car(2265, bmw, medium, yes, coup).
car(2268, honda, small, no, coup).
car(2282, mitsubishi, medium, no, suv).
car(2309, toyota, large, no, suv).
car(2313, bmw, medium, yes, coup).
car(2324, bmw, small, yes, coup).
car(2333, toyota, large, no, suv).
car(2349, bmw, medium, yes, coup).
car(2354, mitsubishi, medium, no, suv).
car(2363, ford, large, no, suv).
car(2381, toyota, large, no, suv).
car(2393, toyota, large, no, suv).
car(2401, mitsubishi, small, yes, coup).
car(2402, mitsubishi, medium, no, suv).
car(2406, benz, small, yes, coup).
car(2437, mitsubishi, small, yes, coup).
car(2442, benz, small, yes, coup).
car(2444, bmw, small, yes, coup).
car(2453, toyota, large, no, suv).
car(2457, bmw, medium, yes, coup).
car(2461, mitsubishi, small, yes, coup).
car(2473, mitsubishi, small, yes, coup).
car(2475, toyota, small, yes, coup).
car(2490, benz, small, yes, coup).
car(2494, ford, small, yes, coup).
car(2503, benz, large, no, suv).
car(2517, bmw, medium, yes, coup).
car(2521, mitsubishi, small, yes, coup).
car(2530, ford, small, yes, coup).
car(2531, ford, large, no, suv).
car(2532, honda, small, no, coup).
car(2545, mitsubishi, small, yes, coup).
car(2549, toyota, large, no, suv).
car(2550, benz, small, yes, coup).
car(2553, bmw, medium, yes, coup).
car(2561, toyota, large, no, suv).
car(2564, bmw, small, yes, coup).
car(2576, bmw, small, yes, coup).
car(2582, mitsubishi, medium, no, suv).
car(2585, toyota, large, no, suv).
car(2586, benz, small, yes, coup).
car(2590, ford, small, yes, coup).
car(2593, mitsubishi, small, yes, coup).
car(2609, toyota, large, no, suv).
car(2634, benz, small, yes, coup).
car(2687, ford, large, no, suv).
car(2694, benz, small, yes, coup).
car(2696, bmw, small, yes, coup).
car(2733, bmw, medium, yes, coup).
car(2735, ford, large, no, suv).
car(2741, toyota, large, no, suv).
car(2748, honda, small, no, coup).
car(2752, toyota, large, no, coup).
car(2759, ford, large, no, suv).
car(2770, ford, small, yes, coup).
car(2780, bmw, small, yes, coup).
car(2826, benz, small, yes, coup).
car(2834, mitsubishi, medium, no, suv).
car(2853, bmw, medium, yes, coup).
car(2860, toyota, large, no, coup).
car(2866, ford, small, yes, coup).
car(2891, ford, large, no, suv).
car(2909, toyota, large, no, suv).
car(2922, benz, small, yes, coup).
car(2931, toyota, small, yes, coup).
car(2933, toyota, large, no, suv).
car(2939, ford, large, no, suv).
car(2948, bmw, small, yes, coup).
car(2951, ford, large, no, suv).
car(2970, benz, small, yes, coup).
car(2971, benz, large, no, suv).
car(2973, bmw, medium, yes, coup).
car(2980, toyota, large, no, coup).
car(2984, bmw, small, yes, coup).
car(3020, bmw, small, yes, coup).
car(3032, bmw, small, yes, coup).
car(3035, ford, large, no, suv).
car(3039, toyota, small, yes, coup).
car(3041, toyota, large, no, suv).
car(3048, honda, small, no, coup).
car(3053, toyota, large, no, suv).
car(3079, benz, large, no, suv).
car(3109, mitsubishi, small, yes, coup).
car(3113, toyota, large, no, suv).
car(3116, bmw, small, yes, coup).
car(3121, mitsubishi, small, yes, coup).
car(3127, benz, large, no, suv).
car(3139, benz, large, no, suv).
car(3144, honda, small, no, coup).
car(3147, toyota, small, yes, coup).
car(3150, benz, small, yes, coup).
car(3153, bmw, medium, yes, coup).
car(3154, ford, small, yes, coup).
car(3161, toyota, large, no, suv).
car(3176, bmw, small, yes, coup).
car(3190, ford, small, yes, coup).
car(3192, honda, small, no, coup).
car(3197, toyota, large, no, suv).
car(3223, benz, large, no, suv).
car(3254, mitsubishi, medium, no, suv).
car(3262, ford, small, yes, coup).
car(3271, benz, large, no, suv).
car(3272, bmw, small, yes, coup).
car(3315, toyota, small, yes, coup).
car(3335, ford, large, no, suv).
car(3340, toyota, large, no, coup).
car(3345, bmw, medium, yes, coup).
car(3352, toyota, large, no, coup).
car(3355, benz, large, no, suv).
car(3368, bmw, small, yes, coup).
car(3371, ford, large, no, suv).
car(3385, mitsubishi, small, yes, coup).
car(3387, toyota, small, yes, coup).
car(3393, bmw, medium, yes, coup).
car(3416, bmw, small, yes, coup).
car(3425, toyota, large, no, suv).
car(3457, mitsubishi, small, yes, coup).
car(3462, benz, small, yes, coup).
car(3465, bmw, medium, yes, coup).
car(3472, toyota, large, no, coup).
car(3497, toyota, large, no, suv).
car(3509, toyota, large, no, suv).
car(3512, bmw, small, yes, coup).
car(3515, ford, large, no, suv).
car(3528, honda, small, no, coup).
car(3535, benz, large, no, suv).
car(3537, bmw, medium, yes, coup).
car(3552, honda, small, no, coup).
car(3558, benz, small, yes, coup).
car(3603, toyota, small, yes, coup).
car(3608, bmw, small, yes, coup).
car(3612, honda, small, no, coup).
car(3613, mitsubishi, small, yes, coup).
car(3617, toyota, large, no, suv).
car(3620, bmw, small, yes, coup).
car(3631, benz, large, no, suv).
car(3634, ford, small, yes, coup).
car(3641, toyota, large, no, suv).
car(3642, benz, small, yes, coup).
car(3643, benz, large, no, suv).
car(3651, toyota, small, yes, coup).
car(3667, benz, large, no, suv).
car(3674, mitsubishi, medium, no, suv).
car(3690, benz, small, yes, coup).
car(3691, benz, large, no, suv).
car(3693, bmw, medium, yes, coup).
car(3700, toyota, large, no, coup).
car(3717, bmw, medium, yes, coup).
car(3718, ford, small, yes, coup).
car(3729, bmw, medium, yes, coup).
car(3732, honda, small, no, coup).
car(3738, benz, small, yes, coup).
car(3746, mitsubishi, medium, no, suv).
car(3770, mitsubishi, medium, no, suv).
car(3771, toyota, small, yes, coup).
car(3776, bmw, small, yes, coup).
car(3787, benz, large, no, suv).
car(3788, bmw, small, yes, coup).
car(3803, ford, large, no, suv).
car(3817, mitsubishi, small, yes, coup).
car(3851, ford, large, no, suv).
car(3853, mitsubishi, small, yes, coup).
car(3866, mitsubishi, medium, no, suv).
car(3883, benz, large, no, suv).
car(3893, toyota, large, no, suv).
car(3896, bmw, small, yes, coup).
car(3900, honda, small, no, coup).
car(3908, bmw, small, yes, coup).
car(3912, honda, small, no, coup).
car(3913, mitsubishi, small, yes, coup).
car(3914, mitsubishi, medium, no, suv).
car(3920, bmw, small, yes, coup).
car(3921, bmw, medium, yes, coup).
car(3925, mitsubishi, small, yes, coup).
car(3948, honda, small, no, coup).
car(3965, toyota, large, no, suv).
car(3967, benz, large, no, suv).
car(3983, honda, small, no, coup).
car(3987, benz, small, yes, coup).
car(3988, bmw, small, yes, coup).
car(3989, bmw, medium, yes, coup).
car(3999, toyota, small, yes, coup).
car(4004, bmw, small, yes, coup).
car(4013, toyota, large, no, suv).
car(4032, honda, small, no, coup).
car(4050, benz, small, yes, coup).
car(4051, benz, large, no, suv).
car(4068, honda, small, no, coup).
car(4074, benz, small, yes, coup).
car(4093, mitsubishi, small, yes, coup).
car(4110, benz, small, yes, coup).
car(4160, bmw, small, yes, coup).
car(4178, mitsubishi, medium, no, suv).
car(4183, benz, large, no, suv).
car(4196, bmw, small, yes, coup).
car(4201, mitsubishi, small, yes, coup).
car(4218, benz, small, yes, coup).
car(4231, benz, large, no, suv).
car(4232, bmw, small, yes, coup).
car(4242, benz, small, yes, coup).
car(4260, honda, small, no, coup).
car(4262, mitsubishi, medium, no, suv).
car(4276, toyota, large, no, coup).
car(4281, bmw, medium, yes, coup).
car(4291, benz, large, no, suv).
car(4296, honda, small, no, coup).
car(4300, toyota, large, no, coup).
car(4306, ford, small, yes, coup).
car(4312, toyota, large, no, coup).
car(4317, bmw, medium, yes, coup).
car(4318, ford, small, yes, coup).
car(4319, ford, large, no, suv).
car(4322, mitsubishi, medium, no, suv).
car(4341, bmw, medium, yes, coup).
car(4350, benz, small, yes, coup).
car(4362, benz, small, yes, coup).
car(4366, ford, small, yes, coup).
car(4368, honda, small, no, coup).
car(4380, honda, small, no, coup).
car(4387, benz, large, no, suv).
car(4402, ford, small, yes, coup).
car(4407, toyota, small, yes, coup).
car(4411, benz, large, no, suv).
car(4420, toyota, large, no, coup).
car(4441, mitsubishi, small, yes, coup).
car(4443, toyota, small, yes, coup).
car(4444, toyota, large, no, coup).
car(4460, bmw, small, yes, coup).
car(4473, bmw, medium, yes, coup).
car(4477, mitsubishi, small, yes, coup).
car(4493, toyota, large, no, suv).
car(4498, ford, small, yes, coup).
car(4529, toyota, large, no, suv).
car(4531, benz, large, no, suv).
car(4532, bmw, small, yes, coup).
car(4543, benz, large, no, suv).
car(4548, honda, small, no, coup).
car(4567, benz, large, no, suv).
car(4568, bmw, small, yes, coup).
car(4580, bmw, small, yes, coup).
car(4583, ford, large, no, suv).
car(4587, toyota, small, yes, coup).
car(4588, toyota, large, no, coup).
car(4609, mitsubishi, small, yes, coup).
car(4623, toyota, small, yes, coup).
car(4633, mitsubishi, small, yes, coup).
car(4635, toyota, small, yes, coup).
car(4644, honda, small, no, coup).
car(4646, mitsubishi, medium, no, suv).
car(4659, toyota, small, yes, coup).
car(4661, toyota, large, no, suv).
car(4680, honda, small, no, coup).
car(4696, toyota, large, no, coup).
car(4706, mitsubishi, medium, no, suv).
car(4712, bmw, small, yes, coup).
car(4758, benz, small, yes, coup).
car(4763, ford, large, no, suv).
car(4764, honda, small, no, coup).
car(4765, mitsubishi, small, yes, coup).
car(4781, toyota, large, no, suv).
car(4799, ford, large, no, suv).
car(4816, toyota, large, no, coup).
car(4817, toyota, large, no, suv).
car(4830, benz, small, yes, coup).
car(4831, benz, large, no, suv).
car(4837, mitsubishi, small, yes, coup).
car(4838, mitsubishi, medium, no, suv).
car(4849, mitsubishi, small, yes, coup).
car(4873, mitsubishi, small, yes, coup).
car(4882, ford, small, yes, coup).
car(4885, mitsubishi, small, yes, coup).
car(4890, benz, small, yes, coup).
car(4893, bmw, medium, yes, coup).
car(4906, ford, small, yes, coup).
car(4928, bmw, small, yes, coup).
car(4947, toyota, small, yes, coup).
car(4959, toyota, small, yes, coup).
car(4960, toyota, large, no, coup).
car(4976, bmw, small, yes, coup).
car(4981, toyota, small, yes, coup).
car(4986, ford, small, yes, coup).
car(5005, mitsubishi, small, yes, coup).
car(5016, honda, small, no, coup).
car(5020, toyota, large, no, coup).
car(5031, toyota, small, yes, coup).
car(5051, ford, large, no, suv).
car(5052, honda, small, no, coup).
car(5056, toyota, large, no, coup).
car(5063, ford, large, no, suv).
car(5096, bmw, small, yes, coup).
car(5115, toyota, small, yes, coup).
car(5126, mitsubishi, medium, no, suv).
car(5133, bmw, medium, yes, coup).
car(5145, bmw, medium, yes, coup).
car(5152, toyota, large, no, coup).
car(5155, benz, large, no, suv).
car(5180, bmw, small, yes, coup).
car(5191, benz, large, no, suv).
car(5193, bmw, medium, yes, coup).
car(5197, mitsubishi, small, yes, coup).
car(5203, benz, large, no, suv).
car(5210, mitsubishi, medium, no, suv).
car(5219, ford, large, no, suv).
car(5220, honda, small, no, coup).
car(5221, mitsubishi, small, yes, coup).
car(5236, toyota, large, no, coup).
car(5237, toyota, large, no, suv).
car(5239, benz, large, no, suv).
car(5241, bmw, medium, yes, coup).
car(5243, ford, large, no, suv).
car(5247, toyota, small, yes, coup).
car(5249, toyota, large, no, suv).
car(5252, bmw, small, yes, coup).
car(5255, ford, large, no, suv).
car(5261, toyota, large, no, suv).
car(5277, bmw, medium, yes, coup).
car(5287, benz, large, no, suv).
car(5292, honda, small, no, coup).
car(5305, mitsubishi, small, yes, coup).
car(5323, benz, large, no, suv).
car(5332, toyota, large, no, coup).
car(5346, benz, small, yes, coup).
car(5348, bmw, small, yes, coup).
car(5354, mitsubishi, medium, no, suv).
car(5379, toyota, small, yes, coup).
car(5394, benz, small, yes, coup).
car(5397, bmw, medium, yes, coup).
car(5408, bmw, small, yes, coup).
car(5413, mitsubishi, small, yes, coup).
car(5421, bmw, medium, yes, coup).
car(5432, bmw, small, yes, coup).
car(5445, bmw, medium, yes, coup).
car(5447, ford, large, no, suv).
car(5454, benz, small, yes, coup).
car(5507, ford, large, no, suv).
car(5529, bmw, medium, yes, coup).
car(5534, mitsubishi, medium, no, suv).
car(5537, toyota, large, no, suv).
car(5546, mitsubishi, medium, no, suv).
car(5556, honda, small, no, coup).
car(5562, benz, small, yes, coup).
car(5570, mitsubishi, medium, no, suv).
car(5583, toyota, small, yes, coup).
car(5601, bmw, medium, yes, coup).
car(5608, toyota, large, no, coup).
car(5643, toyota, small, yes, coup).
car(5645, toyota, large, no, suv).
car(5658, benz, small, yes, coup).
car(5664, honda, small, no, coup).
car(5666, mitsubishi, medium, no, suv).
car(5669, toyota, large, no, suv).
car(5712, honda, small, no, coup).
car(5722, ford, small, yes, coup).
car(5727, toyota, small, yes, coup).
car(5744, bmw, small, yes, coup).
car(5745, bmw, medium, yes, coup).
car(5748, honda, small, no, coup).
car(5758, ford, small, yes, coup).
car(5767, benz, large, no, suv).
car(5783, ford, large, no, suv).
car(5788, toyota, large, no, coup).
car(5791, benz, large, no, suv).
car(5793, bmw, medium, yes, coup).
car(5795, ford, large, no, suv).
car(5798, mitsubishi, medium, no, suv).
car(5799, toyota, small, yes, coup).
car(5816, bmw, small, yes, coup).
car(5829, bmw, medium, yes, coup).
car(5841, bmw, medium, yes, coup).
car(5843, ford, large, no, suv).
car(5865, bmw, medium, yes, coup).
car(5866, ford, small, yes, coup).
car(5886, benz, small, yes, coup).
car(5887, benz, large, no, suv).
car(5899, benz, large, no, suv).
car(5926, ford, small, yes, coup).
car(5931, toyota, small, yes, coup).
car(5941, mitsubishi, small, yes, coup).
car(5942, mitsubishi, medium, no, suv).
car(5947, benz, large, no, suv).
car(5958, benz, small, yes, coup).
car(5962, ford, small, yes, coup).
car(5963, ford, large, no, suv).
car(5967, toyota, small, yes, coup).
car(5988, ford, large, no, suv).
car(6023, ford, large, no, suv).
car(6035, ford, large, no, suv).
car(6044, bmw, small, yes, coup).
car(6064, toyota, large, no, coup).
car(6065, toyota, large, no, suv).
car(6070, ford, small, yes, coup).
car(6081, bmw, medium, yes, coup).
car(6114, benz, small, yes, coup).
car(6116, bmw, small, yes, coup).
car(6118, ford, small, yes, coup).
car(6135, toyota, small, yes, coup).
car(6151, benz, large, no, suv).
car(6181, mitsubishi, small, yes, coup).
car(6191, ford, large, no, suv).
car(6193, mitsubishi, small, yes, coup).
car(6199, benz, large, no, suv).
car(6204, honda, small, no, coup).
car(6208, toyota, large, no, coup).
car(6218, mitsubishi, medium, no, suv).
car(6237, bmw, medium, yes, coup).
car(6244, toyota, large, no, coup).
car(6253, mitsubishi, small, yes, coup).
car(6274, ford, small, yes, coup).
car(6277, mitsubishi, small, yes, coup).
car(6288, honda, small, no, coup).
car(6294, benz, small, yes, coup).
car(6304, toyota, large, no, coup).
car(6310, ford, small, yes, coup).
car(6335, ford, large, no, suv).
car(6338, mitsubishi, medium, no, suv).
car(6343, benz, large, no, suv).
car(6358, ford, small, yes, coup).
car(6361, mitsubishi, small, yes, coup).
car(6364, toyota, large, no, coup).
car(6369, bmw, medium, yes, coup).
car(6382, ford, small, yes, coup).
car(6410, mitsubishi, medium, no, suv).
car(6439, benz, large, no, suv).
car(6457, mitsubishi, small, yes, coup).
car(6462, benz, small, yes, coup).
car(6469, mitsubishi, small, yes, coup).
car(6476, bmw, small, yes, coup).
car(6507, toyota, small, yes, coup).
car(6509, toyota, large, no, suv).
car(6513, bmw, medium, yes, coup).
car(6520, toyota, large, no, coup).
car(6525, bmw, medium, yes, coup).
car(6529, mitsubishi, small, yes, coup).
car(6537, bmw, medium, yes, coup).
car(6540, honda, small, no, coup).
car(6548, bmw, small, yes, coup).
car(6561, bmw, medium, yes, coup).
car(6563, ford, large, no, suv).
car(6583, benz, large, no, suv).
car(6609, bmw, medium, yes, coup).
car(6610, ford, small, yes, coup).
car(6627, toyota, small, yes, coup).
car(6635, ford, large, no, suv).
car(6637, mitsubishi, small, yes, coup).
car(6641, toyota, large, no, suv).
car(6656, bmw, small, yes, coup).
car(6660, honda, small, no, coup).
car(6671, ford, large, no, suv).
car(6681, bmw, medium, yes, coup).
car(6687, toyota, small, yes, coup).
car(6698, mitsubishi, medium, no, suv).
car(6705, bmw, medium, yes, coup).
car(6708, honda, small, no, coup).
car(6724, toyota, large, no, coup).
car(6727, benz, large, no, suv).
car(6729, bmw, medium, yes, coup).
car(6740, bmw, small, yes, coup).
car(6748, toyota, large, no, coup).
car(6753, bmw, medium, yes, coup).
car(6761, toyota, large, no, suv).
car(6762, benz, small, yes, coup).
car(6767, ford, large, no, suv).
car(6778, ford, small, yes, coup).
car(6784, toyota, large, no, coup).
car(6786, benz, small, yes, coup).
car(6790, ford, small, yes, coup).
car(6794, mitsubishi, medium, no, suv).
car(6796, toyota, large, no, coup).
car(6797, toyota, large, no, suv).
car(6800, bmw, small, yes, coup).
car(6806, mitsubishi, medium, no, suv).
car(6815, ford, large, no, suv).
car(6819, toyota, small, yes, coup).
car(6829, mitsubishi, small, yes, coup).
car(6858, benz, small, yes, coup).
car(6879, toyota, small, yes, coup).
car(6880, toyota, large, no, coup).
car(6898, ford, small, yes, coup).
car(6900, honda, small, no, coup).
car(6914, mitsubishi, medium, no, suv).
car(6939, toyota, small, yes, coup).
car(6955, benz, large, no, suv).
car(6958, ford, small, yes, coup).
car(6974, toyota, large, no, coup).
car(6979, honda, small, no, coup).
car(6988, toyota, large, no, coup).
car(6998, mitsubishi, medium, no, suv).
car(7006, ford, small, yes, coup).
car(7013, toyota, large, no, suv).
car(7026, benz, small, yes, coup).
car(7044, honda, small, no, coup).
car(7061, toyota, large, no, suv).
car(7065, bmw, medium, yes, coup).
car(7076, bmw, small, yes, coup).
car(7079, ford, large, no, suv).
car(7093, mitsubishi, small, yes, coup).
car(7099, benz, large, no, suv).
car(7109, toyota, large, no, suv).
car(7111, benz, large, no, suv).
car(7129, mitsubishi, small, yes, coup).
car(7134, benz, small, yes, coup).
car(7139, ford, large, no, suv).
car(7140, honda, small, no, coup).
car(7169, toyota, large, no, suv).
car(7187, ford, large, no, suv).
car(7216, toyota, large, no, coup).
car(7255, benz, large, no, suv).
car(7258, ford, small, yes, coup).
car(7272, honda, small, no, coup).
car(7298, mitsubishi, medium, no, suv).
car(7300, toyota, large, no, coup).
car(7302, benz, small, yes, coup).
car(7307, ford, large, no, suv).
car(7311, toyota, small, yes, coup).
car(7319, ford, large, no, suv).
car(7320, honda, small, no, coup).
car(7371, toyota, small, yes, coup).
car(7372, toyota, large, no, coup).
car(7379, ford, large, no, suv).
car(7388, bmw, small, yes, coup).
car(7404, honda, small, no, coup).
car(7413, bmw, medium, yes, coup).
car(7421, toyota, large, no, suv).
car(7426, ford, small, yes, coup).
car(7431, toyota, small, yes, coup).
car(7457, toyota, large, no, suv).
car(7458, benz, small, yes, coup).
car(7476, honda, small, no, coup).
car(7504, toyota, large, no, coup).
car(7512, honda, small, no, coup).
car(7517, toyota, large, no, suv).
car(7532, bmw, small, yes, coup).
car(7550, mitsubishi, medium, no, suv).
car(7554, benz, small, yes, coup).
car(7563, toyota, small, yes, coup).
car(7565, toyota, large, no, suv).
car(7575, toyota, small, yes, coup).
car(7582, ford, small, yes, coup).
car(7588, toyota, large, no, coup).
car(7591, benz, large, no, suv).
car(7596, honda, small, no, coup).
car(7606, ford, small, yes, coup).
car(7608, honda, small, no, coup).
car(7616, bmw, small, yes, coup).
car(7624, toyota, large, no, coup).
car(7631, ford, large, no, suv).
car(7649, toyota, large, no, suv).
car(7654, ford, small, yes, coup).
