car(17, toyota, large, no, suv).
car(1337, toyota, large, no, suv).
car(1352, bmw, small, yes, coup).
car(1361, toyota, large, no, suv).
car(1369, mitsubishi, small, yes, coup).
car(1371, toyota, small, yes, coup).
car(1376, bmw, small, yes, coup).
car(1379, ford, large, no, suv).
car(1381, mitsubishi, small, yes, coup).
car(1389, bmw, medium, yes, coup).
car(1405, mitsubishi, small, yes, coup).
car(1412, bmw, small, yes, coup).
car(1417, mitsubishi, small, yes, coup).
car(1429, mitsubishi, small, yes, coup).
car(1439, ford, large, no, suv).
car(1440, honda, small, no, coup).
car(1469, toyota, large, no, suv).
car(1494, benz, small, yes, coup).
car(1499, ford, large, no, suv).
car(1513, mitsubishi, small, yes, coup).
car(1531, benz, large, no, suv).
car(1540, toyota, large, no, coup).
car(1542, benz, small, yes, coup).
car(1543, benz, large, no, suv).
car(1544, bmw, small, yes, coup).
car(1547, ford, large, no, suv).
car(1550, mitsubishi, medium, no, suv).
car(1551, toyota, small, yes, coup).
car(1552, toyota, large, no, coup).
car(1561, mitsubishi, small, yes, coup).
car(1588, toyota, large, no, coup).
car(1592, bmw, small, yes, coup).
car(1596, honda, small, no, coup).
car(1602, benz, small, yes, coup).
car(1616, bmw, small, yes, coup).
car(1617, bmw, medium, yes, coup).
car(1618, ford, small, yes, coup).
car(1638, benz, small, yes, coup).
car(1650, benz, small, yes, coup).
car(1674, benz, small, yes, coup).
car(1684, toyota, large, no, coup).
car(1687, benz, large, no, suv).
car(1690, ford, small, yes, coup).
car(1693, mitsubishi, small, yes, coup).
car(1696, toyota, large, no, coup).
car(1710, benz, small, yes, coup).
car(1716, honda, small, no, coup).
car(1724, bmw, small, yes, coup).
car(1725, bmw, medium, yes, coup).
car(1737, bmw, medium, yes, coup).
car(1747, benz, large, no, suv).
car(1755, toyota, small, yes, coup).
car(1761, bmw, medium, yes, coup).
car(1783, benz, large, no, suv).
car(1795, benz, large, no, suv).
car(1800, honda, small, no, coup).
car(1805, toyota, large, no, suv).
car(1821, bmw, medium, yes, coup).
car(1829, toyota, large, no, suv).
car(1837, mitsubishi, small, yes, coup).
car(1842, benz, small, yes, coup).
car(1843, benz, large, no, suv).
car(1860, honda, small, no, coup).
car(1863, toyota, small, yes, coup).
car(1884, honda, small, no, coup).
car(1885, mitsubishi, small, yes, coup).
car(1908, honda, small, no, coup).
car(1913, toyota, large, no, suv).
car(1923, toyota, small, yes, coup).
car(1940, bmw, small, yes, coup).
car(1941, bmw, medium, yes, coup).
car(1949, toyota, large, no, suv).
car(1964, bmw, small, yes, coup).
car(1990, ford, small, yes, coup).
car(2008, toyota, large, no, coup).
car(2013, bmw, medium, yes, coup).
car(2016, honda, small, no, coup).
car(2020, toyota, large, no, coup).
car(2034, benz, small, yes, coup).
car(2038, ford, small, yes, coup).
car(2042, mitsubishi, medium, no, suv).
car(2058, benz, small, yes, coup).
car(2069, toyota, large, no, suv).
car(2071, benz, large, no, suv).
car(2073, bmw, medium, yes, coup).
car(2077, mitsubishi, small, yes, coup).
car(2087, ford, large, no, suv).
car(2092, toyota, large, no, coup).
car(2100, honda, small, no, coup).
car(2102, mitsubishi, medium, no, suv).
car(2104, toyota, large, no, coup).
car(2106, benz, small, yes, coup).
car(2121, bmw, medium, yes, coup).
car(2161, mitsubishi, small, yes, coup).
car(2168, bmw, small, yes, coup).
car(2228, bmw, small, yes, coup).
car(2230, ford, small, yes, coup).
car(2247, toyota, small, yes, coup).
car(2251, benz, large, no, suv).
car(2253, bmw, medium, yes, coup).
car(2254, ford, small, yes, coup).
car(2272, toyota, large, no, coup).
car(2276, bmw, small, yes, coup).
car(2277, bmw, medium, yes, coup).
car(2293, mitsubishi, small, yes, coup).
car(2315, ford, large, no, suv).
car(2332, toyota, large, no, coup).
car(2340, honda, small, no, coup).
car(2356, toyota, large, no, coup).
car(2370, benz, small, yes, coup).
car(2382, benz, small, yes, coup).
car(2383, benz, large, no, suv).
car(2390, mitsubishi, medium, no, suv).
car(2392, toyota, large, no, coup).
car(2400, honda, small, no, coup).
car(2432, bmw, small, yes, coup).
car(2438, mitsubishi, medium, no, suv).
car(2440, toyota, large, no, coup).
car(2448, honda, small, no, coup).
car(2450, mitsubishi, medium, no, suv).
car(2451, toyota, small, yes, coup).
car(2479, benz, large, no, suv).
car(2481, bmw, medium, yes, coup).
car(2488, toyota, large, no, coup).
car(2504, bmw, small, yes, coup).
car(2514, benz, small, yes, coup).
car(2529, bmw, medium, yes, coup).
car(2533, mitsubishi, small, yes, coup).
car(2560, toyota, large, no, coup).
car(2587, benz, large, no, suv).
car(2588, bmw, small, yes, coup).
car(2598, benz, small, yes, coup).
car(2606, mitsubishi, medium, no, suv).
car(2608, toyota, large, no, coup).
car(2613, bmw, medium, yes, coup).
car(2620, toyota, large, no, coup).
car(2623, benz, large, no, suv).
car(2627, ford, large, no, suv).
car(2629, mitsubishi, small, yes, coup).
car(2630, mitsubishi, medium, no, suv).
car(2639, ford, large, no, suv).
car(2649, bmw, medium, yes, coup).
car(2650, ford, small, yes, coup).
car(2666, mitsubishi, medium, no, suv).
car(2677, mitsubishi, small, yes, coup).
car(2680, toyota, large, no, coup).
car(2697, bmw, medium, yes, coup).
car(2724, honda, small, no, coup).
car(2731, benz, large, no, suv).
car(2742, benz, small, yes, coup).
car(2743, benz, large, no, suv).
car(2753, toyota, large, no, suv).
car(2754, benz, small, yes, coup).
car(2755, benz, large, no, suv).
car(2757, bmw, medium, yes, coup).
car(2760, honda, small, no, coup).
car(2764, toyota, large, no, coup).
car(2775, toyota, small, yes, coup).
car(2781, bmw, medium, yes, coup).
car(2791, benz, large, no, suv).
car(2805, bmw, medium, yes, coup).
car(2812, toyota, large, no, coup).
car(2817, bmw, medium, yes, coup).
car(2819, ford, large, no, suv).
car(2825, toyota, large, no, suv).
car(2828, bmw, small, yes, coup).
car(2836, toyota, large, no, coup).
car(2841, bmw, medium, yes, coup).
car(2852, bmw, small, yes, coup).
car(2858, mitsubishi, medium, no, suv).
car(2864, bmw, small, yes, coup).
car(2865, bmw, medium, yes, coup).
car(2870, mitsubishi, medium, no, suv).
car(2880, honda, small, no, coup).
car(2883, toyota, small, yes, coup).
car(2886, benz, small, yes, coup).
car(2892, honda, small, no, coup).
car(2899, benz, large, no, suv).
car(2901, bmw, medium, yes, coup).
car(2903, ford, large, no, suv).
car(2912, bmw, small, yes, coup).
car(2928, honda, small, no, coup).
car(2929, mitsubishi, small, yes, coup).
car(2930, mitsubishi, medium, no, suv).
car(2935, benz, large, no, suv).
car(2938, ford, small, yes, coup).
car(2943, toyota, small, yes, coup).
car(2953, mitsubishi, small, yes, coup).
car(2956, toyota, large, no, coup).
car(2990, toyota, large, no, coup).
car(3005, toyota, large, no, suv).
car(3007, benz, large, no, suv).
car(3009, bmw, medium, yes, coup).
car(3014, mitsubishi, medium, no, suv).
car(3049, mitsubishi, small, yes, coup).
car(3056, bmw, small, yes, coup).
car(3057, bmw, medium, yes, coup).
car(3071, ford, large, no, suv).
car(3074, mitsubishi, medium, no, suv).
car(3103, benz, large, no, suv).
car(3115, benz, large, no, suv).
car(3173, toyota, large, no, suv).
car(3174, benz, small, yes, coup).
car(3198, benz, small, yes, coup).
car(3200, bmw, small, yes, coup).
car(3208, toyota, large, no, coup).
car(3217, mitsubishi, small, yes, coup).
car(3219, toyota, small, yes, coup).
car(3229, mitsubishi, small, yes, coup).
car(3251, ford, large, no, suv).
car(3259, benz, large, no, suv).
car(3264, honda, small, no, coup).
car(3277, mitsubishi, small, yes, coup).
car(3294, benz, small, yes, coup).
car(3296, bmw, small, yes, coup).
car(3306, benz, small, yes, coup).
car(3313, mitsubishi, small, yes, coup).
car(3316, toyota, large, no, coup).
car(3319, benz, large, no, suv).
car(3325, mitsubishi, small, yes, coup).
car(3326, mitsubishi, medium, no, suv).
car(3328, toyota, large, no, coup).
car(3334, ford, small, yes, coup).
car(3336, honda, small, no, coup).
car(3344, bmw, small, yes, coup).
car(3351, toyota, small, yes, coup).
car(3354, benz, small, yes, coup).
car(3376, toyota, large, no, coup).
car(3381, bmw, medium, yes, coup).
car(3396, honda, small, no, coup).
car(3406, ford, small, yes, coup).
car(3423, toyota, small, yes, coup).
car(3440, bmw, small, yes, coup).
car(3454, ford, small, yes, coup).
car(3455, ford, large, no, suv).
car(3468, honda, small, no, coup).
car(3477, bmw, medium, yes, coup).
car(3480, honda, small, no, coup).
car(3482, mitsubishi, medium, no, suv).
car(3488, bmw, small, yes, coup).
car(3504, honda, small, no, coup).
car(3511, benz, large, no, suv).
car(3513, bmw, medium, yes, coup).
car(3526, ford, small, yes, coup).
car(3527, ford, large, no, suv).
car(3531, toyota, small, yes, coup).
car(3534, benz, small, yes, coup).
car(3540, honda, small, no, coup).
car(3542, mitsubishi, medium, no, suv).
car(3559, benz, large, no, suv).
car(3560, bmw, small, yes, coup).
car(3567, toyota, small, yes, coup).
car(3576, honda, small, no, coup).
car(3577, mitsubishi, small, yes, coup).
car(3602, mitsubishi, medium, no, suv).
car(3605, toyota, large, no, suv).
car(3609, bmw, medium, yes, coup).
car(3622, ford, small, yes, coup).
car(3624, honda, small, no, coup).
car(3627, toyota, small, yes, coup).
car(3648, honda, small, no, coup).
car(3677, toyota, large, no, suv).
car(3685, mitsubishi, small, yes, coup).
car(3692, bmw, small, yes, coup).
car(3702, benz, small, yes, coup).
car(3707, ford, large, no, suv).
car(3727, benz, large, no, suv).
car(3761, toyota, large, no, suv).
car(3769, mitsubishi, small, yes, coup).
car(3773, toyota, large, no, suv).
car(3808, toyota, large, no, coup).
car(3815, ford, large, no, suv).
car(3822, benz, small, yes, coup).
car(3827, ford, large, no, suv).
car(3839, ford, large, no, suv).
car(3846, benz, small, yes, coup).
car(3855, toyota, small, yes, coup).
car(3858, benz, small, yes, coup).
car(3862, ford, small, yes, coup).
car(3904, toyota, large, no, coup).
car(3910, ford, small, yes, coup).
car(3915, toyota, small, yes, coup).
car(3917, toyota, large, no, suv).
car(3918, benz, small, yes, coup).
car(3943, benz, large, no, suv).
car(3957, bmw, medium, yes, coup).
car(3962, mitsubishi, medium, no, suv).
car(3980, bmw, small, yes, coup).
car(4022, mitsubishi, medium, no, suv).
car(4049, toyota, large, no, suv).
car(4052, bmw, small, yes, coup).
car(4060, toyota, large, no, coup).
car(4073, toyota, large, no, suv).
car(4099, benz, large, no, suv).
car(4106, mitsubishi, medium, no, suv).
car(4122, benz, small, yes, coup).
car(4131, toyota, small, yes, coup).
car(4132, toyota, large, no, coup).
car(4136, bmw, small, yes, coup).
car(4138, ford, small, yes, coup).
car(4162, ford, small, yes, coup).
car(4186, ford, small, yes, coup).
car(4187, ford, large, no, suv).
car(4188, honda, small, no, coup).
car(4253, toyota, large, no, suv).
car(4257, bmw, medium, yes, coup).
car(4264, toyota, large, no, coup).
car(4267, benz, large, no, suv).
car(4268, bmw, small, yes, coup).
car(4271, ford, large, no, suv).
car(4274, mitsubishi, medium, no, suv).
car(4297, mitsubishi, small, yes, coup).
car(4320, honda, small, no, coup).
car(4324, toyota, large, no, coup).
car(4326, benz, small, yes, coup).
car(4333, mitsubishi, small, yes, coup).
car(4337, toyota, large, no, suv).
car(4343, ford, large, no, suv).
car(4344, honda, small, no, coup).
car(4353, bmw, medium, yes, coup).
car(4370, mitsubishi, medium, no, suv).
car(4375, benz, large, no, suv).
car(4430, mitsubishi, medium, no, suv).
car(4432, toyota, large, no, coup).
car(4439, ford, large, no, suv).
car(4465, mitsubishi, small, yes, coup).
car(4481, toyota, large, no, suv).
car(4484, bmw, small, yes, coup).
car(4510, ford, small, yes, coup).
car(4519, benz, large, no, suv).
car(4520, bmw, small, yes, coup).
car(4541, toyota, large, no, suv).
car(4549, mitsubishi, small, yes, coup).
car(4578, benz, small, yes, coup).
car(4590, benz, small, yes, coup).
car(4591, benz, large, no, suv).
car(4594, ford, small, yes, coup).
car(4620, honda, small, no, coup).
car(4653, bmw, medium, yes, coup).
car(4662, benz, small, yes, coup).
car(4684, toyota, large, no, coup).
car(4686, benz, small, yes, coup).
car(4719, toyota, small, yes, coup).
car(4720, toyota, large, no, coup).
car(4739, ford, large, no, suv).
car(4743, toyota, small, yes, coup).
car(4754, mitsubishi, medium, no, suv).
car(4777, mitsubishi, small, yes, coup).
car(4783, benz, large, no, suv).
car(4790, mitsubishi, medium, no, suv).
car(4814, mitsubishi, medium, no, suv).
car(4859, ford, large, no, suv).
car(4860, honda, small, no, coup).
car(4871, ford, large, no, suv).
car(4877, toyota, large, no, suv).
car(4878, benz, small, yes, coup).
car(4880, bmw, small, yes, coup).
car(4887, toyota, small, yes, coup).
car(4896, honda, small, no, coup).
car(4899, toyota, small, yes, coup).
car(4903, benz, large, no, suv).
car(4905, bmw, medium, yes, coup).
car(4922, mitsubishi, medium, no, suv).
car(4924, toyota, large, no, coup).
car(4935, toyota, small, yes, coup).
car(4941, bmw, medium, yes, coup).
car(4966, ford, small, yes, coup).
car(4977, bmw, medium, yes, coup).
car(4980, mitsubishi, small, yes, coup).
car(4987, honda, small, no, coup).
car(4991, mitsubishi, medium, no, suv).
car(4996, toyota, large, no, coup).
car(5008, toyota, large, no, coup).
car(5028, honda, small, no, coup).
car(5059, benz, large, no, suv).
car(5069, toyota, large, no, suv).
car(5081, toyota, large, no, suv).
car(5084, bmw, small, yes, coup).
car(5088, honda, small, no, coup).
car(5093, toyota, large, no, suv).
car(5131, benz, large, no, suv).
car(5144, bmw, small, yes, coup).
car(5163, toyota, small, yes, coup).
car(5184, honda, small, no, coup).
car(5195, ford, large, no, suv).
car(5225, toyota, large, no, suv).
car(5251, benz, large, no, suv).
car(5263, benz, large, no, suv).
car(5264, bmw, small, yes, coup).
car(5281, mitsubishi, small, yes, coup).
car(5306, mitsubishi, medium, no, suv).
car(5307, toyota, small, yes, coup).
car(5320, toyota, large, no, coup).
car(5321, toyota, large, no, suv).
car(5322, benz, small, yes, coup).
car(5326, ford, small, yes, coup).
car(5340, honda, small, no, coup).
car(5349, bmw, medium, yes, coup).
car(5356, toyota, large, no, coup).
car(5357, toyota, large, no, suv).
car(5362, ford, small, yes, coup).
car(5370, benz, small, yes, coup).
car(5374, ford, small, yes, coup).
car(5381, toyota, large, no, suv).
car(5388, honda, small, no, coup).
car(5401, mitsubishi, small, yes, coup).
car(5444, bmw, small, yes, coup).
car(5448, honda, small, no, coup).
car(5455, benz, large, no, suv).
car(5465, toyota, large, no, suv).
car(5479, benz, large, no, suv).
car(5487, toyota, small, yes, coup).
car(5492, bmw, small, yes, coup).
car(5503, benz, large, no, suv).
car(5505, bmw, medium, yes, coup).
car(5517, bmw, medium, yes, coup).
car(5543, ford, large, no, suv).
car(5547, toyota, small, yes, coup).
car(5557, mitsubishi, small, yes, coup).
car(5565, bmw, medium, yes, coup).
car(5569, mitsubishi, small, yes, coup).
car(5591, ford, large, no, suv).
car(5592, honda, small, no, coup).
car(5596, toyota, large, no, coup).
car(5600, bmw, small, yes, coup).
car(5607, toyota, small, yes, coup).
car(5651, ford, large, no, suv).
car(5655, toyota, small, yes, coup).
car(5667, toyota, small, yes, coup).
car(5680, toyota, large, no, coup).
car(5695, benz, large, no, suv).
car(5709, bmw, medium, yes, coup).
car(5724, honda, small, no, coup).
car(5732, bmw, small, yes, coup).
car(5735, ford, large, no, suv).
car(5736, honda, small, no, coup).
car(5740, toyota, large, no, coup).
car(5742, benz, small, yes, coup).
car(5747, ford, large, no, suv).
car(5750, mitsubishi, medium, no, suv).
car(5756, bmw, small, yes, coup).
car(5760, honda, small, no, coup).
car(5772, honda, small, no, coup).
car(5782, ford, small, yes, coup).
car(5786, mitsubishi, medium, no, suv).
car(5800, toyota, large, no, coup).
car(5806, ford, small, yes, coup).
car(5809, mitsubishi, small, yes, coup).
car(5815, benz, large, no, suv).
car(5826, benz, small, yes, coup).
car(5838, benz, small, yes, coup).
car(5840, bmw, small, yes, coup).
car(5845, mitsubishi, small, yes, coup).
car(5863, benz, large, no, suv).
car(5883, toyota, small, yes, coup).
car(5885, toyota, large, no, suv).
car(5923, benz, large, no, suv).
car(5930, mitsubishi, medium, no, suv).
car(5952, honda, small, no, coup).
car(5955, toyota, small, yes, coup).
car(5983, honda, small, no, coup).
car(5986, toyota, large, no, suv).
car(5997, bmw, medium, yes, coup).
car(6006, benz, small, yes, coup).
car(6013, mitsubishi, small, yes, coup).
car(6043, benz, large, no, suv).
car(6053, toyota, large, no, suv).
car(6068, bmw, small, yes, coup).
car(6075, toyota, small, yes, coup).
car(6079, benz, large, no, suv).
car(6085, mitsubishi, small, yes, coup).
car(6123, toyota, small, yes, coup).
car(6126, benz, small, yes, coup).
car(6131, ford, large, no, suv).
car(6133, mitsubishi, small, yes, coup).
car(6137, toyota, large, no, suv).
car(6138, benz, small, yes, coup).
car(6142, ford, small, yes, coup).
car(6144, honda, small, no, coup).
car(6146, mitsubishi, medium, no, suv).
car(6154, ford, small, yes, coup).
car(6160, toyota, large, no, coup).
car(6167, ford, large, no, suv).
car(6168, honda, small, no, coup).
car(6172, toyota, large, no, coup).
car(6173, toyota, large, no, suv).
car(6177, bmw, medium, yes, coup).
car(6190, ford, small, yes, coup).
car(6213, bmw, medium, yes, coup).
car(6221, toyota, large, no, suv).
car(6224, bmw, small, yes, coup).
car(6233, toyota, large, no, suv).
car(6243, toyota, small, yes, coup).
car(6250, ford, small, yes, coup).
car(6259, benz, large, no, suv).
car(6279, toyota, small, yes, coup).
car(6283, benz, large, no, suv).
car(6319, benz, large, no, suv).
car(6326, mitsubishi, medium, no, suv).
car(6332, bmw, small, yes, coup).
car(6334, ford, small, yes, coup).
car(6348, honda, small, no, coup).
car(6352, toyota, large, no, coup).
car(6354, benz, small, yes, coup).
car(6357, bmw, medium, yes, coup).
car(6372, honda, small, no, coup).
car(6392, bmw, small, yes, coup).
car(6408, honda, small, no, coup).
car(6419, ford, large, no, suv).
car(6421, mitsubishi, small, yes, coup).
car(6429, bmw, medium, yes, coup).
car(6451, benz, large, no, suv).
car(6472, toyota, large, no, coup).
car(6481, mitsubishi, small, yes, coup).
car(6482, mitsubishi, medium, no, suv).
car(6483, toyota, small, yes, coup).
car(6489, bmw, medium, yes, coup).
car(6503, ford, large, no, suv).
car(6508, toyota, large, no, coup).
car(6510, benz, small, yes, coup).
car(6516, honda, small, no, coup).
car(6544, toyota, large, no, coup).
car(6551, ford, large, no, suv).
car(6553, mitsubishi, small, yes, coup).
car(6567, toyota, small, yes, coup).
car(6569, toyota, large, no, suv).
car(6594, benz, small, yes, coup).
car(6599, ford, large, no, suv).
car(6601, mitsubishi, small, yes, coup).
car(6606, benz, small, yes, coup).
car(6618, benz, small, yes, coup).
car(6643, benz, large, no, suv).
car(6653, toyota, large, no, suv).
car(6658, ford, small, yes, coup).
car(6662, mitsubishi, medium, no, suv).
car(6668, bmw, small, yes, coup).
car(6672, honda, small, no, coup).
car(6683, ford, large, no, suv).
car(6706, ford, small, yes, coup).
car(6714, benz, small, yes, coup).
car(6725, toyota, large, no, suv).
car(6739, benz, large, no, suv).
car(6743, ford, large, no, suv).
car(6747, toyota, small, yes, coup).
car(6770, mitsubishi, medium, no, suv).
car(6771, toyota, small, yes, coup).
car(6775, benz, large, no, suv).
car(6788, bmw, small, yes, coup).
car(6833, toyota, large, no, suv).
car(6839, ford, large, no, suv).
car(6840, honda, small, no, coup).
car(6841, mitsubishi, small, yes, coup).
car(6850, ford, small, yes, coup).
car(6855, toyota, small, yes, coup).
car(6856, toyota, large, no, coup).
car(6863, ford, large, no, suv).
car(6872, bmw, small, yes, coup).
car(6886, ford, small, yes, coup).
car(6894, benz, small, yes, coup).
car(6895, benz, large, no, suv).
car(6901, mitsubishi, small, yes, coup).
car(6937, mitsubishi, small, yes, coup).
car(6947, ford, large, no, suv).
car(6954, benz, small, yes, coup).
car(6969, bmw, medium, yes, coup).
car(7000, toyota, large, no, coup).
car(7032, honda, small, no, coup).
car(7097, toyota, large, no, suv).
car(7120, toyota, large, no, coup).
car(7146, benz, small, yes, coup).
car(7147, benz, large, no, suv).
car(7148, bmw, small, yes, coup).
car(7150, ford, small, yes, coup).
car(7156, toyota, large, no, coup).
car(7174, ford, small, yes, coup).
car(7178, mitsubishi, medium, no, suv).
car(7204, toyota, large, no, coup).
car(7213, mitsubishi, small, yes, coup).
car(7214, mitsubishi, medium, no, suv).
car(7219, benz, large, no, suv).
car(7233, bmw, medium, yes, coup).
car(7235, ford, large, no, suv).
car(7254, benz, small, yes, coup).
car(7260, honda, small, no, coup).
car(7273, mitsubishi, small, yes, coup).
car(7275, toyota, small, yes, coup).
car(7294, ford, small, yes, coup).
car(7296, honda, small, no, coup).
car(7301, toyota, large, no, suv).
car(7313, toyota, large, no, suv).
car(7315, benz, large, no, suv).
car(7328, bmw, small, yes, coup).
car(7340, bmw, small, yes, coup).
car(7341, bmw, medium, yes, coup).
car(7353, bmw, medium, yes, coup).
car(7370, mitsubishi, medium, no, suv).
car(7374, benz, small, yes, coup).
car(7380, honda, small, no, coup).
car(7390, ford, small, yes, coup).
car(7391, ford, large, no, suv).
car(7395, toyota, small, yes, coup).
car(7402, ford, small, yes, coup).
car(7437, bmw, medium, yes, coup).
car(7441, mitsubishi, small, yes, coup).
car(7446, benz, small, yes, coup).
car(7451, ford, large, no, suv).
car(7459, benz, large, no, suv).
car(7461, bmw, medium, yes, coup).
car(7470, benz, small, yes, coup).
car(7477, mitsubishi, small, yes, coup).
car(7489, mitsubishi, small, yes, coup).
car(7501, mitsubishi, small, yes, coup).
car(7531, benz, large, no, suv).
car(7545, bmw, medium, yes, coup).
car(7549, mitsubishi, small, yes, coup).
car(7559, ford, large, no, suv).
car(7566, benz, small, yes, coup).
car(7576, toyota, large, no, coup).
car(7592, bmw, small, yes, coup).
car(7595, ford, large, no, suv).
car(7602, benz, small, yes, coup).
car(7610, mitsubishi, medium, no, suv).
car(7620, honda, small, no, coup).
car(7630, ford, small, yes, coup).
car(7632, honda, small, no, coup).
car(7638, benz, small, yes, coup).
car(7641, bmw, medium, yes, coup).
car(7645, mitsubishi, small, yes, coup).
car(7648, toyota, large, no, coup).
car(7666, ford, small, yes, coup).
car(7671, toyota, small, yes, coup).
car(7687, benz, large, no, suv).
car(7694, mitsubishi, medium, no, suv).
car(7698, benz, small, yes, coup).
car(7703, ford, large, no, suv).
car(7707, toyota, small, yes, coup).
car(7712, bmw, small, yes, coup).
car(7751, ford, large, no, suv).
car(7754, mitsubishi, medium, no, suv).
car(7762, ford, small, yes, coup).
car(7771, benz, large, no, suv).
car(7778, mitsubishi, medium, no, suv).
car(7792, toyota, large, no, coup).
car(7807, benz, large, no, suv).
car(7849, mitsubishi, small, yes, coup).
car(7852, toyota, large, no, coup).
car(7862, mitsubishi, medium, no, suv).
car(7883, ford, large, no, suv).
car(7894, ford, small, yes, coup).
car(7897, mitsubishi, small, yes, coup).
car(7908, honda, small, no, coup).
car(7919, ford, large, no, suv).
car(7925, toyota, large, no, suv).
car(7930, ford, small, yes, coup).
car(7933, mitsubishi, small, yes, coup).
car(7938, benz, small, yes, coup).
car(7946, mitsubishi, medium, no, suv).
car(7955, ford, large, no, suv).
