car(1, mitsubishi, small, yes, coup).
car(671, ford, large, no, suv).
car(678, benz, small, yes, coup).
car(718, ford, small, yes, coup).
car(733, mitsubishi, small, yes, coup).
car(738, benz, small, yes, coup).
car(743, ford, large, no, suv).
car(753, bmw, medium, yes, coup).
car(762, benz, small, yes, coup).
car(766, ford, small, yes, coup).
car(780, honda, small, no, coup).
car(799, benz, large, no, suv).
car(815, ford, large, no, suv).
car(820, toyota, large, no, coup).
car(826, ford, small, yes, coup).
car(830, mitsubishi, medium, no, suv).
car(842, mitsubishi, medium, no, suv).
car(859, benz, large, no, suv).
car(863, ford, large, no, suv).
car(867, toyota, small, yes, coup).
car(877, mitsubishi, small, yes, coup).
car(880, toyota, large, no, coup).
car(881, toyota, large, no, suv).
car(934, ford, small, yes, coup).
car(943, benz, large, no, suv).
car(953, toyota, large, no, suv).
car(958, ford, small, yes, coup).
car(979, benz, large, no, suv).
car(981, bmw, medium, yes, coup).
car(985, mitsubishi, small, yes, coup).
car(998, toyota, large, no, coup).
car(1022, mitsubishi, medium, no, suv).
car(1029, bmw, medium, yes, coup).
car(1032, honda, small, no, coup).
car(1042, ford, small, yes, coup).
car(1045, mitsubishi, small, yes, coup).
car(1046, mitsubishi, medium, no, suv).
car(1047, toyota, small, yes, coup).
car(1065, bmw, medium, yes, coup).
car(1085, toyota, large, no, suv).
car(1097, toyota, large, no, suv).
car(1102, ford, small, yes, coup).
car(1107, toyota, small, yes, coup).
car(1108, toyota, large, no, coup).
car(1112, bmw, small, yes, coup).
car(1116, honda, small, no, coup).
car(1125, bmw, medium, yes, coup).
car(1143, toyota, small, yes, coup).
car(1170, benz, small, yes, coup).
car(1171, benz, large, no, suv).
car(1178, mitsubishi, medium, no, suv).
car(1186, ford, small, yes, coup).
car(1200, honda, small, no, coup).
car(1211, ford, large, no, suv).
car(1223, ford, large, no, suv).
car(1228, toyota, large, no, coup).
car(1232, bmw, small, yes, coup).
car(1241, toyota, large, no, suv).
car(1252, toyota, large, no, coup).
car(1255, benz, large, no, suv).
car(1259, ford, large, no, suv).
car(1261, mitsubishi, small, yes, coup).
car(1270, ford, small, yes, coup).
car(1283, ford, large, no, suv).
car(1287, toyota, small, yes, coup).
car(1319, ford, large, no, suv).
car(1328, bmw, small, yes, coup).
car(1335, toyota, small, yes, coup).
car(1339, benz, large, no, suv).
car(1346, mitsubishi, medium, no, suv).
car(1349, toyota, large, no, suv).
car(1358, mitsubishi, medium, no, suv).
car(1363, benz, large, no, suv).
car(1367, ford, large, no, suv).
car(1372, toyota, large, no, coup).
car(1373, toyota, large, no, suv).
car(1377, bmw, medium, yes, coup).
car(1386, benz, small, yes, coup).
car(1394, mitsubishi, medium, no, suv).
car(1411, benz, large, no, suv).
car(1413, bmw, medium, yes, coup).
car(1421, toyota, large, no, suv).
car(1427, ford, large, no, suv).
car(1428, honda, small, no, coup).
car(1430, mitsubishi, medium, no, suv).
car(1437, bmw, medium, yes, coup).
car(1447, benz, large, no, suv).
car(1456, toyota, large, no, coup).
car(1467, toyota, small, yes, coup).
car(1473, bmw, medium, yes, coup).
car(1485, bmw, medium, yes, coup).
car(1498, ford, small, yes, coup).
car(1501, mitsubishi, small, yes, coup).
car(1518, benz, small, yes, coup).
car(1521, bmw, medium, yes, coup).
car(1524, honda, small, no, coup).
car(1530, benz, small, yes, coup).
car(1560, honda, small, no, coup).
car(1562, mitsubishi, medium, no, suv).
car(1567, benz, large, no, suv).
car(1573, mitsubishi, small, yes, coup).
car(1584, honda, small, no, coup).
car(1632, honda, small, no, coup).
car(1636, toyota, large, no, coup).
car(1644, honda, small, no, coup).
car(1655, ford, large, no, suv).
car(1663, benz, large, no, suv).
car(1665, bmw, medium, yes, coup).
car(1670, mitsubishi, medium, no, suv).
car(1689, bmw, medium, yes, coup).
car(1694, mitsubishi, medium, no, suv).
car(1709, toyota, large, no, suv).
car(1718, mitsubishi, medium, no, suv).
car(1721, toyota, large, no, suv).
car(1722, benz, small, yes, coup).
car(1727, ford, large, no, suv).
car(1748, bmw, small, yes, coup).
car(1750, ford, small, yes, coup).
car(1753, mitsubishi, small, yes, coup).
car(1798, ford, small, yes, coup).
car(1813, mitsubishi, small, yes, coup).
car(1827, toyota, small, yes, coup).
car(1831, benz, large, no, suv).
car(1844, bmw, small, yes, coup).
car(1855, benz, large, no, suv).
car(1867, benz, large, no, suv).
car(1876, toyota, large, no, coup).
car(1883, ford, large, no, suv).
car(1898, mitsubishi, medium, no, suv).
car(1912, toyota, large, no, coup).
car(1917, bmw, medium, yes, coup).
car(1926, benz, small, yes, coup).
car(1931, ford, large, no, suv).
car(1933, mitsubishi, small, yes, coup).
car(1937, toyota, large, no, suv).
car(1945, mitsubishi, small, yes, coup).
car(1947, toyota, small, yes, coup).
car(1958, mitsubishi, medium, no, suv).
car(1962, benz, small, yes, coup).
car(1971, toyota, small, yes, coup).
car(1977, bmw, medium, yes, coup).
car(1979, ford, large, no, suv).
car(1985, toyota, large, no, suv).
car(1994, toyota, large, no, coup).
car(1999, honda, small, no, coup).
car(2000, benz, large, no, suv).
car(2003, mitsubishi, medium, no, suv).
car(2007, toyota, small, yes, coup).
car(2010, benz, small, yes, coup).
car(2012, bmw, small, yes, coup).
car(2032, toyota, large, no, coup).
car(2040, honda, small, no, coup).
car(2047, benz, large, no, suv).
car(2056, toyota, large, no, coup).
car(2063, ford, large, no, suv).
car(2074, ford, small, yes, coup).
car(2079, toyota, small, yes, coup).
car(2081, toyota, large, no, suv).
car(2084, bmw, small, yes, coup).
car(2086, ford, small, yes, coup).
car(2096, bmw, small, yes, coup).
car(2097, bmw, medium, yes, coup).
car(2103, toyota, small, yes, coup).
car(2117, toyota, large, no, suv).
car(2123, ford, large, no, suv).
car(2124, honda, small, no, coup).
car(2131, benz, large, no, suv).
car(2135, ford, large, no, suv).
car(2138, mitsubishi, medium, no, suv).
car(2139, toyota, small, yes, coup).
car(2145, bmw, medium, yes, coup).
car(2146, ford, small, yes, coup).
car(2149, mitsubishi, small, yes, coup).
car(2159, ford, large, no, suv).
car(2163, toyota, small, yes, coup).
car(2176, toyota, large, no, coup).
car(2188, toyota, large, no, coup).
car(2199, toyota, small, yes, coup).
car(2204, bmw, small, yes, coup).
car(2207, ford, large, no, suv).
car(2214, benz, small, yes, coup).
car(2221, mitsubishi, small, yes, coup).
car(2260, toyota, large, no, coup).
car(2275, benz, large, no, suv).
car(2292, honda, small, no, coup).
car(2294, mitsubishi, medium, no, suv).
car(2297, toyota, large, no, suv).
car(2298, benz, small, yes, coup).
car(2307, toyota, small, yes, coup).
car(2318, mitsubishi, medium, no, suv).
car(2319, toyota, small, yes, coup).
car(2338, ford, small, yes, coup).
car(2351, ford, large, no, suv).
car(2360, bmw, small, yes, coup).
car(2364, honda, small, no, coup).
car(2375, ford, large, no, suv).
car(2376, honda, small, no, coup).
car(2387, ford, large, no, suv).
car(2394, benz, small, yes, coup).
car(2399, ford, large, no, suv).
car(2404, toyota, large, no, coup).
car(2413, mitsubishi, small, yes, coup).
car(2422, ford, small, yes, coup).
car(2428, toyota, large, no, coup).
car(2436, honda, small, no, coup).
car(2464, toyota, large, no, coup).
car(2467, benz, large, no, suv).
car(2469, bmw, medium, yes, coup).
car(2471, ford, large, no, suv).
car(2480, bmw, small, yes, coup).
car(2499, toyota, small, yes, coup).
car(2500, toyota, large, no, coup).
car(2524, toyota, large, no, coup).
car(2538, benz, small, yes, coup).
car(2548, toyota, large, no, coup).
car(2555, ford, large, no, suv).
car(2562, benz, small, yes, coup).
car(2565, bmw, medium, yes, coup).
car(2566, ford, small, yes, coup).
car(2572, toyota, large, no, coup).
car(2594, mitsubishi, medium, no, suv).
car(2604, honda, small, no, coup).
car(2615, ford, large, no, suv).
car(2653, mitsubishi, small, yes, coup).
car(2668, toyota, large, no, coup).
car(2674, ford, small, yes, coup).
car(2684, bmw, small, yes, coup).
car(2690, mitsubishi, medium, no, suv).
car(2695, benz, large, no, suv).
car(2702, mitsubishi, medium, no, suv).
car(2711, ford, large, no, suv).
car(2720, bmw, small, yes, coup).
car(2727, toyota, small, yes, coup).
car(2728, toyota, large, no, coup).
car(2744, bmw, small, yes, coup).
car(2769, bmw, medium, yes, coup).
car(2773, mitsubishi, small, yes, coup).
car(2776, toyota, large, no, coup).
car(2777, toyota, large, no, suv).
car(2794, ford, small, yes, coup).
car(2796, honda, small, no, coup).
car(2832, honda, small, no, coup).
car(2843, ford, large, no, suv).
car(2844, honda, small, no, coup).
car(2845, mitsubishi, small, yes, coup).
car(2862, benz, small, yes, coup).
car(2889, bmw, medium, yes, coup).
car(2890, ford, small, yes, coup).
car(2902, ford, small, yes, coup).
car(2907, toyota, small, yes, coup).
car(2911, benz, large, no, suv).
car(2913, bmw, medium, yes, coup).
car(2921, toyota, large, no, suv).
car(2924, bmw, small, yes, coup).
car(2946, benz, small, yes, coup).
car(2952, honda, small, no, coup).
car(2955, toyota, small, yes, coup).
car(2960, bmw, small, yes, coup).
car(2997, ford, large, no, suv).
car(3001, mitsubishi, small, yes, coup).
car(3004, toyota, large, no, coup).
car(3015, toyota, small, yes, coup).
car(3021, bmw, medium, yes, coup).
car(3023, ford, large, no, suv).
car(3051, toyota, small, yes, coup).
car(3052, toyota, large, no, coup).
car(3084, honda, small, no, coup).
car(3086, mitsubishi, medium, no, suv).
car(3089, toyota, large, no, suv).
car(3097, mitsubishi, small, yes, coup).
car(3098, mitsubishi, medium, no, suv).
car(3101, toyota, large, no, suv).
car(3102, benz, small, yes, coup).
car(3128, bmw, small, yes, coup).
car(3129, bmw, medium, yes, coup).
car(3131, ford, large, no, suv).
car(3137, toyota, large, no, suv).
car(3151, benz, large, no, suv).
car(3185, toyota, large, no, suv).
car(3195, toyota, small, yes, coup).
car(3203, ford, large, no, suv).
car(3213, bmw, medium, yes, coup).
car(3221, toyota, large, no, suv).
car(3225, bmw, medium, yes, coup).
car(3233, toyota, large, no, suv).
car(3236, bmw, small, yes, coup).
car(3253, mitsubishi, small, yes, coup).
car(3280, toyota, large, no, coup).
car(3297, bmw, medium, yes, coup).
car(3311, ford, large, no, suv).
car(3312, honda, small, no, coup).
car(3327, toyota, small, yes, coup).
car(3346, ford, small, yes, coup).
car(3350, mitsubishi, medium, no, suv).
car(3359, ford, large, no, suv).
car(3399, toyota, small, yes, coup).
car(3402, benz, small, yes, coup).
car(3403, benz, large, no, suv).
car(3413, toyota, large, no, suv).
car(3415, benz, large, no, suv).
car(3417, bmw, medium, yes, coup).
car(3421, mitsubishi, small, yes, coup).
car(3433, mitsubishi, small, yes, coup).
car(3456, honda, small, no, coup).
car(3458, mitsubishi, medium, no, suv).
car(3459, toyota, small, yes, coup).
car(3460, toyota, large, no, coup).
car(3467, ford, large, no, suv).
car(3470, mitsubishi, medium, no, suv).
car(3474, benz, small, yes, coup).
car(3490, ford, small, yes, coup).
car(3494, mitsubishi, medium, no, suv).
car(3507, toyota, small, yes, coup).
car(3521, toyota, large, no, suv).
car(3524, bmw, small, yes, coup).
car(3525, bmw, medium, yes, coup).
car(3529, mitsubishi, small, yes, coup).
car(3541, mitsubishi, small, yes, coup).
car(3547, benz, large, no, suv).
car(3549, bmw, medium, yes, coup).
car(3561, bmw, medium, yes, coup).
car(3568, toyota, large, no, coup).
car(3569, toyota, large, no, suv).
car(3581, toyota, large, no, suv).
car(3586, ford, small, yes, coup).
car(3588, honda, small, no, coup).
car(3598, ford, small, yes, coup).
car(3600, honda, small, no, coup).
car(3633, bmw, medium, yes, coup).
car(3636, honda, small, no, coup).
car(3640, toyota, large, no, coup).
car(3645, bmw, medium, yes, coup).
car(3661, mitsubishi, small, yes, coup).
car(3676, toyota, large, no, coup).
car(3698, mitsubishi, medium, no, suv).
car(3721, mitsubishi, small, yes, coup).
car(3726, benz, small, yes, coup).
car(3733, mitsubishi, small, yes, coup).
car(3747, toyota, small, yes, coup).
car(3748, toyota, large, no, coup).
car(3751, benz, large, no, suv).
car(3753, bmw, medium, yes, coup).
car(3758, mitsubishi, medium, no, suv).
car(3764, bmw, small, yes, coup).
car(3779, ford, large, no, suv).
car(3790, ford, small, yes, coup).
car(3791, ford, large, no, suv).
car(3796, toyota, large, no, coup).
car(3800, bmw, small, yes, coup).
car(3805, mitsubishi, small, yes, coup).
car(3807, toyota, small, yes, coup).
car(3810, benz, small, yes, coup).
car(3812, bmw, small, yes, coup).
car(3818, mitsubishi, medium, no, suv).
car(3821, toyota, large, no, suv).
car(3825, bmw, medium, yes, coup).
car(3829, mitsubishi, small, yes, coup).
car(3840, honda, small, no, coup).
car(3867, toyota, small, yes, coup).
car(3869, toyota, large, no, suv).
car(3870, benz, small, yes, coup).
car(3875, ford, large, no, suv).
car(3877, mitsubishi, small, yes, coup).
car(3887, ford, large, no, suv).
car(3944, bmw, small, yes, coup).
car(3959, ford, large, no, suv).
car(3969, bmw, medium, yes, coup).
car(3970, ford, small, yes, coup).
car(4003, benz, large, no, suv).
car(4010, mitsubishi, medium, no, suv).
car(4015, benz, large, no, suv).
car(4021, mitsubishi, small, yes, coup).
car(4033, mitsubishi, small, yes, coup).
car(4061, toyota, large, no, suv).
car(4062, benz, small, yes, coup).
car(4063, benz, large, no, suv).
car(4065, bmw, medium, yes, coup).
car(4072, toyota, large, no, coup).
car(4075, benz, large, no, suv).
car(4109, toyota, large, no, suv).
car(4119, toyota, small, yes, coup).
car(4127, ford, large, no, suv).
car(4130, mitsubishi, medium, no, suv).
car(4141, mitsubishi, small, yes, coup).
car(4167, toyota, small, yes, coup).
car(4179, toyota, small, yes, coup).
car(4189, mitsubishi, small, yes, coup).
car(4198, ford, small, yes, coup).
car(4200, honda, small, no, coup).
car(4207, benz, large, no, suv).
car(4210, ford, small, yes, coup).
car(4214, mitsubishi, medium, no, suv).
car(4215, toyota, small, yes, coup).
car(4217, toyota, large, no, suv).
car(4227, toyota, small, yes, coup).
car(4244, bmw, small, yes, coup).
car(4251, toyota, small, yes, coup).
car(4269, bmw, medium, yes, coup).
car(4270, ford, small, yes, coup).
car(4278, benz, small, yes, coup).
car(4299, toyota, small, yes, coup).
car(4303, benz, large, no, suv).
car(4327, benz, large, no, suv).
car(4330, ford, small, yes, coup).
car(4332, honda, small, no, coup).
car(4340, bmw, small, yes, coup).
car(4349, toyota, large, no, suv).
car(4358, mitsubishi, medium, no, suv).
car(4371, toyota, small, yes, coup).
car(4377, bmw, medium, yes, coup).
car(4382, mitsubishi, medium, no, suv).
car(4394, mitsubishi, medium, no, suv).
car(4399, benz, large, no, suv).
car(4410, benz, small, yes, coup).
car(4433, toyota, large, no, suv).
car(4446, benz, small, yes, coup).
car(4453, mitsubishi, small, yes, coup).
car(4459, benz, large, no, suv).
car(4463, ford, large, no, suv).
car(4489, mitsubishi, small, yes, coup).
car(4490, mitsubishi, medium, no, suv).
car(4500, honda, small, no, coup).
car(4512, honda, small, no, coup).
car(4514, mitsubishi, medium, no, suv).
car(4524, honda, small, no, coup).
car(4527, toyota, small, yes, coup).
car(4530, benz, small, yes, coup).
car(4534, ford, small, yes, coup).
car(4536, honda, small, no, coup).
car(4545, bmw, medium, yes, coup).
car(4554, benz, small, yes, coup).
car(4570, ford, small, yes, coup).
car(4573, mitsubishi, small, yes, coup).
car(4579, benz, large, no, suv).
car(4585, mitsubishi, small, yes, coup).
car(4608, honda, small, no, coup).
car(4612, toyota, large, no, coup).
car(4655, ford, large, no, suv).
car(4663, benz, large, no, suv).
car(4664, bmw, small, yes, coup).
car(4667, ford, large, no, suv).
car(4672, toyota, large, no, coup).
car(4689, bmw, medium, yes, coup).
car(4691, ford, large, no, suv).
car(4693, mitsubishi, small, yes, coup).
car(4697, toyota, large, no, suv).
car(4698, benz, small, yes, coup).
car(4700, bmw, small, yes, coup).
car(4717, mitsubishi, small, yes, coup).
car(4728, honda, small, no, coup).
car(4732, toyota, large, no, coup).
car(4734, benz, small, yes, coup).
car(4755, toyota, small, yes, coup).
car(4768, toyota, large, no, coup).
car(4769, toyota, large, no, suv).
car(4782, benz, small, yes, coup).
car(4786, ford, small, yes, coup).
car(4788, honda, small, no, coup).
car(4808, bmw, small, yes, coup).
car(4853, toyota, large, no, suv).
car(4861, mitsubishi, small, yes, coup).
car(4865, toyota, large, no, suv).
car(4869, bmw, medium, yes, coup).
car(4898, mitsubishi, medium, no, suv).
car(4900, toyota, large, no, coup).
car(4901, toyota, large, no, suv).
car(4902, benz, small, yes, coup).
car(4913, toyota, large, no, suv).
car(4921, mitsubishi, small, yes, coup).
car(4925, toyota, large, no, suv).
car(4937, toyota, large, no, suv).
car(4942, ford, small, yes, coup).
car(4952, bmw, small, yes, coup).
car(4954, ford, small, yes, coup).
car(4970, mitsubishi, medium, no, suv).
car(4972, toyota, large, no, coup).
car(4978, ford, small, yes, coup).
car(5032, toyota, large, no, coup).
car(5047, benz, large, no, suv).
car(5049, bmw, medium, yes, coup).
car(5098, ford, small, yes, coup).
car(5099, ford, large, no, suv).
car(5103, toyota, small, yes, coup).
car(5104, toyota, large, no, coup).
car(5125, mitsubishi, small, yes, coup).
car(5129, toyota, large, no, suv).
car(5130, benz, small, yes, coup).
car(5137, mitsubishi, small, yes, coup).
car(5150, mitsubishi, medium, no, suv).
car(5151, toyota, small, yes, coup).
car(5164, toyota, large, no, coup).
car(5167, benz, large, no, suv).
car(5169, bmw, medium, yes, coup).
car(5170, ford, small, yes, coup).
car(5171, ford, large, no, suv).
car(5176, toyota, large, no, coup).
car(5208, honda, small, no, coup).
car(5209, mitsubishi, small, yes, coup).
car(5212, toyota, large, no, coup).
car(5217, bmw, medium, yes, coup).
car(5235, toyota, small, yes, coup).
car(5242, ford, small, yes, coup).
car(5257, mitsubishi, small, yes, coup).
car(5262, benz, small, yes, coup).
car(5274, benz, small, yes, coup).
car(5284, toyota, large, no, coup).
car(5285, toyota, large, no, suv).
car(5293, mitsubishi, small, yes, coup).
car(5297, toyota, large, no, suv).
car(5317, mitsubishi, small, yes, coup).
car(5327, ford, large, no, suv).
car(5331, toyota, small, yes, coup).
car(5333, toyota, large, no, suv).
car(5345, toyota, large, no, suv).
car(5358, benz, small, yes, coup).
car(5376, honda, small, no, coup).
car(5382, benz, small, yes, coup).
car(5387, ford, large, no, suv).
car(5407, benz, large, no, suv).
car(5412, honda, small, no, coup).
car(5428, toyota, large, no, coup).
car(5429, toyota, large, no, suv).
car(5456, bmw, small, yes, coup).
car(5473, mitsubishi, small, yes, coup).
car(5481, bmw, medium, yes, coup).
car(5493, bmw, medium, yes, coup).
car(5496, honda, small, no, coup).
car(5501, toyota, large, no, suv).
car(5510, mitsubishi, medium, no, suv).
car(5513, toyota, large, no, suv).
car(5514, benz, small, yes, coup).
car(5519, ford, large, no, suv).
car(5524, toyota, large, no, coup).
car(5542, ford, small, yes, coup).
car(5559, toyota, small, yes, coup).
car(5581, mitsubishi, small, yes, coup).
car(5595, toyota, small, yes, coup).
car(5603, ford, large, no, suv).
car(5614, ford, small, yes, coup).
car(5615, ford, large, no, suv).
car(5629, mitsubishi, small, yes, coup).
car(5635, benz, large, no, suv).
car(5639, ford, large, no, suv).
car(5647, benz, large, no, suv).
car(5652, honda, small, no, coup).
car(5662, ford, small, yes, coup).
car(5685, bmw, medium, yes, coup).
car(5689, mitsubishi, small, yes, coup).
car(5690, mitsubishi, medium, no, suv).
car(5696, bmw, small, yes, coup).
car(5705, toyota, large, no, suv).
car(5719, benz, large, no, suv).
car(5721, bmw, medium, yes, coup).
car(5752, toyota, large, no, coup).
car(5754, benz, small, yes, coup).
car(5803, benz, large, no, suv).
car(5808, honda, small, no, coup).
car(5817, bmw, medium, yes, coup).
car(5819, ford, large, no, suv).
car(5820, honda, small, no, coup).
car(5823, toyota, small, yes, coup).
car(5868, honda, small, no, coup).
car(5876, bmw, small, yes, coup).
car(5889, bmw, medium, yes, coup).
car(5901, bmw, medium, yes, coup).
car(5902, ford, small, yes, coup).
car(5929, mitsubishi, small, yes, coup).
car(5935, benz, large, no, suv).
car(5938, ford, small, yes, coup).
car(5940, honda, small, no, coup).
car(5954, mitsubishi, medium, no, suv).
car(5956, toyota, large, no, coup).
car(5970, benz, small, yes, coup).
car(5978, toyota, large, no, coup).
car(5979, benz, small, yes, coup).
car(5995, benz, large, no, suv).
car(6017, toyota, large, no, suv).
car(6025, mitsubishi, small, yes, coup).
car(6026, mitsubishi, medium, no, suv).
car(6027, toyota, small, yes, coup).
car(6028, toyota, large, no, coup).
car(6042, benz, small, yes, coup).
car(6047, ford, large, no, suv).
car(6052, toyota, large, no, coup).
car(6063, toyota, small, yes, coup).
car(6066, benz, small, yes, coup).
car(6077, toyota, large, no, suv).
car(6084, honda, small, no, coup).
car(6093, bmw, medium, yes, coup).
car(6100, toyota, large, no, coup).
car(6105, bmw, medium, yes, coup).
car(6108, honda, small, no, coup).
car(6120, honda, small, no, coup).
car(6121, mitsubishi, small, yes, coup).
car(6130, ford, small, yes, coup).
car(6132, honda, small, no, coup).
car(6141, bmw, medium, yes, coup).
car(6152, bmw, small, yes, coup).
car(6156, honda, small, no, coup).
car(6178, ford, small, yes, coup).
car(6187, benz, large, no, suv).
car(6192, honda, small, no, coup).
car(6214, ford, small, yes, coup).
car(6219, toyota, small, yes, coup).
car(6225, bmw, medium, yes, coup).
car(6232, toyota, large, no, coup).
car(6257, toyota, large, no, suv).
car(6262, ford, small, yes, coup).
car(6263, ford, large, no, suv).
car(6268, toyota, large, no, coup).
car(6275, ford, large, no, suv).
car(6281, toyota, large, no, suv).
car(6284, bmw, small, yes, coup).
car(6287, ford, large, no, suv).
car(6300, honda, small, no, coup).
car(6308, bmw, small, yes, coup).
car(6333, bmw, medium, yes, coup).
car(6349, mitsubishi, small, yes, coup).
car(6350, mitsubishi, medium, no, suv).
car(6351, toyota, small, yes, coup).
car(6355, benz, large, no, suv).
car(6362, mitsubishi, medium, no, suv).
car(6365, toyota, large, no, suv).
car(6383, ford, large, no, suv).
car(6384, honda, small, no, coup).
car(6414, benz, small, yes, coup).
car(6422, mitsubishi, medium, no, suv).
car(6432, honda, small, no, coup).
car(6436, toyota, large, no, coup).
car(6478, ford, small, yes, coup).
car(6493, mitsubishi, small, yes, coup).
car(6502, ford, small, yes, coup).
car(6514, ford, small, yes, coup).
car(6543, toyota, small, yes, coup).
car(6550, ford, small, yes, coup).
car(6573, bmw, medium, yes, coup).
car(6587, ford, large, no, suv).
car(6607, benz, large, no, suv).
car(6620, bmw, small, yes, coup).
car(6651, toyota, small, yes, coup).
car(6679, benz, large, no, suv).
car(6688, toyota, large, no, coup).
car(6711, toyota, small, yes, coup).
car(6712, toyota, large, no, coup).
car(6716, bmw, small, yes, coup).
car(6721, mitsubishi, small, yes, coup).
car(6735, toyota, small, yes, coup).
car(6736, toyota, large, no, coup).
car(6758, mitsubishi, medium, no, suv).
car(6764, bmw, small, yes, coup).
car(6766, ford, small, yes, coup).
car(6773, toyota, large, no, suv).
car(6804, honda, small, no, coup).
car(6809, toyota, large, no, suv).
car(6827, ford, large, no, suv).
car(6832, toyota, large, no, coup).
car(6834, benz, small, yes, coup).
car(6844, toyota, large, no, coup).
car(6877, mitsubishi, small, yes, coup).
car(6893, toyota, large, no, suv).
car(6896, bmw, small, yes, coup).
car(6902, mitsubishi, medium, no, suv).
car(6903, toyota, small, yes, coup).
car(6909, bmw, medium, yes, coup).
car(6917, toyota, large, no, suv).
car(6920, bmw, small, yes, coup).
car(6923, ford, large, no, suv).
car(6928, toyota, large, no, coup).
car(6929, toyota, large, no, suv).
car(6930, benz, small, yes, coup).
car(6936, honda, small, no, coup).
car(6943, benz, large, no, suv).
car(6944, bmw, small, yes, coup).
car(6968, bmw, small, yes, coup).
car(6976, bmw, small, yes, coup).
car(6984, ford, large, no, suv).
car(6987, toyota, small, yes, coup).
car(6994, ford, small, yes, coup).
car(7030, ford, small, yes, coup).
car(7035, toyota, small, yes, coup).
car(7039, benz, large, no, suv).
car(7043, ford, large, no, suv).
car(7052, bmw, small, yes, coup).
car(7090, ford, small, yes, coup).
car(7091, ford, large, no, suv).
car(7095, toyota, small, yes, coup).
car(7108, toyota, large, no, coup).
car(7112, bmw, small, yes, coup).
car(7115, ford, large, no, suv).
car(7125, bmw, medium, yes, coup).
car(7133, toyota, large, no, suv).
car(7145, toyota, large, no, suv).
car(7161, bmw, medium, yes, coup).
car(7163, ford, large, no, suv).
car(7165, mitsubishi, small, yes, coup).
car(7170, benz, small, yes, coup).
car(7171, benz, large, no, suv).
car(7205, toyota, large, no, suv).
car(7208, bmw, small, yes, coup).
car(7211, ford, large, no, suv).
car(7217, toyota, large, no, suv).
car(7232, bmw, small, yes, coup).
car(7236, honda, small, no, coup).
car(7259, ford, large, no, suv).
car(7266, benz, small, yes, coup).
car(7279, benz, large, no, suv).
car(7281, bmw, medium, yes, coup).
car(7291, benz, large, no, suv).
car(7317, bmw, medium, yes, coup).
car(7323, toyota, small, yes, coup).
car(7334, mitsubishi, medium, no, suv).
car(7347, toyota, small, yes, coup).
car(7362, benz, small, yes, coup).
car(7376, bmw, small, yes, coup).
car(7378, ford, small, yes, coup).
car(7381, mitsubishi, small, yes, coup).
car(7408, toyota, large, no, coup).
car(7410, benz, small, yes, coup).
car(7414, ford, small, yes, coup).
car(7436, bmw, small, yes, coup).
car(7442, mitsubishi, medium, no, suv).
car(7444, toyota, large, no, coup).
car(7445, toyota, large, no, suv).
car(7473, bmw, medium, yes, coup).
car(7479, toyota, small, yes, coup).
car(7486, ford, small, yes, coup).
car(7488, honda, small, no, coup).
car(7494, benz, small, yes, coup).
car(7505, toyota, large, no, suv).
car(7511, ford, large, no, suv).
car(7513, mitsubishi, small, yes, coup).
