"RF_ID","REQ_ID","FM_ID","FM_IMPACT","RF_REFERENCE","RF_DESC","RF_ERROR","VERSION_ID","LAST_UPDATED","REPLACED_ID","DOCUMENT_REF"
"I575","R235","F289","0.8","","",1.00,"V199",,"",
"I576","R235","F290","0.8","","",1.00,"V199",,"",
"I578","R235","F291","0.8","","",1.00,"V199",,"",
"I579","R122","F297","0","","",1.00,"V199",,"",
"I580","R236","F304","1.0","","",1.00,"V199",,"",
"I581","R236","F299","0","","",1.00,"V199",,"",
"I582","R233","F304","0","","",1.00,"V199",,"",
"I583","R233","F307","1.0","","",1.00,"V199",,"",
"I584","R237","F340","1","","",1.00,"V199",,"",
"I585","R237","F339","1.0","","",1.00,"V199",,"",
"I615","R440","F282","0","","",1.00,"V199",,"",
"I616","R440","F304","0","","",1.00,"V199",,"",
"I617","R407","F14","0","","",1.00,"V199",,"",
"I618","R427","F14","0","","",1.00,"V199",,"",
"I619","R235","F14","0","","",1.00,"V199",,"",
"I620","R240","F14","0.1","","",1.00,"V199",,"",
"I621","R240","F75","0.3","","",1.00,"V199",,"",
"I622","R407","F75","0.1","","",1.00,"V199",,"",
"I624","R238","F464","0.3","","",1.00,"V199",,"",
"I625","R239","F464","0.3","","",1.00,"V199",,"",
"I626","R238","F223","0.3","","",1.00,"V199",,"",
"I627","R238","F224","0.3","","",1.00,"V199",,"",
"I628","R239","F223","0.3","","",1.00,"V199",,"",
"I629","R239","F224","0.3","","",1.00,"V199",,"",
"I630","R240","F223","1.0","","",1.00,"V199",,"",
"I631","R240","F224","0.1","","",1.00,"V199",,"",
"I632","R238","F203","0","","",1.00,"V199",,"",
"I633","R239","F203","0","","",1.00,"V199",,"",
"I635","R238","F225","0.1","","",1.00,"V199",,"",
"I636","R239","F225","0.1","","",1.00,"V199",,"",
"I637","R235","F225","0.1","","",1.00,"V199",,"",
"I638","R240","F225","0.1","","",1.00,"V199",,"",
"I639","R407","F225","0.3","","",1.00,"V199",,"",
"I640","R240","F214","0.7","","",1.00,"V199",,"",
"I642","R264","F204","1","","",1.00,"V199",,"",
"I643","R240","F222","0.9","","",1.00,"V199",,"",
"I644","R427","F222","0","","",1.00,"V199",,"",
"I645","R407","F222","0","","",1.00,"V199",,"",
"I646","R240","F470","1.0","","",1.00,"V199",,"",
"I647","R264","F470","1.0","","",1.00,"V199",,"",
"I648","R263","F470","0.99","","",1.00,"V199",,"",
"I649","R264","F222","1","","",1.00,"V199",,"",
"I651","R262","F470","0.9","","",1.00,"V199",,"",
"I652","R240","F641","1","","",1.00,"V199",,"",
"I653","R8","F641","0","","",1.00,"V199",,"",
"I654","R233","F641","0","","",1.00,"V199",,"",
"I655","R235","F641","0","","",1.00,"V199",,"",
"I656","R237","F641","0","","",1.00,"V199",,"",
"I657","R407","F641","0","","",1.00,"V199",,"",
"I658","R427","F641","0","","",1.00,"V199",,"",
"I659","R440","F641","0","","",1.00,"V199",,"",
"I660","R407","F282","0","","",1.00,"V199",,"",
"I661","R240","F282","1.0","","",1.00,"V199",,"",
"I662","R240","F283","1.0","","",1.00,"V199",,"",
"I671","R235","F230","0","","",1.00,"V199",,"",
"I673","R440","F273","0","","",1.00,"V199",,"",
"I674","R236","F303","0","","",1.00,"V199",,"",
"I675","R237","F230","0","","",1.00,"V199",,"",
"I676","R236","F230","0.1","","",1.00,"V199",,"",
"I677","R88","F75","0","","",1.00,"V199",,"",
"I678","R86","F230","0.9","","",1.00,"V199",,"",
"I679","R87","F230","0.9","","",1.00,"V199",,"",
"I680","R88","F230","0.7","","",1.00,"V199",,"",
"I681","R407","F272","0","","",1.00,"V199",,"",
"I682","R234","F303","1.0","","",1.00,"V199",,"",
"I703","R238","F344","0","","",1.00,"V199",,"",
"I704","R238","F345","0","","",1.00,"V199",,"",
"I705","R262","F339","0","","",1.00,"V199",,"",
"I710","R240","F347","1.0","","",1.00,"V199",,"",
"I720","R235","F283","0","","",1.00,"V199",,"",
"I724","R8","F212","0","","",1.00,"V199",,"",
"I726","R263","F223","0.1","","",1.00,"V199",,"",
"I727","R8","F223","0","","",1.00,"V199",,"",
"I734","R264","F212","0.1","","",1.00,"V199",,"",
"I735","R263","F212","0","","",1.00,"V199",,"",
"I737","R234","F223","0","","",1.00,"V199",,"",
"I740","R264","F223","0.1","","",1.00,"V199",,"",
"I741","R240","F739","1.0","","",1.00,"V199",,"",
"I742","R76","F470","0","","",1.00,"V199",,"",
"I744","R240","F738","1.0","","",1.00,"V199",,"",
"I745","R77","F470","0","","",1.00,"V199",,"",
"I761","R234","F222","0","","",1.00,"V199",,"",
"I762","R10","F222","0","","",1.00,"V199",,"",
"I789","R109","F775","1.0","","",1.00,"V199",,"",
"I790","R108","F775","1.0","","",1.00,"V199",,"",
"I791","R106","F775","0","","",1.00,"V199",,"",
"I792","R102","F775","1.0","","",1.00,"V199",,"",
"I793","R116","F775","1.0","","",1.00,"V199",,"",
"I794","R117","F775","1.0","","",1.00,"V199",,"",
"I795","R407","F775","0","","",1.00,"V199",,"",
"I796","R118","F775","1.0","","",1.00,"V199",,"",
"I799","R717","F775","1.0","","",1.00,"V199",,"",
"I801","R440","F775","0.7","","",1.00,"V199",,"",
"I804","R110","F75","1.0","","",1.00,"V199",,"",
"I805","R86","F11","0","","",1.00,"V199",,"",
"I806","R98","F11","0.3","","",1.00,"V199",,"",
"I807","R98","F12","0.3","","",1.00,"V199",,"",
"I808","R98","F13","0.3","","",1.00,"V199",,"",
"I809","R96","F13","0","","",1.00,"V199",,"",
"I810","R99","F11","0","","",1.00,"V199",,"",
"I811","R99","F13","0.3","","",1.00,"V199",,"",
"I850","R240","F290","0.7","","",1.00,"V199",,"",
"I851","R76","F227","0","","",1.00,"V199",,"",
"I852","R78","F227","0.3","","",1.00,"V199",,"",
"I859","R237","F299","1.0","","",1.00,"V199",,"",
"I861","R76","F299","0","","",1.00,"V199",,"",
"I863","R76","F298","0","","",1.00,"V199",,"",
"I864","R237","F297","1.0","","",1.00,"V199",,"",
"I865","R240","F297","1.0","","",1.00,"V199",,"",
"I866","R237","F298","1.0","","",1.00,"V199",,"",
"I867","R240","F298","1.0","","",1.00,"V199",,"",
"I868","R237","F300","1.0","","",1.00,"V199",,"",
"I871","R240","F300","1.0","","",1.00,"V199",,"",
"I874","R236","F301","0","","",1.00,"V199",,"",
"I875","R237","F301","1.0","","",1.00,"V199",,"",
"I876","R240","F301","1.0","","",1.00,"V199",,"",
"I877","R76","F300","0","","",1.00,"V199",,"",
"I879","R240","F304","0.1","","",1.00,"V199",,"",
"I880","R76","F307","0","","",1.00,"V199",,"",
"I931","R8","F359","1.0","","",1.00,"V199",,"",
"I934","R107","F359","0.1","","",1.00,"V199",,"",
"I935","R109","F359","0","","",1.00,"V199",,"",
"I937","R440","F359","0","","",1.00,"V199",,"",
"I938","R717","F359","1.0","","",1.00,"V199",,"",
"I939","R117","F359","0","","",1.00,"V199",,"",
"I940","R8","F258","0","","",1.00,"V199",,"",
"I941","R8","F256","0","","",1.00,"V199",,"",
"I942","R237","F256","0","","",1.00,"V199",,"",
"I943","R78","F256","0","","",1.00,"V199",,"",
"I944","R240","F256","0.8","","",1.00,"V199",,"",
"I949","R233","F258","0","","",1.00,"V199",,"",
"I950","R237","F258","0.1","","",1.00,"V199",,"",
"I951","R240","F258","0.7","","",1.00,"V199",,"",
"I952","R237","F305","0","","",1.00,"V199",,"",
"I953","R240","F305","0.7","","",1.00,"V199",,"",
"I954","R237","F259","0.1","","",1.00,"V199",,"",
"I955","R240","F259","0.7","","",1.00,"V199",,"",
"I987","R262","F768","0.9","","",1.00,"V199",,"",
"I990","R235","F767","0.3","","",1.00,"V199",,"",
"I991","R237","F767","0","","",1.00,"V199",,"",
"I992","R235","F205","0.1","","",1.00,"V199",,"",
"I993","R237","F205","0","","",1.00,"V199",,"",
"I994","R237","F470","0","","",1.00,"V199",,"",
"I995","R237","F206","0","","",1.00,"V199",,"",
"I996","R237","F207","0","","",1.00,"V199",,"",
"I997","R237","F739","0","","",1.00,"V199",,"",
"I1002","R240","F206","0.7","","",1.00,"V199",,"",
"I1003","R240","F207","0.7","","",1.00,"V199",,"",
"I1005","R240","F767","0.3","","",1.00,"V199",,"",
"I1009","R240","F205","0.9","","",1.00,"V199",,"",
"I1016","R85","F344","0","","",1.00,"V199",,"",
"I1018","R237","F345","0.9","","",1.00,"V199",,"",
"I1019","R105","F344","1.0","","",1.00,"V199",,"",
"I1020","R105","F345","0.9","","",1.00,"V199",,"",
"I1022","R100","F775","1.0","","",1.00,"V199",,"",
"I683","R234","F11","0","","",1.00,"V199",,"",
"I684","R407","F11","0.3","","",1.00,"V199",,"",
"I685","R86","F12","0","","",1.00,"V199",,"",
"I686","R233","F12","0","","",1.00,"V199",,"",
"I687","R233","F13","0.01","","",1.00,"V199",,"",
"I688","R240","F12","0.3","","",1.00,"V199",,"",
"I689","R240","F13","0.7","","",1.00,"V199",,"",
"I690","R234","F286","0","","",1.00,"V199",,"",
"I692","R237","F286","0","","",1.00,"V199",,"",
"I693","R239","F286","0","","",1.00,"V199",,"",
"I694","R238","F286","0","","",1.00,"V199",,"",
"I695","R238","F287","0","","",1.00,"V199",,"",
"I696","R240","F299","1.0","","",1.00,"V199",,"",
"I697","R237","F307","0","","",1.00,"V199",,"",
"I698","R236","F339","1.0","","",1.00,"V199",,"",
"I699","R235","F339","1.0","","",1.00,"V199",,"",
"I701","R237","F341","1.0","","",1.00,"V199",,"",
"I702","R237","F344","0.9","","",1.00,"V199",,"",
"I763","R8","F222","0","","",1.00,"V199",,"",
"I765","R235","F222","0.3","","",1.00,"V199",,"",
"I766","R236","F222","0","","",1.00,"V199",,"",
"I769","R81","F222","0","","",1.00,"V199",,"",
"I770","R81","F212","0","","",1.00,"V199",,"",
"I773","R262","F222","0","","",1.00,"V199",,"",
"I777","R235","F775","1.0","","",1.00,"V199",,"",
"I778","R237","F775","0","","",1.00,"V199",,"",
"I779","R76","F775","1.0","","",1.00,"V199",,"",
"I780","R77","F775","1.0","","",1.00,"V199",,"",
"I781","R104","F775","1.0","","",1.00,"V199",,"",
"I782","R105","F775","1.0","","",1.00,"V199",,"",
"I783","R107","F775","1.0","","",1.00,"V199",,"",
"I784","R114","F775","1.0","","",1.00,"V199",,"",
"I785","R113","F775","1.0","","",1.00,"V199",,"",
"I786","R112","F775","1.0","","",1.00,"V199",,"",
"I787","R111","F775","1.0","","",1.00,"V199",,"",
"I788","R110","F775","1.0","","",1.00,"V199",,"",
"I815","R235","F13","0","","",1.00,"V199",,"",
"I822","R240","F11","0.4","","",1.00,"V199",,"",
"I823","R77","F12","0","","",1.00,"V199",,"",
"I825","R76","F11","0","","",1.00,"V199",,"",
"I828","R77","F11","0","","",1.00,"V199",,"",
"I830","R81","F286","0.0","","",1.00,"V199",,"",
"I831","R8","F285","0","","",1.00,"V199",,"",
"I832","R81","F227","0","","",1.00,"V199",,"",
"I833","R81","F285","1","","",1.00,"V199",,"",
"I834","R240","F285","0.3","","",1.00,"V199",,"",
"I835","R236","F285","0","","",1.00,"V199",,"",
"I836","R76","F285","0","","",1.00,"V199",,"",
"I838","R81","F287","1.0","","",1.00,"V199",,"",
"I841","R240","F287","0.3","","",1.00,"V199",,"",
"I842","R240","F286","0.3","","",1.00,"V199",,"",
"I844","R236","F286","0","","",1.00,"V199",,"",
"I846","R240","F227","0.7","","",1.00,"V199",,"",
"I848","R240","F289","0.7","","",1.00,"V199",,"",
"I881","R240","F307","0.01","","",1.00,"V199",,"",
"I884","R77","F339","0","","",1.00,"V199",,"",
"I887","R240","F339","0","","",1.00,"V199",,"",
"I891","R100","F339","0","","",1.00,"V199",,"",
"I892","R106","F14","0","","",1.00,"V199",,"",
"I893","R106","F339","0.3","","",1.00,"V199",,"",
"I894","R78","F341","0","","",1.00,"V199",,"",
"I899","R237","F343","0","","",1.00,"V199",,"",
"I900","R240","F343","0.7","","",1.00,"V199",,"",
"I901","R240","F341","0.5","","",1.00,"V199",,"",
"I902","R76","F341","0","","",1.00,"V199",,"",
"I915","R85","F341","0","","",1.00,"V199",,"",
"I921","R237","F347","0","","",1.00,"V199",,"",
"I922","R238","F252","0","","",1.00,"V199",,"",
"I925","R237","F306","0","","",1.00,"V199",,"",
"I926","R237","F249","0","","",1.00,"V199",,"",
"I927","R237","F251","0","","",1.00,"V199",,"",
"I929","R237","F359","0","","",1.00,"V199",,"",
"I956","R76","F258","0","","",1.00,"V199",,"",
"I957","R236","F300","0","","",1.00,"V199",,"",
"I958","R240","F723","1.0","","",1.00,"V199",,"",
"I962","R264","F723","0.99","","",1.00,"V199",,"",
"I963","R959","F284","1.0","","",1.00,"V199",,"",
"I964","R960","F284","1.0","","",1.00,"V199",,"",
"I972","R263","F723","0.99","","",1.00,"V199",,"",
"I973","R262","F723","0.9","","",1.00,"V199",,"",
"I974","R264","F225","0.9","","",1.00,"V199",,"",
"I977","R264","F206","0.95","","",1.00,"V199",,"",
"I978","R264","F207","0.95","","",1.00,"V199",,"",
"I979","R263","F206","0.7","","",1.00,"V199",,"",
"I980","R263","F207","0.7","","",1.00,"V199",,"",
"I982","R262","F207","0.1","","",1.00,"V199",,"",
"I983","R85","F206","0","","",1.00,"V199",,"",
"I984","R104","F206","0","","",1.00,"V199",,"",
"I985","R264","F768","0.9","","",1.00,"V199",,"",
"I986","R263","F768","0.9","","",1.00,"V199",,"",
"I1023","R959","F252","1.0","","",1.00,"V199",,"",
"I1024","R960","F252","1.0","","",1.00,"V199",,"",
"I1025","R959","F259","1.0","","",1.00,"V199",,"",
"I1026","R960","F259","1.0","","",1.00,"V199",,"",
"I1132","R78","F286","0.3","","",1.00,"V199",,"",
"I1134","R78","F289","0.7","","",1.00,"V199",,"",
"I1275","R717","F259","0","","",1.00,"V199",,"",
"I1278","R118","F305","0","","",1.00,"V199",,"",
"I1288","R717","F14","0","","",1.00,"V199",,"",
