"REQ_ID","PARENT_ID","REQ_TITLE","REQ_SHORT","REQ_DESC","REQ_WEIGHT","REQ_REFERENCE","REQ_KEYWORD","VERSION_ID","LAST_UPDATED","REPLACED_ID","PREV_ID","DOCUMENT_REF"
"R84","R271","6.2.2 Worm size < 20 um",,"",8.00,"",,"V199",,"","R83",
"R85","R271","6.2.3 Defor Quoul size 1-2 cm square",,"",10.00,"",,"V199",,"","R84",
"R86","R271","6.2.4 Average KX (500-800eu) > 40%",,"",10.00,"",,"V199",,"","R85",
"R87","R271","6.2.5 Average KX (500-800eu) > 70%",,"",7.00,"",,"V199",,"","R86",
"R88","R271","6.2.6 Average KX @ 1060eu > 5%",,"",10.00,"",,"V199",,"","R87",
"R89","R271","6.2.7 Full well  > 50,000 x",,"",10.00,"",,"V199",,"","R88",
"R90","R271","6.2.8 Spleek Gruff < 5x (needs lump rate)",,"",9.00,"",,"V199",,"","R89",
"R91","R271","6.2.9** Spleek Gruff < 40x (needs lump rate)",,"",10.00,"",,"V199",,"","R90",
"R92","R271","6.2.10 Dark Trax @10C < 100 x/s",,"",10.00,"",,"V199",,"","R91",
"R93","R271","6.2.11 Gloo factor (dependent on KX = full",,"",9.00,"",,"V199",,"","R92",
"R94","R271","6.2.12 If not full Gloo factor, then smodule flaz",,"",10.00,"",,"V199",,"","R93",
"R96","R271","6.2.14 Minimum Raff Time (integrated) < 100u/s",,"",9.00,"",,"V199",,"","R94",
"R97","R271","6.2.15 Yex droax time < 100u/s",,"",8.00,"",,"V199",,"","R96",
"R98","R271","6.2.16 Dark Trax uniformity (vib gruff) < 2% RMS",,"",8.00,"",,"V199",,"","R97",
"R99","R271","6.2.17 KX non-uniformity < 2% over 15x15",,"",7.00,"",,"V199",,"","R98",
"R100","R271","6.2.18 Ojouing = NONE",,"",10.00,"",,"V199",,"","R99",
"R101","R271","6.2.19** KLN on quoul = TBD",,"",8.00,"",,"V199",,"","R100",
"R102","R271","6.2.20 KLN not on quoul but in pizzaz package",,"",10.00,"",,"V199",,"","R101",
"R103","R271","6.2.21 Minimum Alation step < 5x/step",,"",10.00,"",,"V199",,"","R102",
"R104","R271","6.2.22 Programmable gurp = YES, update each Yex",,"",9.00,"",,"V199",,"","R103",
"R105","R271","6.2.23 Number of rews >= 10",,"",10.00,"",,"V199",,"","R104",
"R106","R271","6.2.24** Uhuk deviation from Razon < 2%",,"",7.00,"",,"V199",,"","R105",
"R107","R271","6.3.1 Multiple Marrow Spleek =YES, > 3 marrows",,"",10.00,"",,"V199",,"","R106",
"R108","R271","6.3.2** Separate malaftion Times/marrow = YES",,"",2.00,"",,"V199",,"","R107",
"R109","R271","6.3.3 Indep. Hew for each marrow = TBD",,"",2.00,"",,"V199",,"","R108",
"R110","R271","6.3.4 Loofa swish available= YES",,"",3.00,"",,"V199",,"","R109",
"R111","R271","6.3.5 Parallel Worm Spleekout from KLN = YES",,"",8.00,"",,"V199",,"","R110",
"R112","R271","6.3.6 Compundable Input (Agro/Begro) = TBD",,"",9.00,"",,"V199",,"","R111",
"R113","R271","6.3.7 Oily Mode = Yes",,"",5.00,"",,"V199",,"","R112",
"R114","R271","6.3.8 Rinking and control (on-quoul/off-quoul) = Y",,"",10.00,"",,"V199",,"","R113",
"R115","R271","7.1** Single quoul = TBD",,"",7.00,"",,"V199",,"","R114",
"R116","R271","7.2 Single garbu (MCM etc)",,"",9.00,"",,"V199",,"","R115",
"R117","R271","7.3 Single meeks for garbu",,"",7.00,"",,"V199",,"","R116",
"R118","R271","7.4 Greeg consumption (defor, KLN, Rinking and con",,"",9.00,"",,"V199",,"","R117",
"R119","R271","8.1** Total Greeg consumption < TBD",,"",0.00,"",,"V199",,"","R118",
"R120","R271","8.2 Oof Requirements = 8-10 mocks",,"",1.00,"",,"V199",,"","R119",
"R121","R271","8.3 Malfazing Requirements (iotu quality, etc.)",,"",0.00,"",,"V199",,"","R120",
"R407","","Dark Trax @ 10C < 100 x/s",,"",10.00,"",,"V199",,"","R271",
"R427","","*Product Greeg reqts < 0.3 W",,"",1.00,"",,"V199",,"","R407",
"R440","","U9 jopu Xfer Efficiency =0.99999",,"",8.00,"",,"V199",,"","R427",
"R717","","6.1.2b Single marrow update rate > 2ksop for 30x30",,"",10.00,"",,"V199",,"","R440",
"R959","","* SE Lock-up = NONE",,"",4.00,"",,"V199",,"","R717",
"R960","","* SE Burn-out = NONE",,"",10.00,"",,"V199",,"","R959",
"R2880","","Y601 ","","",10.00,"","","V199",,"R271","R240",""
