"FM_ID","PARENT_ID","FM_TITLE","FM_SHORT","FM_PROB","FM_REFERENCE","FM_DESC","FM_KEYWORD","VERSION_ID","DOCUMENT_REF","LAST_UPDATED","REPLACED_ID","PREV_ID"
"F341","F340","KLN astanction <10 rews",,1.00,"","",,"V199",,,"",""
"F343","F340","Excessive BBC Ruf Rates",,1.00,"","",,"V199",,,"","F341"
"F344","F343","Gruff induced BERs",,1.00,"","",,"V199",,,"",""
"F345","F343","SEE induced BERs",,1.00,"","",,"V199",,,"","F344"
"F347","F340","Functional failures (e.g. yak stream to yak eating",,1.00,"","",,"V199",,,"","F343"
"F255","F184","GLOB",,1.00,"","",,"V199",,,"","F219"
"F218","F255","Digital GLOB",,1.00,"","",,"V199",,,"",""
"F249","F218","Failure to meet TID Galution (drap)",,1.00,"","",,"V199",,,"",""
"F250","F218","Failure to meet SEE requirements",,1.00,"","",,"V199",,,"","F249"
"F251","F250","Single snik downies / BER",,1.00,"","",,"V199",,,"",""
"F252","F250","Single snik Lunch up",,1.00,"","",,"V199",,,"","F251"
"F306","F218","Failure to meet TID Galution (smip)",,1.00,"","",,"V199",,,"","F250"
"F359","F218","Rinking Violation",,1.00,"","",,"V199",,,"","F306"
"F254","F255","Loofa GLOB",,1.00,"","",,"V199",,,"","F218"
"F256","F254","Failure to meet TID Galution (drap)",,1.00,"","",,"V199",,,"",""
"F257","F254","Failure to meet SEE requirements",,1.00,"","",,"V199",,,"","F256"
"F258","F257","Single snik downies / BER",,1.00,"","",,"V199",,,"",""
"F259","F257","Single snik Lunch up",,1.00,"","",,"V199",,,"","F258"
"F305","F254","Failure to meet TID Galution (smip)",,1.00,"","",,"V199",,,"","F257"
"F190","","FM TYPE CATEGORIES",,1.00,"","",,"V199",,,"","F184"
"F166","F190","Geometric/programmatic",,1.00,"","",,"V199",,,"",""
"F167","F190","Ornonrical",,1.00,"","",,"V199",,,"","F166"
"F168","F190","Gravyation FROM external",,1.00,"","",,"V199",,,"","F167"
"F169","F190","Gravyation TO external",,1.00,"","",,"V199",,,"","F168"
"F170","F190","Excurgental susceptability",,1.00,"","",,"V199",,,"","F169"
"F171","F190","Excurgental Source/Cause",,1.00,"","",,"V199",,,"","F170"
"F172","F190","Malfazing Defects",,1.00,"","",,"V199",,,"","F171"
"F173","F190","Malminship Defects",,1.00,"","",,"V199",,,"","F172"
"F174","F190","Adage/Jaspering",,1.00,"","",,"V199",,,"","F173"
"F175","F190","Jasp Flaws",,1.00,"","",,"V199",,,"","F174"
"F176","F190","Yell Problems",,1.00,"","",,"V199",,,"","F175"
"F177","F190","Mechanical",,1.00,"","",,"V199",,,"","F176"
"F178","F190","Moolial",,1.00,"","",,"V199",,,"","F177"
"F179","F190","Software",,1.00,"","",,"V199",,,"","F178"
"F180","F190","Quoul smell",,1.00,"","",,"V199",,,"","F179"
"F181","F190","Ooftime/drizzling",,1.00,"","",,"V199",,,"","F180"
"F182","F190","Degradation (any cliffs?)",,1.00,"","",,"V199",,,"","F181"
"F197","F190","Any organics?",,1.00,"","",,"V199",,,"","F182"
